"code","id","uuid:ID","instanceType","decode","codeSystem","codeSystemVersion"
"C70713","Code_151","06398d1b-f6a4-40c3-975c-3d01e3b355c4","Code","Biospecimen Type","NCI Thesaurus",""
"C45997","Code_148","519fb43d-c511-4d17-bf28-7c8d26dd9696","Code","pH","NCI Thesaurus",""
"C174266","Code_117","a0c55040-8ca2-482e-a292-5fa63ae69bf3","Code","Experimental Arm","http://www.cdisc.org","2023-09-29"
"C188866","Code_118","0276c835-7be2-4e66-a055-c865f1e0d479","Code","Data Generated Within Study","http://www.cdisc.org","2023-09-29"
"C174266","Code_119","5a82a7e0-52ea-4dce-8d89-6f8f30975e9a","Code","Experimental Arm","http://www.cdisc.org","2023-09-29"
"C188866","Code_120","06c57781-6a39-47a9-b342-694660903c78","Code","Data Generated Within Study","http://www.cdisc.org","2023-09-29"
"C49659","Code_126","17216530-0760-4655-97f2-9ad4c528b897","Code","Open Label Study","http://www.cdisc.org","2023-09-29"
"C48262","Code_121","048741ce-3fe3-462f-8ea0-6bda526f0401","Code","Trial Screening","http://www.cdisc.org","2023-09-29"
"C101526","Code_122","04c570bc-2f18-481c-9020-45a3b686da00","Code","Treatment Epoch","http://www.cdisc.org","2023-09-29"
"C42872","Code_123","15a55683-0931-4ec2-8494-846e33e10289","Code","Washout Period","http://www.cdisc.org","2023-09-29"
"C101526","Code_124","3fe0f004-efc0-4c7b-94ac-f346cf2f372d","Code","Treatment Epoch","http://www.cdisc.org","2023-09-29"
"C99158","Code_125","cf82e767-cdee-44c4-8979-28630483a0c6","Code","Clinical Study Follow-up","http://www.cdisc.org","2023-09-29"
"46635009","Code_152","4475aa43-8393-4cfe-94fb-d8b6df914c66","Code","Diabetes mellitus type 1","SNOMED","January 31, 2018"
"44054006","Code_153","5f25519a-5d07-4cc3-9b72-80e2f96eab5f","Code","Diabetes mellitus type 2","SNOMED","January 31, 2018"
"C41161","Code_159","992a278e-8093-4902-b460-5f4d13ff8fd7","Code","Experimental Intervention","http://www.cdisc.org","2023-09-29"
"C1909","Code_160","7cbc549b-9321-405a-ad58-6d00f878a226","Code","Pharmacologic Substance","http://www.cdisc.org","2023-09-29"
"C25301","Code_163","628f3d58-786d-43a4-a594-d8dc1e268415","Code","Day","http://www.cdisc.org","2023-09-29"
"A","Code_158","a5204b43-e50a-4cac-b729-47459acf1600","Code","B","SPONSOR","12"
"C25301","Code_154","c661b873-54d9-4c37-9df3-473b76c4e42d","Code","Day","http://www.cdisc.org","2023-09-29"
"C28253","Code_156","40a3ed4e-cf80-4747-8207-781f81deda79","Code","Milligram","http://www.cdisc.org","2023-09-29"
"C38284","Code_155","01e1c448-6333-4473-8cca-d47421ae8a9b","Code","Nasal Route of Administration","http://www.cdisc.org","2023-09-29"
"C64576","Code_157","5ab9480a-4d00-465c-abb8-f835c148ae42","Code","Once","http://www.cdisc.org","2023-09-29"
"C99909x1","Code_162","72f0fc79-3278-4ffc-8673-4cc600f6dbd3","Code","IMP","http://www.cdisc.org","2023-09-29"
"A","Code_161","809f12eb-73be-4c9c-9fd9-406fc1dd962b","Code","B","FDA","None set"
"C41161","Code_169","4ae1ddfe-1e26-47b6-9841-4ba506f1c85e","Code","Experimental Intervention","http://www.cdisc.org","2023-09-29"
"C1909","Code_170","2c1b31ec-6e21-45c6-8ef2-563431e609ca","Code","Pharmacologic Substance","http://www.cdisc.org","2023-09-29"
"C25301","Code_173","61458fba-7b56-4834-b628-988d062cad19","Code","Day","http://www.cdisc.org","2023-09-29"
"A","Code_168","95b82fa2-2e80-443f-b885-8e81d25629b7","Code","B","SPONSOR","12"
"C25301","Code_164","3b4f4a30-fc6f-4d1a-a0b0-c69f900f64d2","Code","Day","http://www.cdisc.org","2023-09-29"
"C28253","Code_166","d1bc2cfb-6189-477a-ad81-0a3c410adfd9","Code","Milligram","http://www.cdisc.org","2023-09-29"
"C28161","Code_165","70d4e845-0b22-4980-97d4-f9c2fa1b8123","Code","Intramuscular Route of Administration","http://www.cdisc.org","2023-09-29"
"C64576","Code_167","3522710d-a2a3-41b6-b5e8-cdc8e92eb4d9","Code","Once","http://www.cdisc.org","2023-09-29"
"C99909x1","Code_172","ee0e66d7-16da-4b5b-b42c-5e7a0f378d2b","Code","IMP","http://www.cdisc.org","2023-09-29"
"A","Code_171","494f0f93-d84a-43cb-afc8-6f8cdba22fdb","Code","B","FDA","None set"
"C85826","Code_178","d1e9a677-5e07-4dd1-bbb0-25a504c25860","Code","Trial Primary Objective","http://www.cdisc.org","2023-09-29"
"C94496","Code_177","c06e665a-96ab-44f0-8d4d-b81304ef3804","Code","Primary Endpoint","http://www.cdisc.org","2023-09-29"
"C85827","Code_180","9a9d5464-baea-45c0-9d9b-06a25dbf2ffa","Code","Trial Secondary Objective","http://www.cdisc.org","2023-09-29"
"C139173","Code_179","afedd848-caef-41f7-9dfc-1aeb65c3a812","Code","Secondary Endpoint","http://www.cdisc.org","2023-09-29"
"C85827","Code_182","83888ee2-645c-48ea-a34c-cb782590f33b","Code","Trial Secondary Objective","http://www.cdisc.org","2023-09-29"
"C139173","Code_181","b1c42140-50d2-4e81-892b-dac62c289d08","Code","Secondary Endpoint","http://www.cdisc.org","2023-09-29"
"C85827","Code_184","4ec21dc1-43f0-4a8e-b04d-eaafa5c8e339","Code","Trial Secondary Objective","http://www.cdisc.org","2023-09-29"
"C139173","Code_183","6d8a1073-1f0d-40e0-bbf2-375676de6aa0","Code","Secondary Endpoint","http://www.cdisc.org","2023-09-29"
"C85827","Code_186","a09a8d82-d6c3-4ad6-9973-f7561420be64","Code","Trial Secondary Objective","http://www.cdisc.org","2023-09-29"
"C170559","Code_185","3b73a53a-e451-49ea-ac54-05163b41bca8","Code","Exploratory Endpoint","http://www.cdisc.org","2023-09-29"
"C85827","Code_188","a1bfdc99-7c49-470f-87f0-7c2753eb48fb","Code","Trial Secondary Objective","http://www.cdisc.org","2023-09-29"
"C170559","Code_187","4a4efdc1-cf0f-4851-b09c-fda40af7e0f9","Code","Exploratory Endpoint","http://www.cdisc.org","2023-09-29"
"C25532","Code_189","25337723-310c-4ab3-ac23-23946bf2e4a6","Code","Inclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25532","Code_190","101a80e2-5077-4922-b762-d3561cb84b68","Code","Inclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25532","Code_191","5af35e94-b04e-4f57-89d3-f73fcf12fd5b","Code","Inclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25532","Code_192","d6cc60d6-368d-4151-836e-5b3294c9dfe4","Code","Inclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25532","Code_193","13c418db-77b0-4458-ba66-fd01dc406bb9","Code","Inclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25532","Code_194","92f19578-ee69-4a95-a397-04551970f105","Code","Inclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25532","Code_195","c8ebca3c-1647-45c5-95fd-bb20b382abf9","Code","Inclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25532","Code_196","4b5be9f2-f3b3-4028-9e9d-62a66faf7f26","Code","Inclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25532","Code_197","f58a17ff-03e1-4a8b-be26-8d014ab94a9d","Code","Inclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25532","Code_198","a1a67024-eb4b-4b79-a73c-d8fdb604cfd0","Code","Inclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_199","ba4c5612-03f9-4fdc-ae93-e0df52c5528c","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_200","5f91449e-41ce-4d7a-859b-c090e51a54fc","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_201","25e2b15c-ff9d-4f24-9b91-79b84658f8fc","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_202","7c3c22e5-3de2-4191-920d-afef1e352e70","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_203","3b3e6c32-b6b3-45e1-9a02-777a269bd050","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_204","cca836c0-9757-4a49-a24c-b5510992234d","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_205","72e27fdc-2a3b-4e19-a520-25bfcdd3e4c0","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_206","372fb038-5db2-49c4-a4ff-84860fbd0770","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_207","827a9418-0944-46ec-b1e0-57a976e8a332","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_208","ffd594e3-c3f3-4a13-abee-af60c1ec5f70","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_209","73e17057-046d-4487-9f89-7864b466c2b7","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_210","554fca11-620f-4cb3-8531-c234c81950f7","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_211","8724f107-f89e-48eb-ac5d-f327de819b2f","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_212","58d85ac0-c5c6-440e-aef9-f8098ccadf43","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_213","5815a6ef-395c-4462-be76-a90c6eedcdf8","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_214","2fa33b35-886a-4580-9293-3f0a4647611c","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_215","7b762558-36d0-4c1e-a40b-1cb68f843f39","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_216","884ab9ae-9a58-4d23-9ac3-f24753926e1b","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_217","2f39b435-c03e-47c5-8c8c-24f005e24044","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_218","419a6690-a884-4f18-a923-73953e55b00f","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_219","603ae338-59b3-43d6-b331-6a945987ba82","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_220","8ad75677-2b22-42ad-93ac-98c37de0587c","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_221","b88ebd95-9dbc-42a2-9546-2ba14bc766ce","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_222","82bf7459-2a84-4af4-824a-b28808c86db6","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_223","8069ac4b-032e-4a0f-889d-5106b507e88d","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C25370","Code_224","b3514b7c-e8f3-4b86-9cfd-cd48f16c5371","Code","Exclusion Criteria","http://www.cdisc.org","2023-09-29"
"C29848","Code_175","592989fb-158f-4605-9b47-e55b8e986829","Code","Year","http://www.cdisc.org","2023-09-29"
"C29848","Code_176","c5ad77a7-c1f9-405e-9d15-78305ca10ed8","Code","Year","http://www.cdisc.org","2023-09-29"
"C201357","Code_8","664d8dd4-5841-41ad-a51b-c3cd25221aa5","Code","Before","http://www.cdisc.org","2023-09-29"
"C201355","Code_9","e1aa7c4d-1e5b-49af-b241-7a5ab7317f7b","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201357","Code_11","1fda247e-8647-4ee7-9dc7-657f016db651","Code","Before","http://www.cdisc.org","2023-09-29"
"C201355","Code_12","97743d6e-3109-4a6a-b99c-35974088cd55","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201357","Code_13","76ba15e0-ea44-4ac1-b45f-7625b185272a","Code","Before","http://www.cdisc.org","2023-09-29"
"C201355","Code_14","9cdc2fed-b510-4241-89dc-9ea39001dbbc","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201357","Code_15","4896d95c-973f-4449-afb6-236407808f95","Code","Before","http://www.cdisc.org","2023-09-29"
"C201355","Code_16","1eed188f-d643-42d5-a547-5e99953d84ec","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201357","Code_17","71690f89-4d51-46b3-9e65-df5bf0e7e217","Code","Before","http://www.cdisc.org","2023-09-29"
"C201355","Code_18","6099cc96-50cd-46d8-8521-19507c5ae27a","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201358","Code_19","08c5dffb-7b25-4ffa-9ecd-3c5ac1366ac8","Code","Fixed Reference","http://www.cdisc.org","2023-09-29"
"C201355","Code_20","a9c287df-c7f3-4013-845e-d569133e0abe","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_21","35afe874-0ba0-43d8-9682-206d10aaafec","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_22","4bd6ccf2-7a7c-4a6f-ba96-b89518fe7260","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_23","60744ce8-83eb-4a59-aec4-673021ebd4cb","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_24","a1ce9071-ea3f-41db-b5cd-ae815e0f7abc","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_26","21b3e486-186b-494a-85d0-4b3f3a7ef4be","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_27","138e62aa-29a5-4679-ae1c-131c661f59e1","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_28","1bbf9d86-f43e-4abb-9b7c-2208aa8b3842","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_29","fc373824-c0ca-4358-8af2-f685d8ee6a47","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_30","cec3aefd-6a21-44cb-9804-4272afc0bbd7","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_31","f7938a7d-e1dc-47b8-931a-cd038de083ec","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_32","33c5c290-e494-4aab-a2bf-0235b861d4ef","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_33","cb923b86-7ff7-4d8c-ad62-6dce2396ddfa","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_34","f8ed6060-b9f5-4efb-ad36-3deeaf4c5e27","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_35","2a86729f-1457-4e74-bc36-dd3b36c6e008","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_36","aff50350-cb25-4bf9-9406-c063792b67ed","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_37","46a4d500-beeb-4099-9f25-01ce7f42c8f7","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_39","825dd360-d555-4eb5-a016-5d626bd75e2e","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_40","985d9e65-1875-4f20-a144-8a6d0ef49901","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201357","Code_71","2fe0b460-ccaa-4855-8222-a52811c96c8b","Code","Before","http://www.cdisc.org","2023-09-29"
"C201355","Code_72","1aaccad5-dbbc-4ccd-8ec5-80a028f5f84d","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201357","Code_73","1c01535b-b0b9-4970-89ca-72f6dafa1f7a","Code","Before","http://www.cdisc.org","2023-09-29"
"C201355","Code_74","b928920c-ad65-445a-a238-1c45f615d164","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201357","Code_75","cf118d9b-c2c2-49cd-af0e-02199f23fb7a","Code","Before","http://www.cdisc.org","2023-09-29"
"C201355","Code_76","0d959c46-8309-47a8-a0b6-df6a110a64bb","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201358","Code_77","8ac6ae03-4d37-43d3-af94-383a9fd54dc6","Code","Fixed Reference","http://www.cdisc.org","2023-09-29"
"C201355","Code_78","bd291f92-e539-4f7d-a9ac-ec2939f453df","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_79","6d69a721-0816-425e-81b3-03c07afa8d4b","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_80","eb369bee-4951-4a19-9976-70cf9e0c6277","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201357","Code_41","368529bd-26e8-4725-a412-6f8dad6262ae","Code","Before","http://www.cdisc.org","2023-09-29"
"C201355","Code_42","5446ee7e-53a8-41af-ba8a-5ded937d1c4b","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201358","Code_43","76d3f2a5-36bb-4872-a956-bda0a46d26f5","Code","Fixed Reference","http://www.cdisc.org","2023-09-29"
"C201355","Code_44","ec8a8050-3a17-4798-b3c4-767ea4d42b51","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_45","b2bdcd16-b81c-41a1-a115-aaaeb43926b9","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_46","6f6dabf2-5040-49ae-b275-79a263aa0994","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_47","c0e3a586-4406-4c3c-824f-ee398c2ace8e","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_48","9c17df06-3216-4692-b6c9-aed88eae05c0","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_49","6b9d713f-6b88-4766-9105-3cd22bc2e1cc","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_50","8e4b38e5-d861-4e0b-8fed-605e3e70d874","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_51","9f2dc337-342d-4b8d-9bfb-bde41af1b282","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_52","13a35529-a489-4f52-8d32-1ce5a7263eaa","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_53","d320274f-b349-4361-9c27-ddb56c248e18","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_54","8cf34b90-38cf-4a27-87c4-a5881b6d8038","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_55","493fcfc4-6184-48c9-88ca-68be99c1db1b","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_56","9a8b7829-b418-4693-9e03-3777fde59cba","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_57","4b0bf841-08ca-4904-b923-3039dbb6525a","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_58","88deeeea-3e73-4ea7-b9c5-ed7c87015217","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_59","d5608b1e-08ca-4370-bc63-8dd410ffa6c7","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_60","55fbecc1-224e-47fc-988d-82361cc81d00","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_61","9606aa44-5337-4913-aaa4-240df460c945","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_62","ee45a0ee-7ff1-45e2-b4dc-9ff0fd0917c3","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_63","5ecde872-b98e-43c9-b5c7-7b37ba34a432","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_64","94fae1bf-bedf-4448-b10c-df339e712504","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_65","1688d9f0-cfc7-4b9e-969a-c895148db132","Code","After","http://www.cdisc.org","2023-09-29"
"C201355","Code_66","c79fd70e-3359-4c1f-b727-472f0e193b81","Code","Start to Start","http://www.cdisc.org","2023-09-29"
"C201356","Code_67","fe25933d-90ce-444d-b3e2-cb6c2c6f3eda","Code","After","http://www.cdisc.org","2023-09-29"
