"label","uuid:ID","instanceType","name","id","isRequired","datatype","isEnabled"
"LBFAST","a9a3826f-f944-41b6-961e-1358ce6f7278","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_159","True","","True"
"LBTESTCD","00273fe6-b076-4249-9990-96c086e2d00b","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_160","True","","True"
"LBORRES","91f244a6-3009-4c20-a47b-7a97ca1d8afc","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_161","True","float","True"
"LBORRESU","5d4d50f2-cffc-4f4e-a49f-ee1891deab51","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_162","True","","True"
"LBSPEC","ef5a6209-115e-4186-a705-1906d8c51e7b","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_163","True","","True"
"LBFAST","b311e13c-4e21-4eab-ab95-0e2a3f63043e","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_164","True","","True"
"LBTESTCD","8bf0dd6a-1267-4a78-b1c5-effb0c4397b6","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_165","True","","True"
"LBORRES","6482d969-50e0-47d7-86cf-5c5027450f5d","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_166","True","float","True"
"LBORRESU","75a90928-1029-46d0-b34b-8912a8a67b9a","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_167","True","","True"
"LBSPEC","9b250825-eb8e-4b0f-9683-c175e1b0d330","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_168","True","","True"
"LBFAST","2b55bd23-a74f-429b-b694-3c3d0f1abf4b","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_169","True","","True"
"AETERM","edb3eaa0-cebc-4584-81bb-4bd2e15e4d52","BiomedicalConceptProperty","AETERM","BiomedicalConceptProperty_1","True","text","True"
"AEDECOD","b4de96bc-bf13-4b60-936c-67c051d04673","BiomedicalConceptProperty","AEDECOD","BiomedicalConceptProperty_2","True","text","True"
"AEPRESP","ebe61e7e-07c9-499d-8bd5-7e83547cfc5b","BiomedicalConceptProperty","AEPRESP","BiomedicalConceptProperty_3","True","text","True"
"AELOC","4a931163-6a1b-4ba5-9c5f-d35e5d49e345","BiomedicalConceptProperty","AELOC","BiomedicalConceptProperty_4","True","text","True"
"AESEV","b617d021-9c08-431b-a7bd-97e4dfc2684c","BiomedicalConceptProperty","AESEV","BiomedicalConceptProperty_5","True","text","True"
"AESER","9d5bf740-cc20-43b2-87c3-127f2cc83df8","BiomedicalConceptProperty","AESER","BiomedicalConceptProperty_6","True","text","True"
"AEACN","bf71b851-519f-496d-a9b3-7a962e152c58","BiomedicalConceptProperty","AEACN","BiomedicalConceptProperty_7","True","text","True"
"AEACNOTH","904f49db-8052-4b9c-a1db-cc4e7b1e020a","BiomedicalConceptProperty","AEACNOTH","BiomedicalConceptProperty_8","True","text","True"
"AEREL","cc7801de-6636-4e95-8496-8d1f0c433479","BiomedicalConceptProperty","AEREL","BiomedicalConceptProperty_9","True","text","True"
"AERELNST","adf957f7-73e6-47bc-aa74-4cb4e0e77a23","BiomedicalConceptProperty","AERELNST","BiomedicalConceptProperty_10","True","text","True"
"AEPATT","7ce73d42-3b38-4c7b-8fca-66c7d1a82576","BiomedicalConceptProperty","AEPATT","BiomedicalConceptProperty_11","True","text","True"
"AEOUT","ff270d9e-b27b-4847-9314-efc13e79c6b7","BiomedicalConceptProperty","AEOUT","BiomedicalConceptProperty_12","True","text","True"
"AESCAN","09a3adbc-32d5-40a6-8bea-9aee1915ac30","BiomedicalConceptProperty","AESCAN","BiomedicalConceptProperty_13","True","text","True"
"AESCONG","15a92ff1-0bfa-4656-8db0-c233ddcfcbb6","BiomedicalConceptProperty","AESCONG","BiomedicalConceptProperty_14","True","text","True"
"AESDISAB","ec69fe7b-9bc5-4939-9533-0dfbf0f9f383","BiomedicalConceptProperty","AESDISAB","BiomedicalConceptProperty_15","True","text","True"
"AESDTH","735196cb-139d-4d97-a240-bb199b738539","BiomedicalConceptProperty","AESDTH","BiomedicalConceptProperty_16","True","text","True"
"AESHOSP","7aa1b5d9-ae17-4802-8017-79070b951744","BiomedicalConceptProperty","AESHOSP","BiomedicalConceptProperty_17","True","text","True"
"AESLIFE","c87b93be-2414-4357-8e44-b40f3c8af7ee","BiomedicalConceptProperty","AESLIFE","BiomedicalConceptProperty_18","True","text","True"
"AESOD","db90c6dd-9ddf-4ed2-bd84-25134d87888e","BiomedicalConceptProperty","AESOD","BiomedicalConceptProperty_19","True","text","True"
"AESMIE","f0a6473c-bafd-4bfb-a8c8-63844b074a83","BiomedicalConceptProperty","AESMIE","BiomedicalConceptProperty_20","True","text","True"
"AECONTRT","4873346c-1ffb-416a-b75a-4bf0623023fb","BiomedicalConceptProperty","AECONTRT","BiomedicalConceptProperty_21","True","text","True"
"AESTDTC","26f31194-c3c7-467b-85f2-4e60331d6401","BiomedicalConceptProperty","AESTDTC","BiomedicalConceptProperty_22","True","datetime","True"
"AEENDTC","0acd45d1-6821-44fe-8ffe-c2f63f47f161","BiomedicalConceptProperty","AEENDTC","BiomedicalConceptProperty_23","True","datetime","True"
"VSTESTCD","955ef3bf-7032-4458-93eb-d0a2a6b49107","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_24","True","","True"
"VSORRES","2b04bc81-abe2-4dca-8166-f2d5385ecb40","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_25","True","integer","True"
"VSORRESU","dcc466c4-c1e5-4d3d-96bc-430cfe11c822","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_26","True","","True"
"VSPOS","bc006467-e059-4d2b-a51c-d1704233f717","BiomedicalConceptProperty","VSPOS","BiomedicalConceptProperty_27","True","","True"
"VSLOC","b2e9dcea-f1cf-466f-8bea-e8abfe99d763","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_28","True","","True"
"VSLAT","d5c8e17e-0880-438d-9fe9-9533b9a4fca6","BiomedicalConceptProperty","VSLAT","BiomedicalConceptProperty_29","True","","True"
"VSTESTCD","1b6d73aa-a7af-407f-9697-253f08e58667","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_30","True","","True"
"VSORRES","9cc0eba7-e2d2-442c-86dc-0ca65876a9c1","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_31","True","integer","True"
"VSORRESU","a8fb2fac-5100-4fd3-bfb5-0ed4041bcbda","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_32","True","","True"
"VSPOS","36ec6021-cfda-4ad0-b7b5-a1208577f10b","BiomedicalConceptProperty","VSPOS","BiomedicalConceptProperty_33","True","","True"
"VSLOC","312f10e9-c9a2-4b20-b396-a890e2b6e7d9","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_34","True","","True"
"VSLAT","07da2bb3-de9b-4a22-8786-3f2a1483e737","BiomedicalConceptProperty","VSLAT","BiomedicalConceptProperty_35","True","","True"
"VSTESTCD","b1c27af8-2d15-48a5-8de4-4e4fb03a383c","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_36","True","","True"
"VSORRES","c7fa959d-10b9-4316-a7a1-f296ff4bcf27","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_37","True","float","True"
"VSORRESU","38f88512-f235-46b9-b935-cdb75107842a","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_38","True","","True"
"VSLOC","2c2d9ac0-fd2b-48bf-9a7e-a8c6d8e95e49","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_39","True","","True"
"VSTESTCD","9a5178b2-2688-491e-871d-59e82fb11f30","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_40","True","","True"
"VSORRES","b96f778f-53fd-431c-8ce7-2e661e426be6","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_41","True","float","True"
"VSORRESU","1b0d8017-46d5-4cd5-9eb5-a3a49642d0ca","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_42","True","","True"
"VSTESTCD","47a51e56-216c-49a5-884b-187c4adbf05c","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_43","True","","True"
"VSORRES","03bee4c8-c5e2-494d-b26e-d6236279726d","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_44","True","float","True"
"VSORRESU","d4210519-53c5-437b-87ad-508bacf05fba","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_45","True","","True"
"LBTESTCD","bbbd9993-8a0c-4779-a6b4-7697d92c237c","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_46","True","","True"
"LBORRES","c79dbdcb-b9f0-453f-8727-b96806fd1413","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_47","True","float","True"
"LBORRESU","35241817-4632-42a9-b23b-0ed8f4375e52","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_48","True","","True"
"LBSPEC","f4fb372f-33d6-49fe-9cbe-1398fa78fdd5","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_49","True","","True"
"LBFAST","a14a2fa4-78ea-4b10-b817-33231a1177c0","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_50","True","","True"
"LBTESTCD","0eb646f8-8cc3-49d8-8adc-c3796e4b6746","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_51","True","","True"
"LBORRES","266d59cb-02e2-4806-a2b8-44506759a08e","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_52","True","text","True"
"LBSPEC","903c1909-7338-45c9-987d-84798d092c05","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_53","True","","True"
"LBFAST","e56b9b21-9c46-4b28-b04c-a39819edbab4","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_54","True","","True"
"LBTESTCD","25387e91-2e0b-4bc1-bb23-954f191f770c","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_55","True","","True"
"LBORRES","44d2092c-c284-4a4c-808b-b9ed2d59645e","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_56","True","float","True"
"LBORRESU","cf2e1944-6263-48db-bbf6-1045d6a36a16","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_57","True","","True"
"LBSPEC","39254566-c238-47ca-9ad9-07b19f3e292b","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_58","True","","True"
"LBFAST","aafc744b-fa52-460f-bd23-55cd6c52bc32","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_59","True","","True"
"LBTESTCD","e498982b-d14e-4fea-979e-0d45d74301a2","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_60","True","","True"
"LBORRES","72b56ea7-0e12-4804-ba0f-0564dd1182f9","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_61","True","float","True"
"LBORRESU","a8cfe56f-fa79-4bfa-a9b8-58a1aba9a47b","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_62","True","","True"
"LBSPEC","bf95f6b1-667d-4bd5-892a-ddf9319d5f95","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_63","True","","True"
"LBFAST","867b57c9-0e42-4ef0-aeaa-88f01411fd75","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_64","True","","True"
"LBTESTCD","e7be0291-651f-4b93-8b6d-63458ce35596","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_65","True","","True"
"LBORRES","6c220f77-b5ff-4672-b7c1-2e67d77ca57c","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_66","True","float","True"
"LBORRESU","cdd13ce3-e2f7-47d6-ab96-7dd2bf2b5c3c","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_67","True","","True"
"LBSPEC","afdb6e49-a983-4299-bdd4-6e6d638d0039","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_68","True","","True"
"LBFAST","d92045f2-af72-4a6e-8a6b-8f077a3970cf","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_69","True","","True"
"LBTESTCD","1076e740-11da-48b3-9edc-d4c14feea4d1","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_70","True","","True"
"LBORRES","7b674041-3128-4c7b-b4ef-05f673f10ea8","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_71","True","float","True"
"LBORRESU","5af98d67-d1cb-44c7-8aa4-5c9bddc7650d","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_72","True","","True"
"LBSPEC","02d252e9-8407-4690-bb87-45373483e4cf","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_73","True","","True"
"LBFAST","54c4b885-cb3b-45c3-9c59-fd22e2dc3125","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_74","True","","True"
"LBTESTCD","55980e5f-a902-4e44-a0c8-364035ecf2bd","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_75","True","","True"
"LBORRES","79893bfd-90fc-46b7-b3ca-cd3cb02ab95e","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_76","True","float","True"
"LBORRESU","5ff822e2-7709-4963-b93d-db8271fcd881","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_77","True","","True"
"LBSPEC","b02976ab-820d-47d4-aaa3-de14259e4734","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_78","True","","True"
"LBFAST","c38be7da-295e-4fdb-a60d-1c173926aab7","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_79","True","","True"
"VSTESTCD","65a48195-db31-4dea-9d6f-7bd12e9efa2b","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_80","True","","True"
"VSORRES","3b55e3bd-ab63-4039-b3d0-36f95514d816","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_81","True","integer","True"
"VSORRESU","113a9df5-c645-4d2d-ad24-02608c7b671c","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_82","True","","True"
"VSPOS","9cc49b6c-dfba-4204-be5e-d0f484082bf8","BiomedicalConceptProperty","VSPOS","BiomedicalConceptProperty_83","True","","True"
"VSLOC","72e3c44a-9d37-4097-829c-61fac59fb8a7","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_84","True","","True"
"VSLAT","536f4116-7bd1-4c12-b95e-a6bad4fe78f0","BiomedicalConceptProperty","VSLAT","BiomedicalConceptProperty_85","True","","True"
"VSTESTCD","2b6227da-a21b-4878-98bc-65f11ca4393e","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_86","True","","True"
"VSORRES","d63f391e-d44a-4827-8a5c-c7a3d5736778","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_87","True","integer","True"
"VSORRESU","258bd537-bc43-4ba6-ac7e-562e678b87b5","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_88","True","","True"
"VSPOS","ff387ddc-4907-4fed-8b4c-19b083292874","BiomedicalConceptProperty","VSPOS","BiomedicalConceptProperty_89","True","","True"
"VSLOC","195dd61b-694b-4938-961d-121c8c69e540","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_90","True","","True"
"VSLAT","b6b34787-26da-4619-a233-8a42509841b4","BiomedicalConceptProperty","VSLAT","BiomedicalConceptProperty_91","True","","True"
"VSTESTCD","eb0d1553-88e9-43e6-9599-ffe66dc99883","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_92","True","","True"
"VSORRES","4d0021fd-f4ff-4997-b7e6-2001182c7de4","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_93","True","integer","True"
"VSORRESU","b559b49e-fe0d-4fe7-a0b3-886fddb2e558","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_94","True","","True"
"VSPOS","bb421ac0-ac4f-450a-8994-43aaa194387f","BiomedicalConceptProperty","VSPOS","BiomedicalConceptProperty_95","True","","True"
"VSLOC","0171af45-7ef1-4a18-9a5c-f2cfbcf78215","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_96","True","","True"
"VSLAT","134992e4-8e6f-41d4-ade6-ae78651a9cad","BiomedicalConceptProperty","VSLAT","BiomedicalConceptProperty_97","True","","True"
"VSTESTCD","5a061d83-3209-4625-a317-b33f4501aac5","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_98","True","","True"
"VSORRES","fd10c7a9-202a-496b-9da6-b5f8c743304e","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_99","True","integer","True"
"VSORRESU","18908f9b-fd0d-4529-b289-9c31f75be752","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_100","True","","True"
"VSPOS","905e6c49-f1ed-4b65-9c25-c3149c393a18","BiomedicalConceptProperty","VSPOS","BiomedicalConceptProperty_101","True","","True"
"VSLOC","be1deabd-6d6f-4ab7-b0ac-97d66b46c45c","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_102","True","","True"
"VSLAT","68798874-3124-4642-b5e8-4850a0d7913a","BiomedicalConceptProperty","VSLAT","BiomedicalConceptProperty_103","True","","True"
"VSTESTCD","86865d9b-a072-435d-93a6-14c372fce8ea","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_104","True","","True"
"VSORRES","632c7b0f-4e02-448f-86f5-3ae715218aa9","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_105","True","integer","True"
"VSORRESU","07b7404b-9ee3-439b-869f-8478eb321ae3","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_106","True","","True"
"VSPOS","568fb17f-08a6-4339-bb82-0cd129933bb4","BiomedicalConceptProperty","VSPOS","BiomedicalConceptProperty_107","True","","True"
"VSLOC","34a1c1f6-31e4-4ba1-accb-619268e384f9","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_108","True","","True"
"VSLAT","44af4324-c332-45ed-a7b3-fb8660759487","BiomedicalConceptProperty","VSLAT","BiomedicalConceptProperty_109","True","","True"
"VSTESTCD","d516409b-6328-4095-8238-494e4787ae5d","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_110","True","","True"
"VSORRES","235499bb-8265-48fe-924e-85ead13646f5","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_111","True","integer","True"
"VSORRESU","4d55fe64-221a-446f-b877-f3b2a53cbe11","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_112","True","","True"
"VSPOS","f1ea7a7e-1efd-46d0-ab0d-8d4c7654fcba","BiomedicalConceptProperty","VSPOS","BiomedicalConceptProperty_113","True","","True"
"VSLOC","5b3c9884-06e5-4515-86ca-7847f54ad841","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_114","True","","True"
"VSLAT","4ccb0e3d-7dd7-463f-a61d-7aea631b362f","BiomedicalConceptProperty","VSLAT","BiomedicalConceptProperty_115","True","","True"
