"label","id","datatype","uuid:ID","isRequired","instanceType","isEnabled","name"
"LBORRESU","BiomedicalConceptProperty_147","","6fe8b4ed-8dcc-4292-8f80-e9a016306037","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_148","","caaea889-6cd1-4aed-81bc-d9f4b8fce990","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_149","","29f8dc03-6336-4887-b6ad-4f342df6de02","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_150","","20060776-b747-434b-af68-60242c9a4bd0","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_151","float","749ce388-88aa-4194-a092-5cd6285758ea","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_152","","c76678a1-34e2-469c-99f7-094097dee152","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_153","","91334b84-bda0-4696-a6dc-3aaa4c5ad54c","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_154","","41d9c53e-489e-423c-a884-3beaa9329632","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_155","","1bc721f3-cd53-4c1e-8690-e065e0700c87","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_156","float","265d27c4-b343-4fa3-940f-70faf57b9ea7","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_157","","bb3a4c7d-2d3d-4556-9557-cb2299abf693","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_158","","675389b2-8258-44a5-953b-fe74af4fe107","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_159","","34c41a95-ce1e-475b-a71e-ebadd95dbe11","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_160","","5df8f88a-24f6-444c-8bd3-35dc0d11658c","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_161","float","cfc1a3da-27e7-4983-8413-19d35f39b2f8","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_162","","052f20b9-cab9-4fd7-ac49-b7f8c39b9a53","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_163","","bc5d8fd5-1236-420a-9d4c-04b440b1f6b3","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_164","","2648ba8f-1407-49e6-a9ac-77479a4c8ec0","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_165","","aeaf516e-d277-4cff-b847-fbf9e727c5c6","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_166","float","25491285-af86-492a-a128-69110baca01b","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_167","","470ee587-dd50-45a5-ab4b-32a5dfbd8d2e","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_168","","240c3eb1-92ad-42fc-9911-5b21e6f899bd","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_169","","56d6bac8-d232-4ac8-b3e1-379eafdd64d3","True","BiomedicalConceptProperty","True","LBFAST"
"AETERM","BiomedicalConceptProperty_1","text","6cd422d2-20d2-4817-b5e1-c46ba018df9e","True","BiomedicalConceptProperty","True","AETERM"
"AEDECOD","BiomedicalConceptProperty_2","text","3cc7abb7-97a0-4e34-8989-e79aab87d52d","True","BiomedicalConceptProperty","True","AEDECOD"
"AEPRESP","BiomedicalConceptProperty_3","text","6575a012-7318-4325-a494-64002b718578","True","BiomedicalConceptProperty","True","AEPRESP"
"AELOC","BiomedicalConceptProperty_4","text","bd2e3922-5026-476a-a07b-5395688ec719","True","BiomedicalConceptProperty","True","AELOC"
"AESEV","BiomedicalConceptProperty_5","text","1d7620c9-508c-4476-9146-7d750d776597","True","BiomedicalConceptProperty","True","AESEV"
"AESER","BiomedicalConceptProperty_6","text","b0447651-97ee-48cf-93a0-4f931aebb55c","True","BiomedicalConceptProperty","True","AESER"
"AEACN","BiomedicalConceptProperty_7","text","a9b692d5-31e9-4a87-9e2f-5ef3d536bbc3","True","BiomedicalConceptProperty","True","AEACN"
"AEACNOTH","BiomedicalConceptProperty_8","text","df537939-8fef-4aae-9404-6fed35eeb991","True","BiomedicalConceptProperty","True","AEACNOTH"
"AEREL","BiomedicalConceptProperty_9","text","2f8f862b-9e7c-43cd-b1c9-bbcbf37d0140","True","BiomedicalConceptProperty","True","AEREL"
"AERELNST","BiomedicalConceptProperty_10","text","319ad50c-7c93-4a03-871f-27272bd84a83","True","BiomedicalConceptProperty","True","AERELNST"
"AEPATT","BiomedicalConceptProperty_11","text","1b9abc57-0f65-4fb9-8910-839b4a729ca2","True","BiomedicalConceptProperty","True","AEPATT"
"AEOUT","BiomedicalConceptProperty_12","text","1a2276a8-4b5d-4bd8-aba7-8907f7294de4","True","BiomedicalConceptProperty","True","AEOUT"
"AESCAN","BiomedicalConceptProperty_13","text","24bbf644-770d-4666-8a7b-0c1edd0d57b3","True","BiomedicalConceptProperty","True","AESCAN"
"AESCONG","BiomedicalConceptProperty_14","text","f1f220bc-c13e-4064-8aa9-ab4ebb1c6457","True","BiomedicalConceptProperty","True","AESCONG"
"AESDISAB","BiomedicalConceptProperty_15","text","5c426a4f-531a-4f3f-b571-eac0dc6f117f","True","BiomedicalConceptProperty","True","AESDISAB"
"AESDTH","BiomedicalConceptProperty_16","text","dc3c1e5e-04d3-4995-8748-4031b71389d4","True","BiomedicalConceptProperty","True","AESDTH"
"AESHOSP","BiomedicalConceptProperty_17","text","3a8b5569-b93f-4b90-ae07-2af7af27c404","True","BiomedicalConceptProperty","True","AESHOSP"
"AESLIFE","BiomedicalConceptProperty_18","text","f4ff4e78-c8d9-476f-9ed6-19719ec7c8ec","True","BiomedicalConceptProperty","True","AESLIFE"
"AESOD","BiomedicalConceptProperty_19","text","d73944f9-40bd-4478-b54a-dd0a46459cd4","True","BiomedicalConceptProperty","True","AESOD"
"AESMIE","BiomedicalConceptProperty_20","text","fefe85a0-14ab-4b90-92d7-3a149297b863","True","BiomedicalConceptProperty","True","AESMIE"
"AECONTRT","BiomedicalConceptProperty_21","text","da43d219-45fd-41a1-8a6d-569bc18e22f2","True","BiomedicalConceptProperty","True","AECONTRT"
"AESTDTC","BiomedicalConceptProperty_22","datetime","983d27a0-beb5-4e9c-a9d6-5f09c54cfb9c","True","BiomedicalConceptProperty","True","AESTDTC"
"AEENDTC","BiomedicalConceptProperty_23","datetime","78275537-69ac-4517-9f00-061156f5c3d2","True","BiomedicalConceptProperty","True","AEENDTC"
"VSTESTCD","BiomedicalConceptProperty_24","","27bb89f5-2dcf-417f-b15c-02ab87771ac2","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_25","integer","2027548b-610c-40ba-8d44-c9fbba127424","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_26","","94383036-9610-437c-9672-9fc956eefe98","True","BiomedicalConceptProperty","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty_27","","c5cabf17-0565-48cf-93ab-91b51847ebd2","True","BiomedicalConceptProperty","True","VSPOS"
"VSLOC","BiomedicalConceptProperty_28","","b8b19b78-2168-4ad2-98b3-585562a2f490","True","BiomedicalConceptProperty","True","VSLOC"
"VSLAT","BiomedicalConceptProperty_29","","28e2fcdc-b86f-422d-8521-aa1f3415860d","True","BiomedicalConceptProperty","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty_30","","be97290b-8ba9-4801-91a3-4f13ce80dbd0","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_31","integer","f2cf3c2f-e32f-4ecd-b535-a98c392a85dc","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_32","","24b3cb47-dc1c-48e3-9e81-760abcb976f5","True","BiomedicalConceptProperty","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty_33","","c4b21e34-0eaa-435e-9fa0-e244ecbb90ab","True","BiomedicalConceptProperty","True","VSPOS"
"VSLOC","BiomedicalConceptProperty_34","","8899ba17-49cc-4cf4-91f5-74d07154adaa","True","BiomedicalConceptProperty","True","VSLOC"
"VSLAT","BiomedicalConceptProperty_35","","51fd59db-25fc-498d-83bc-e2dbbdc5bb8a","True","BiomedicalConceptProperty","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty_36","","c9e03368-616b-4029-b084-c41a96657008","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_37","float","8bf4af23-d977-40f5-aa36-8abf1c68db54","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_38","","a3a06fbd-8ebd-43fc-b4d3-2558dbf2f169","True","BiomedicalConceptProperty","True","VSORRESU"
"VSLOC","BiomedicalConceptProperty_39","","32f8fa42-8f9b-4382-b7d1-d5a630d89c1d","True","BiomedicalConceptProperty","True","VSLOC"
"VSTESTCD","BiomedicalConceptProperty_40","","59fa183d-b503-4238-943d-fbd95dee2f62","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_41","float","292a2d40-261a-4f22-9bd3-f7ef71c78b9d","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_42","","7f6a6767-07ca-451e-97df-a4adc972606c","True","BiomedicalConceptProperty","True","VSORRESU"
"VSTESTCD","BiomedicalConceptProperty_43","","d6432f8c-2bd4-4645-afb5-bbc36224ad27","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_44","float","00adf658-8e1c-4c2c-806b-b69136a75097","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_45","","cb90528d-dc31-451e-9a96-9253c794ae1d","True","BiomedicalConceptProperty","True","VSORRESU"
"LBTESTCD","BiomedicalConceptProperty_46","","9461774b-8b74-49cb-89ca-b1d00a634f16","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_47","float","c61dc19f-819a-4ebf-a4ea-4d26226b8cf4","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_48","","9bc94d38-dfbd-454b-b957-06e56edfc937","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_49","","1b32f5a7-bc85-40bb-a72d-e2f0cb594596","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_50","","d63546f6-03d3-4f3d-9be6-810631398d43","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_51","","da351618-464e-490e-9dac-88c34e64b33b","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_52","text","e15ca308-7a5a-48cc-b4c3-0bd3a5839700","True","BiomedicalConceptProperty","True","LBORRES"
"LBSPEC","BiomedicalConceptProperty_53","","7a86847c-517e-4861-8f84-daba971a7772","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_54","","bc9ddf50-4e0d-43e5-90f2-4f617c329169","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_55","","5ea36475-3006-42ae-ac02-8adaeefec9d0","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_56","float","1eccfc7b-bf84-4cbd-8032-1883d83090b6","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_57","","e79732ab-513e-475a-b090-bb927af37724","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_58","","23496b0b-a51c-40fc-8ea1-424162710df4","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_59","","9f2d5ed6-4f39-456c-b1ac-cf0eae3b969c","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_60","","30076e71-de74-499f-94e9-c6f7300b96e6","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_61","float","deb58c3a-96ad-44a1-a01a-039f28b88011","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_62","","55a05df7-d508-4b42-aaeb-a4c6d8753a66","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_63","","1c54ff82-3493-456d-8541-06bb2d234775","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_64","","d98b80ff-7106-4422-bc30-ea44be7e7603","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_65","","cc010c0b-d93b-461e-bf4b-e0b460e9e535","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_66","float","3df15d28-ffaf-4565-93f8-81932214f750","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_67","","21503eba-3614-44b2-adc5-13e27cf2198a","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_68","","5da78e52-05db-4aa8-9a84-b1bd2c61147b","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_69","","b618fce4-3a62-4b57-bdd8-99bf1dbbe3a5","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_70","","831a82b1-b5d5-4ef8-a5f8-663690d36258","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_71","float","43499995-61be-41c8-b14c-f2c7aee6c6aa","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_72","","20666b08-d13a-4ee8-afa1-293780cb0c3c","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_73","","ef4a7f47-5e7d-4a6d-b5b1-623102d4f475","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_74","","13252439-6df1-4a5a-8c85-4a3fb486f15f","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_75","","4ea08940-18be-4378-80ec-2660d1ef619a","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_76","float","7dcb70d2-ac40-4124-9a70-f0970f0fb601","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_77","","c61af100-76db-44c7-a676-aeb645f554d4","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_78","","925178cf-e721-4e23-a6d8-2288d2d36e07","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_79","","a3fcc71a-a467-48ef-a6fd-f85a524893c0","True","BiomedicalConceptProperty","True","LBFAST"
"VSTESTCD","BiomedicalConceptProperty_80","","75fe5b90-fbb0-40dd-a541-59632ec87124","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_81","integer","7eff78d2-ecf1-4e02-9a95-a50a2bc74b44","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_82","","b2801fb7-2213-4a26-b7ea-c27d62a985a1","True","BiomedicalConceptProperty","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty_83","","6b9cc55d-4e0a-4300-a211-cf2ef77073d1","True","BiomedicalConceptProperty","True","VSPOS"
"VSLOC","BiomedicalConceptProperty_84","","f5518ea9-87c1-47f0-be48-81a8d7839f8c","True","BiomedicalConceptProperty","True","VSLOC"
"VSLAT","BiomedicalConceptProperty_85","","8a00b296-7483-4f95-8173-6699fda35262","True","BiomedicalConceptProperty","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty_86","","3bef14a8-156a-4c0a-9b3a-0aff902cddba","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_87","integer","987fc639-a8e5-4699-b22b-e212729c4da0","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_88","","dd4e2829-0ac5-4707-a442-4a4b1e523c18","True","BiomedicalConceptProperty","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty_89","","4e05b961-b1e5-4853-9705-6000667451ef","True","BiomedicalConceptProperty","True","VSPOS"
"VSLOC","BiomedicalConceptProperty_90","","8dde1c06-4d17-4e78-af7d-f08277787cb3","True","BiomedicalConceptProperty","True","VSLOC"
"VSLAT","BiomedicalConceptProperty_91","","4430d66b-7883-4e87-8e37-c512312d8fa4","True","BiomedicalConceptProperty","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty_92","","c096dd6f-6e5f-4019-9af9-cd4faff8e3a8","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_93","integer","3d22b947-4e31-4bfd-8d5d-2c76a58f4cef","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_94","","9159e44f-dbad-43c6-8310-234c01736f8b","True","BiomedicalConceptProperty","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty_95","","67fb27bf-33dd-4ebc-9bd0-cee878eb8291","True","BiomedicalConceptProperty","True","VSPOS"
"VSLOC","BiomedicalConceptProperty_96","","9f8fe92f-7e30-42a8-b0de-41e4400232d8","True","BiomedicalConceptProperty","True","VSLOC"
"VSLAT","BiomedicalConceptProperty_97","","03208c71-2bb1-409c-9c4f-d092d8964f85","True","BiomedicalConceptProperty","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty_98","","8a7f4402-966d-478b-9825-1400e71ec9e7","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_99","integer","b6e3cece-ece0-4300-86f5-2c1c0b58c179","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_100","","120d7f4a-69ed-4fd7-84e2-ab6df44bfea1","True","BiomedicalConceptProperty","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty_101","","3160e9fc-3197-4d9a-b06f-3a3b298bbe00","True","BiomedicalConceptProperty","True","VSPOS"
"VSLOC","BiomedicalConceptProperty_102","","6b20ec8b-4d24-4418-8520-e2464943e5a0","True","BiomedicalConceptProperty","True","VSLOC"
"VSLAT","BiomedicalConceptProperty_103","","bba181af-db8c-45cc-90c3-41d837fd9c6c","True","BiomedicalConceptProperty","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty_104","","000d43a9-c52f-4521-b8a2-c602b50e2861","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_105","integer","39782439-4ff2-4207-ae80-b06c648ec748","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_106","","9a3f62ac-c8b1-444f-adb4-3dd85886fa58","True","BiomedicalConceptProperty","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty_107","","cdd2c3a2-1ec9-4e53-8be9-b8b360a07a05","True","BiomedicalConceptProperty","True","VSPOS"
"VSLOC","BiomedicalConceptProperty_108","","1a17e08a-97c0-497e-a6a3-0f65e4f05c52","True","BiomedicalConceptProperty","True","VSLOC"
"VSLAT","BiomedicalConceptProperty_109","","8e41d644-6009-4dfe-bbef-138514f74a66","True","BiomedicalConceptProperty","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty_110","","d0fd5eb8-0520-4a91-9876-b0cfbc7ef0fe","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_111","integer","d556127e-2bc1-48ec-abe0-ac67d3e3d30e","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_112","","be2edc65-d144-4ed7-aedc-83c7c76523c6","True","BiomedicalConceptProperty","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty_113","","96a4404a-c6ef-4a1c-97cd-ebe5a86be925","True","BiomedicalConceptProperty","True","VSPOS"
"VSLOC","BiomedicalConceptProperty_114","","d4414c45-4ac4-410a-854a-44e5cff2a5b4","True","BiomedicalConceptProperty","True","VSLOC"
"VSLAT","BiomedicalConceptProperty_115","","50bd35a4-fe82-4536-9d1d-bf403ac4171f","True","BiomedicalConceptProperty","True","VSLAT"
