"isRequired","isEnabled","label","instanceType","name","datatype","id","uuid:ID"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_140","fde1d225-4111-420a-a4fa-dad4e71363c3"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_141","4e5d40c3-9641-4b49-9c33-5a2e7a28551b"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_142","2855cf66-6a8f-4123-81eb-f862cea23091"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_143","36de47e2-5548-4ffe-a2ee-5d031793d6e2"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_144","500d7907-873c-4b4b-92ba-b03cd1cb3a6c"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_145","f5b5f8cd-96d9-43ba-a267-36fc1a7b5047"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_146","1d461143-26a0-42d3-9402-24d74d501ede"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_147","b78d4188-5f0a-440a-824d-7fef872c1bca"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_148","89e64394-588e-4e1e-bda9-b11043d575d9"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_149","a3bbe412-6fa9-4b55-b446-9a05494a0131"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_150","a0f140f6-4a73-4dff-bc28-029ff9fd836a"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_151","b21d1a68-6715-48b3-a32a-d7aaee5a2fd4"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_152","1667f29b-64af-4d71-87c1-1fc53b540e80"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_153","8de2966c-6279-4c5e-b77e-4b0da9fc0939"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_154","fe0c02e5-ddc9-48ed-ac86-e84f7282caca"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_155","a795a55f-de64-41b1-bb4a-5ed6d7c2d5bd"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_156","698fea71-ec58-4063-8a83-2062126d22b6"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_157","e6c1da4d-28e3-4613-874d-856420a38729"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_158","705a9736-833e-476a-a6fe-a6b8a20e7fd0"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_159","a31f3962-29b9-4a7e-9dc2-c8cad2fc18d1"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_160","04da2baf-8b9c-46c9-8eee-b099635ab113"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_161","78cac386-960c-4c11-9dbd-c698cf7e35b4"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_162","4ecdb206-5e8d-4a1e-bcbf-564ee856e314"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_163","81668bb8-7f37-4bdf-b0b5-e1c28d6f9805"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_164","c5ba1a3d-374b-43b0-8bcf-d45948f91a60"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_165","1b73f4ce-4698-4fd8-a27e-1c6b0117b6c5"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_166","cbfd7553-f2c7-4ed2-a751-4135a409604e"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_167","96995181-cf46-46b8-9eda-dbca636772b5"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_168","11e537ce-74e2-49d3-9a8f-5de7a47f2a8d"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_169","3a54221b-6308-4cda-aeb6-74c336cef1a8"
"True","True","AETERM","BiomedicalConceptProperty","AETERM","text","BiomedicalConceptProperty_1","bd34ad6b-29f3-4fb0-83c8-f7ac09a1ae2b"
"True","True","AEDECOD","BiomedicalConceptProperty","AEDECOD","text","BiomedicalConceptProperty_2","a8dec9cf-03ca-4c94-8676-a0a91f413373"
"True","True","AEPRESP","BiomedicalConceptProperty","AEPRESP","text","BiomedicalConceptProperty_3","4685b07d-89be-4e0e-a3f8-b01bd9903387"
"True","True","AELOC","BiomedicalConceptProperty","AELOC","text","BiomedicalConceptProperty_4","d234fc0a-87a8-4f20-a8d3-641c21a7fbc1"
"True","True","AESEV","BiomedicalConceptProperty","AESEV","text","BiomedicalConceptProperty_5","aee3fe4f-66f7-4e3c-a054-d727c141bec1"
"True","True","AESER","BiomedicalConceptProperty","AESER","text","BiomedicalConceptProperty_6","1928e52d-933d-413f-b173-7c758382cdad"
"True","True","AEACN","BiomedicalConceptProperty","AEACN","text","BiomedicalConceptProperty_7","a36de606-ab39-4243-9a99-261e65de291f"
"True","True","AEACNOTH","BiomedicalConceptProperty","AEACNOTH","text","BiomedicalConceptProperty_8","40a09579-f1a8-475c-9e1d-71012d541612"
"True","True","AEREL","BiomedicalConceptProperty","AEREL","text","BiomedicalConceptProperty_9","ff890a1d-0179-431c-84cb-d7ca09a2e4e7"
"True","True","AERELNST","BiomedicalConceptProperty","AERELNST","text","BiomedicalConceptProperty_10","18b0c2dc-ee32-4e58-b034-1a07c838a8cf"
"True","True","AEPATT","BiomedicalConceptProperty","AEPATT","text","BiomedicalConceptProperty_11","aca75edb-7e20-472f-848a-4f300f7cca92"
"True","True","AEOUT","BiomedicalConceptProperty","AEOUT","text","BiomedicalConceptProperty_12","b34b61c7-aa26-4108-805e-7eb1804e2334"
"True","True","AESCAN","BiomedicalConceptProperty","AESCAN","text","BiomedicalConceptProperty_13","1439e0a9-fbf2-496c-8203-1b92188931d1"
"True","True","AESCONG","BiomedicalConceptProperty","AESCONG","text","BiomedicalConceptProperty_14","c26fe645-66a5-4ea9-887b-4f2e20a42143"
"True","True","AESDISAB","BiomedicalConceptProperty","AESDISAB","text","BiomedicalConceptProperty_15","3eaab75e-f453-4e99-94ea-ea61ad3cea22"
"True","True","AESDTH","BiomedicalConceptProperty","AESDTH","text","BiomedicalConceptProperty_16","f1ce3793-e0c3-4e8e-8562-a2890d539444"
"True","True","AESHOSP","BiomedicalConceptProperty","AESHOSP","text","BiomedicalConceptProperty_17","a04c5412-1841-4e81-adaa-136e0a22ca8f"
"True","True","AESLIFE","BiomedicalConceptProperty","AESLIFE","text","BiomedicalConceptProperty_18","f5299bce-9df6-4336-8346-d6d066a65a0b"
"True","True","AESOD","BiomedicalConceptProperty","AESOD","text","BiomedicalConceptProperty_19","5163979c-3ccf-4b97-b9d7-99a48d8ff7e5"
"True","True","AESMIE","BiomedicalConceptProperty","AESMIE","text","BiomedicalConceptProperty_20","4888345f-0ca8-4999-9d89-d3b0eb87801b"
"True","True","AECONTRT","BiomedicalConceptProperty","AECONTRT","text","BiomedicalConceptProperty_21","01f2222f-3dc3-40c9-b636-af381d16468b"
"True","True","AESTDTC","BiomedicalConceptProperty","AESTDTC","datetime","BiomedicalConceptProperty_22","676c60c8-9366-4597-b213-ad0a2e2a7222"
"True","True","AEENDTC","BiomedicalConceptProperty","AEENDTC","datetime","BiomedicalConceptProperty_23","3a39325e-59b1-4196-86b0-2cbb48585491"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_24","47fb8c7e-0155-43c9-bc80-61c3a690c878"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","integer","BiomedicalConceptProperty_25","b12fc614-8bda-4a6e-b54f-6ecb0abbe71a"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_26","9b03bdb5-72fe-4dac-ae48-0e9c8611a1a8"
"True","True","VSPOS","BiomedicalConceptProperty","VSPOS","","BiomedicalConceptProperty_27","4c8e0644-59f0-4e01-b5d8-46c0f0920ae2"
"True","True","VSLOC","BiomedicalConceptProperty","VSLOC","","BiomedicalConceptProperty_28","076c8414-537c-402d-b553-094062178beb"
"True","True","VSLAT","BiomedicalConceptProperty","VSLAT","","BiomedicalConceptProperty_29","bc7e61c2-f996-4c1c-b724-16dc438acf3f"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_30","deac6849-4f77-4a17-985b-dc443fcb7642"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","integer","BiomedicalConceptProperty_31","f3f63967-b622-4ecd-85c4-4f7d4e8d39ef"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_32","ca07572f-b49d-43f5-b8fb-021ca2f65093"
"True","True","VSPOS","BiomedicalConceptProperty","VSPOS","","BiomedicalConceptProperty_33","4f12b61e-e1c0-4c52-aebc-59d8086799f6"
"True","True","VSLOC","BiomedicalConceptProperty","VSLOC","","BiomedicalConceptProperty_34","6d388f8e-49aa-4761-90f7-3bdc2f090328"
"True","True","VSLAT","BiomedicalConceptProperty","VSLAT","","BiomedicalConceptProperty_35","c294e1ee-df33-4ad9-9310-84f507c0182d"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_36","1a467349-a5d7-4d10-bfdf-f30a0a69933e"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","float","BiomedicalConceptProperty_37","5fcb6889-5f2a-4595-9c13-bd147c9a65e9"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_38","2adc693b-4f4e-4a64-9de5-b1d0f8b6c7ce"
"True","True","VSLOC","BiomedicalConceptProperty","VSLOC","","BiomedicalConceptProperty_39","62ae8e46-9d3d-4399-a3b7-78d1fbc2475f"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_40","f0b3d3bc-f87e-4762-b8df-db184d7f84fb"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","float","BiomedicalConceptProperty_41","87ae45e1-4232-44bc-94c8-d39e9c206655"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_42","3b8a2fd8-2c27-4d15-9a63-1213672ac163"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_43","58123481-1d68-4ecb-85d6-c8a503ba3431"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","float","BiomedicalConceptProperty_44","b73fdc69-afb6-4635-aabb-7cb834668456"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_45","33ca82ac-2eff-4917-94a3-c6073ef62400"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_46","4c31bf58-8abf-4304-bd98-6f50f35609de"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_47","b9a15845-fac8-4007-a458-8d993c01f5d7"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_48","dde9a0e5-0363-4ec4-95c0-306f04ee0c67"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_49","ae25d231-6a72-4ae0-aaec-23a4b57ac51c"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_50","084d9d95-a929-422d-8ffa-61e46da692d1"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_51","f394d1ca-9c3a-4bb3-911f-365f95b3e4f4"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","text","BiomedicalConceptProperty_52","bd586a68-7081-425f-8439-2b9e5d61651a"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_53","e9365b5a-b1f2-4dc6-a88a-a44a7c582a21"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_54","805c8ee0-5563-480e-8ad2-80b62fa70f44"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_55","0b450936-4ead-4786-a4c9-bf38cde303ec"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_56","df054eb4-1c9d-4661-9ee0-5ede7f15cc90"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_57","8be82edf-42e3-43b1-8c35-e6e0e2a4df08"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_58","65c080ea-c273-459b-9b66-6712cec55e32"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_59","95eec1b7-61a1-4d9f-ab13-6301483f2fce"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_60","820aa782-f27c-445c-ba2e-a4875fb1eb2d"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_61","5258528e-bec9-4f54-830b-f4158d7790ae"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_62","f6b10b48-39cb-4cc9-9487-946a4341bc56"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_63","1bbce419-213d-4ef4-ad29-c93ce2da8816"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_64","95c0d99b-0a2d-473b-bcf6-6927cc785502"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_65","0bfad886-6aee-4c35-a710-e16cbac05984"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_66","a0bbe163-8a70-4c81-a782-a96f9c647364"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_67","2bcced01-a4db-4d91-bebb-fe01e672b584"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_68","40e7387c-3358-4113-8a8f-c4173f2d140f"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_69","a36cf7a6-69ac-4e8b-8b73-badf5d09e4b0"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_70","be4806d7-bc45-4c61-9f89-d8487d9598dd"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_71","3d1f3ce7-fa5c-4ced-bd12-9ed5545aed9b"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_72","d2eef979-7134-42bc-a195-7f510bafa187"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_73","50084810-bfcf-4ab9-add7-233796652840"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_74","37dc1473-1a30-499c-853d-4d2ee07e2dea"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_75","c9fa21f2-13e5-4f48-9499-2f5b603c625b"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_76","cdb8ae94-1ae3-44b2-ac39-4efa105eea41"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_77","0d5038ec-a2fb-4ca6-8e53-0ffa107977e8"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_78","a5fd7bf2-b40b-4634-aefd-5bb2a5d346f9"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_79","e35cb0c3-1a64-43e5-b481-74f24720f8d0"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_80","7c7ca016-5e65-4d13-b6b7-fa7760a3ed2c"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","integer","BiomedicalConceptProperty_81","5c4dcc4b-04e7-4513-84d4-66d8fb03c2f7"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_82","382bd852-02e2-460a-9395-754522732513"
"True","True","VSPOS","BiomedicalConceptProperty","VSPOS","","BiomedicalConceptProperty_83","2a454969-604c-492b-9f80-dc8aa8d7f3fd"
"True","True","VSLOC","BiomedicalConceptProperty","VSLOC","","BiomedicalConceptProperty_84","54576bef-9854-4e2f-96f1-df821ca8847d"
"True","True","VSLAT","BiomedicalConceptProperty","VSLAT","","BiomedicalConceptProperty_85","09fc42be-af7f-44df-9bd4-a3f405e0c203"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_86","f2edd1a2-4ad3-4668-a516-437dc7887bd4"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","integer","BiomedicalConceptProperty_87","b4850c87-9a47-45f7-9178-d94348d886ba"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_88","8f18992b-ba8d-4037-b459-0cf6758c04a8"
"True","True","VSPOS","BiomedicalConceptProperty","VSPOS","","BiomedicalConceptProperty_89","a6e55c98-5aac-42a7-a1ec-33965fa19f77"
"True","True","VSLOC","BiomedicalConceptProperty","VSLOC","","BiomedicalConceptProperty_90","317bdefb-6257-4bc4-9020-6cf627520d16"
"True","True","VSLAT","BiomedicalConceptProperty","VSLAT","","BiomedicalConceptProperty_91","ce69d583-aecb-4c53-a65e-998d47df0395"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_92","a70b9156-8798-42fe-ba83-0ab047b21998"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","integer","BiomedicalConceptProperty_93","754aecaa-8db4-4223-a63d-9348ef96e9ab"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_94","60de5419-0006-41e8-8614-d3e89a064324"
"True","True","VSPOS","BiomedicalConceptProperty","VSPOS","","BiomedicalConceptProperty_95","40de4c3e-e67e-49e9-911b-00c75c05358f"
"True","True","VSLOC","BiomedicalConceptProperty","VSLOC","","BiomedicalConceptProperty_96","b71ad3a3-be2a-489c-a9e4-6e786ba2d4e3"
"True","True","VSLAT","BiomedicalConceptProperty","VSLAT","","BiomedicalConceptProperty_97","cb7a8a5f-dedf-4425-bcc6-e0f76569192e"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_98","b9dcac2d-9d4f-402a-a1a5-369c3417b8e7"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","integer","BiomedicalConceptProperty_99","f5e61add-c56f-4edb-83be-7688a8c5fa87"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_100","a38b4ce0-6c6a-490e-9e24-cc7e1272ec05"
"True","True","VSPOS","BiomedicalConceptProperty","VSPOS","","BiomedicalConceptProperty_101","bb3215e8-3863-46bc-9a7c-9acc84800bee"
"True","True","VSLOC","BiomedicalConceptProperty","VSLOC","","BiomedicalConceptProperty_102","b1e97a61-0b01-4846-ad58-1478c2282cff"
"True","True","VSLAT","BiomedicalConceptProperty","VSLAT","","BiomedicalConceptProperty_103","470075e4-93f2-4ba7-ad4b-7e03a849b6ef"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_104","ee82174b-dfc2-4cfa-9cfd-3176c79d339a"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","integer","BiomedicalConceptProperty_105","99655dd4-aeec-4a4f-96f0-ec02df8cd1c5"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_106","c3dac305-7f02-4c5d-bec8-f0e460e35665"
"True","True","VSPOS","BiomedicalConceptProperty","VSPOS","","BiomedicalConceptProperty_107","8633aaf0-5484-4523-a4c0-369029448639"
"True","True","VSLOC","BiomedicalConceptProperty","VSLOC","","BiomedicalConceptProperty_108","d0d3fc43-43f1-4e5e-9bed-dff6df3dba39"
"True","True","VSLAT","BiomedicalConceptProperty","VSLAT","","BiomedicalConceptProperty_109","75153341-8cfd-4290-b1d0-7d1ad2161c2a"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_110","8850700f-b1dc-4df4-aaf4-c215775ae557"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","integer","BiomedicalConceptProperty_111","fc840145-8d90-49b9-a765-6df929854b12"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_112","41770f07-7f16-4360-9b3a-3a645f4f91ec"
"True","True","VSPOS","BiomedicalConceptProperty","VSPOS","","BiomedicalConceptProperty_113","5ea6b1d7-bb90-40c5-9ad2-5cf7f6343db2"
"True","True","VSLOC","BiomedicalConceptProperty","VSLOC","","BiomedicalConceptProperty_114","1c370b0a-24f9-4171-b448-6a6446ded10e"
"True","True","VSLAT","BiomedicalConceptProperty","VSLAT","","BiomedicalConceptProperty_115","634d92b8-acc6-4745-b0f4-f9b65af5e930"
