"uuid:ID","isRequired","isEnabled","label","name","datatype","instanceType","id"
"3b63f811-175d-44fd-9914-a17a666597f7","True","True","VSORRES","VSORRES","float","BiomedicalConceptProperty","BiomedicalConceptProperty_38"
"7db92a8c-98bf-4180-972a-5653af30063a","True","True","VSORRESU","VSORRESU","","BiomedicalConceptProperty","BiomedicalConceptProperty_39"
"56d4d470-f807-4611-8c49-bcb87aa029fc","True","True","VSLOC","VSLOC","","BiomedicalConceptProperty","BiomedicalConceptProperty_40"
"3fd6cd60-92b7-45f3-b33b-feac7310bcd3","True","True","VSTESTCD","VSTESTCD","","BiomedicalConceptProperty","BiomedicalConceptProperty_41"
"34e33a26-b16b-423e-a6cb-70493e2d122e","True","True","VSORRES","VSORRES","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_42"
"4fd61d38-ddbc-4629-bbe9-df58458ee48c","True","True","VSORRESU","VSORRESU","","BiomedicalConceptProperty","BiomedicalConceptProperty_43"
"81524c63-ad42-404e-a254-b46d2fe740e3","True","True","VSPOS","VSPOS","","BiomedicalConceptProperty","BiomedicalConceptProperty_44"
"fce821fb-2440-4000-9092-f7dbc41f5975","True","True","VSLOC","VSLOC","","BiomedicalConceptProperty","BiomedicalConceptProperty_45"
"5e8451ad-24a9-42cc-8f47-b2e255cc11ed","True","True","VSLAT","VSLAT","","BiomedicalConceptProperty","BiomedicalConceptProperty_46"
"48a96223-b0ab-4c4d-98eb-b66498de9c8f","True","True","VSTESTCD","VSTESTCD","","BiomedicalConceptProperty","BiomedicalConceptProperty_47"
"afd43033-15dd-44b1-951d-fe4d640960a4","True","True","VSORRES","VSORRES","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_48"
"e90a6222-d9d1-446b-a4fc-11600812bd6c","True","True","VSORRESU","VSORRESU","","BiomedicalConceptProperty","BiomedicalConceptProperty_49"
"8eb0ccec-d69b-4795-8559-1fa801726bb9","True","True","VSTESTCD","VSTESTCD","","BiomedicalConceptProperty","BiomedicalConceptProperty_50"
"92f62f47-c008-4d6f-bdc7-4959c83379e5","True","True","VSORRES","VSORRES","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_51"
"67e0d0ad-3822-4400-b5be-812373c32138","True","True","VSORRESU","VSORRESU","","BiomedicalConceptProperty","BiomedicalConceptProperty_52"
"78399792-f9f8-46e6-8f26-4b87c9d24316","True","True","VSPOS","VSPOS","","BiomedicalConceptProperty","BiomedicalConceptProperty_53"
"0eb1fb21-764b-4660-b624-fa908e27ea16","True","True","VSLOC","VSLOC","","BiomedicalConceptProperty","BiomedicalConceptProperty_54"
"1232920e-0c01-44ff-91f2-6cc8c92a96c8","True","True","VSLAT","VSLAT","","BiomedicalConceptProperty","BiomedicalConceptProperty_55"
"9a2e5c12-012b-43ff-80ff-f493c1938f89","True","True","VSTESTCD","VSTESTCD","","BiomedicalConceptProperty","BiomedicalConceptProperty_56"
"5fe2f302-8ac8-4cdc-ae60-aa82e373e5dc","True","True","VSORRES","VSORRES","integer","BiomedicalConceptProperty","BiomedicalConceptProperty_57"
"325a9895-534b-4906-8c99-ae1ad7a0afde","True","True","VSORRESU","VSORRESU","","BiomedicalConceptProperty","BiomedicalConceptProperty_58"
"32172ceb-127c-44a0-9d38-0721b859b1c7","True","True","VSPOS","VSPOS","","BiomedicalConceptProperty","BiomedicalConceptProperty_59"
"aaa47bfc-338b-4130-aac8-bb5175f1107f","True","True","VSLOC","VSLOC","","BiomedicalConceptProperty","BiomedicalConceptProperty_60"
"5c3f0330-8f75-4963-8a4f-d10013df240c","True","True","VSLAT","VSLAT","","BiomedicalConceptProperty","BiomedicalConceptProperty_61"
"afc10da8-5563-47d4-aafd-ae8e3323d259","True","True","AETERM","AETERM","text","BiomedicalConceptProperty","BiomedicalConceptProperty_1"
"554b2730-57ab-4be2-aecd-fd2ac2b5d847","True","True","AEDECOD","AEDECOD","text","BiomedicalConceptProperty","BiomedicalConceptProperty_2"
"864d0f57-a490-491a-99e1-439097146bfc","True","True","AEPRESP","AEPRESP","text","BiomedicalConceptProperty","BiomedicalConceptProperty_3"
"19bf726f-d22b-4b65-b521-93cb4a271806","True","True","AELOC","AELOC","text","BiomedicalConceptProperty","BiomedicalConceptProperty_4"
"d8bd1ed4-3c58-4e0c-954e-78adb0e7a49e","True","True","AESEV","AESEV","text","BiomedicalConceptProperty","BiomedicalConceptProperty_5"
"10714729-f2ce-423b-a4ea-67741019aa9d","True","True","AESER","AESER","text","BiomedicalConceptProperty","BiomedicalConceptProperty_6"
"f30b2c59-3f19-4ecd-93d1-924af64c8dd3","True","True","AEACN","AEACN","text","BiomedicalConceptProperty","BiomedicalConceptProperty_7"
"94c53db7-6d13-471f-938f-af871370cca9","True","True","AEACNOTH","AEACNOTH","text","BiomedicalConceptProperty","BiomedicalConceptProperty_8"
"8a2183f0-644a-47a6-861d-5b59d2fa4177","True","True","AEREL","AEREL","text","BiomedicalConceptProperty","BiomedicalConceptProperty_9"
"7e1471d5-c6fc-4949-8e7d-586cbe597c1a","True","True","AERELNST","AERELNST","text","BiomedicalConceptProperty","BiomedicalConceptProperty_10"
"9cb13438-5ceb-4a00-bedb-dbea2f874724","True","True","AEPATT","AEPATT","text","BiomedicalConceptProperty","BiomedicalConceptProperty_11"
"86f7a4fa-b6f8-45ed-a8a0-c8a1abeaa214","True","True","AEOUT","AEOUT","text","BiomedicalConceptProperty","BiomedicalConceptProperty_12"
"e9044382-9a41-4833-a6d1-0e85f4a86422","True","True","AESCAN","AESCAN","text","BiomedicalConceptProperty","BiomedicalConceptProperty_13"
"06bafc85-ee5a-4902-8e48-ae1f77164e8f","True","True","AESCONG","AESCONG","text","BiomedicalConceptProperty","BiomedicalConceptProperty_14"
"8e328dc4-b389-427a-82ab-872636d34f39","True","True","AESDISAB","AESDISAB","text","BiomedicalConceptProperty","BiomedicalConceptProperty_15"
"ada8bf2d-3bc5-4f15-b7cc-0a01f50fe260","True","True","AESDTH","AESDTH","text","BiomedicalConceptProperty","BiomedicalConceptProperty_16"
"458463e0-51cf-411c-9e64-7fd595e5689f","True","True","AESHOSP","AESHOSP","text","BiomedicalConceptProperty","BiomedicalConceptProperty_17"
"70f08742-bca0-4d4d-b0a7-66afee12d6bc","True","True","AESLIFE","AESLIFE","text","BiomedicalConceptProperty","BiomedicalConceptProperty_18"
"badb137e-90e5-4b46-9b8f-50b27606b669","True","True","AESOD","AESOD","text","BiomedicalConceptProperty","BiomedicalConceptProperty_19"
"fe781396-f024-43cb-be77-d44ca59a01df","True","True","AESMIE","AESMIE","text","BiomedicalConceptProperty","BiomedicalConceptProperty_20"
"73f9fa6c-79c4-4af1-88e2-2b07327629a2","True","True","AECONTRT","AECONTRT","text","BiomedicalConceptProperty","BiomedicalConceptProperty_21"
"31b0ff61-a343-4577-8a57-287187ba4220","True","True","AESTDTC","AESTDTC","datetime","BiomedicalConceptProperty","BiomedicalConceptProperty_22"
"e83950ab-1401-489f-aa4b-169ba9dec3d1","True","True","AEENDTC","AEENDTC","datetime","BiomedicalConceptProperty","BiomedicalConceptProperty_23"
