"isRequired","datatype","id","name","uuid:ID","label","isEnabled","instanceType"
"True","","BiomedicalConceptProperty_132","LBFAST","3c2240c2-400b-42bc-813d-d75750468790","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_133","LBTESTCD","7f4fa04f-7591-48fa-bb76-5b3bab282c33","LBTESTCD","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_134","LBORRES","c6ead626-443f-4a67-bcaf-a510576e98c5","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_135","LBSPEC","b6186020-1254-482f-9d6e-1ac10181191d","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_136","LBFAST","0c30ed3d-13b3-4041-9ad3-c4a24a0d46ec","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_137","LBTESTCD","c2a2db58-743a-46e5-8e78-b69170d9eaac","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_138","LBORRES","6722983e-5be1-43be-8746-c78904478706","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_139","LBORRESU","04be9912-2723-41f0-b16e-703f5996c8d6","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_140","LBSPEC","8329edca-2aed-47f7-ba38-d1091774889a","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_141","LBFAST","503c63a9-0db1-42f8-90ea-62525d7954f2","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_142","LBTESTCD","d592e44b-ac80-4b9d-8686-91bb2f75fb53","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_143","LBORRES","3f1030fc-bc11-4dda-876b-e0bdc8a2993e","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_144","LBORRESU","1e43ee37-40f6-4264-9057-5a05bc4fe69b","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_145","LBSPEC","8658c747-ddb4-43dd-8178-56e48155d1ae","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_146","LBFAST","4dd7abbd-a901-49a5-b91b-2de07226ec82","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_147","LBTESTCD","44c5d145-a4dc-4c0a-86ac-5f5585620f37","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_148","LBORRES","6995e6da-a298-4319-b9a3-2e3f649661e5","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_149","LBORRESU","812928bf-061c-42cf-aba5-f9e009627c86","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_150","LBSPEC","36584520-b51e-4cf6-826a-bcb2f3f434a0","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_151","LBFAST","51f4e43b-83ad-41c0-b2b5-cae8d2d61e3e","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_152","LBTESTCD","4d24734d-70b3-4b46-8a9e-163003a65bc5","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_153","LBORRES","00864db1-9f93-44f7-aa65-0d17f3102d40","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_154","LBORRESU","072bce90-530e-4209-9dc3-2341a8e0e7a3","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_155","LBSPEC","f2604a56-3811-4f7f-8b44-e03688f15a73","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_156","LBFAST","d8dbe0a7-e164-4c61-9be3-010f32ebfffc","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_157","LBTESTCD","7984c5a0-aa10-4762-9917-b56b9e193988","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_158","LBORRES","61287f26-c460-4c28-b798-2ecb5df46dd4","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_159","LBORRESU","ac3c6388-c3c4-4b19-9b8a-2da34679e552","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_160","LBSPEC","efa23211-ae67-43c2-a4ec-5186fd8e43c4","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_161","LBFAST","1d3f4dfa-13f6-4985-ae1b-c03eafcd997e","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_162","LBTESTCD","515c0999-a6b8-4581-b12f-3c74c48e5e05","LBTESTCD","True","BiomedicalConceptProperty"
