"label","name","id","isRequired","isEnabled","datatype","instanceType","uuid:ID"
"LBORRES","LBORRES","BiomedicalConceptProperty_132","True","True","float","BiomedicalConceptProperty","d3a0d66d-cf0c-464a-8aba-a520615aafc4"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_133","True","True","","BiomedicalConceptProperty","eedc2d00-f72e-4548-97a8-63fc2f8a87f7"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_134","True","True","","BiomedicalConceptProperty","8a240c3a-50f6-48ae-8d8d-82f19c6ddaa3"
"LBFAST","LBFAST","BiomedicalConceptProperty_135","True","True","","BiomedicalConceptProperty","cbdea373-b0a7-4d20-a100-8e28a3282ade"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_136","True","True","","BiomedicalConceptProperty","b2e38db5-e983-4d7a-b65c-9f1284dcb527"
"LBORRES","LBORRES","BiomedicalConceptProperty_137","True","True","text","BiomedicalConceptProperty","29506d8e-377c-4a2b-95c6-808d9ab91a02"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_138","True","True","","BiomedicalConceptProperty","3e233dcc-9fac-4a03-a7d5-7b29a3675dcc"
"LBFAST","LBFAST","BiomedicalConceptProperty_139","True","True","","BiomedicalConceptProperty","8e55a208-0741-4430-9c41-6bcb92644ce2"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_140","True","True","","BiomedicalConceptProperty","57ac4760-84cb-4f8d-af7d-f837a29a6fe7"
"LBORRES","LBORRES","BiomedicalConceptProperty_141","True","True","float","BiomedicalConceptProperty","d99a2d62-57ec-4a5d-82b7-fd9b40bb5839"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_142","True","True","","BiomedicalConceptProperty","564c81a9-b74c-4cee-9395-9acf3eac792d"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_143","True","True","","BiomedicalConceptProperty","1270afe4-32b8-450b-b3a4-364fd124ea12"
"LBFAST","LBFAST","BiomedicalConceptProperty_144","True","True","","BiomedicalConceptProperty","7d22b341-15d2-445e-98f7-f2f1e915b730"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_145","True","True","","BiomedicalConceptProperty","da65195f-41a8-4b2f-bc42-9a0748de5cc1"
"LBORRES","LBORRES","BiomedicalConceptProperty_146","True","True","float","BiomedicalConceptProperty","6d64d5da-c724-40fd-a27b-ef5c0736c04d"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_147","True","True","","BiomedicalConceptProperty","14e23f03-85c4-4f92-bd27-87e7bdc5a806"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_148","True","True","","BiomedicalConceptProperty","aa2e980b-06f9-4ee7-87b8-351bb690a640"
"LBFAST","LBFAST","BiomedicalConceptProperty_149","True","True","","BiomedicalConceptProperty","64dedc4d-4927-4da1-bdf2-b7d0390b2d53"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_150","True","True","","BiomedicalConceptProperty","99b2a5b9-6897-49e9-a632-9c43301ba5c0"
"LBORRES","LBORRES","BiomedicalConceptProperty_151","True","True","float","BiomedicalConceptProperty","ce8c6e4f-3dcc-48c1-bd37-2f8711a2e0d8"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_152","True","True","","BiomedicalConceptProperty","9adb271a-f7c4-425b-b20a-17c41c4c1746"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_153","True","True","","BiomedicalConceptProperty","e5d563b6-6040-43af-89ac-6788a258b550"
"LBFAST","LBFAST","BiomedicalConceptProperty_154","True","True","","BiomedicalConceptProperty","e9479478-91f7-4a14-8c25-c907385583d7"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_155","True","True","","BiomedicalConceptProperty","8c206099-14a3-4383-bf88-5f81929423c0"
"LBORRES","LBORRES","BiomedicalConceptProperty_156","True","True","float","BiomedicalConceptProperty","4cc07bfa-9787-4f34-b6e8-7ed2d02d9ee9"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_157","True","True","","BiomedicalConceptProperty","8cdde2e0-c1a3-42e4-9c64-838884c6ae7e"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_158","True","True","","BiomedicalConceptProperty","78fc2ee4-171c-4e81-9bbd-3a868f639148"
"LBFAST","LBFAST","BiomedicalConceptProperty_159","True","True","","BiomedicalConceptProperty","344f2ada-9171-4cac-ba12-0edd5e518f57"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_160","True","True","","BiomedicalConceptProperty","bf752855-8f14-426b-a7af-414d6cc91da2"
"LBORRES","LBORRES","BiomedicalConceptProperty_161","True","True","float","BiomedicalConceptProperty","53eff11d-1f15-4224-a54a-cfef093c9f34"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_162","True","True","","BiomedicalConceptProperty","1f3da03e-71c0-452a-ba14-14f7cc7768da"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_163","True","True","","BiomedicalConceptProperty","43b81f07-e813-4175-bf3a-0ca8d0b8c87b"
"LBFAST","LBFAST","BiomedicalConceptProperty_164","True","True","","BiomedicalConceptProperty","9edb1c73-0c80-46ac-a1c1-3cb7b8c5cf0d"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_165","True","True","","BiomedicalConceptProperty","a80d9a2f-42ef-4c45-8cd8-abf7b0fde9a6"
"LBORRES","LBORRES","BiomedicalConceptProperty_166","True","True","float","BiomedicalConceptProperty","32c7ef1a-0bc4-4677-b14f-e1feb8f88455"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_167","True","True","","BiomedicalConceptProperty","e4ea0f42-a433-4401-84f0-fdb3d1caedf7"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_168","True","True","","BiomedicalConceptProperty","3f79901c-d10c-482c-bc49-f59aec218d20"
"LBFAST","LBFAST","BiomedicalConceptProperty_169","True","True","","BiomedicalConceptProperty","ce9dd64a-6e11-4e33-aaf7-eae4d06558de"
"AETERM","AETERM","BiomedicalConceptProperty_1","True","True","text","BiomedicalConceptProperty","e8253f2f-8811-4585-a295-8178b07b83e0"
"AEDECOD","AEDECOD","BiomedicalConceptProperty_2","True","True","text","BiomedicalConceptProperty","c6d68e96-6895-4918-bb41-6aea2a97ec4b"
"AEPRESP","AEPRESP","BiomedicalConceptProperty_3","True","True","text","BiomedicalConceptProperty","94afb43b-5472-4e70-aefe-668608c155fc"
"AELOC","AELOC","BiomedicalConceptProperty_4","True","True","text","BiomedicalConceptProperty","e5cd1594-8042-4221-bd46-3dffd1edffb5"
"AESEV","AESEV","BiomedicalConceptProperty_5","True","True","text","BiomedicalConceptProperty","f429c320-96d5-4a41-9d1b-b131741b50b8"
"AESER","AESER","BiomedicalConceptProperty_6","True","True","text","BiomedicalConceptProperty","b0b35e6c-8390-4c5b-bff1-cca6e669d3e3"
"AEACN","AEACN","BiomedicalConceptProperty_7","True","True","text","BiomedicalConceptProperty","9e3290c9-0542-4010-a9e2-f60e050b49b8"
"AEACNOTH","AEACNOTH","BiomedicalConceptProperty_8","True","True","text","BiomedicalConceptProperty","7dfc1f06-9bec-4ab6-82fc-2975cd64425f"
"AEREL","AEREL","BiomedicalConceptProperty_9","True","True","text","BiomedicalConceptProperty","e48bae61-05f7-477a-9f2e-a62dd9a911a6"
"AERELNST","AERELNST","BiomedicalConceptProperty_10","True","True","text","BiomedicalConceptProperty","94be392c-e345-4c66-8117-e0929b160658"
"AEPATT","AEPATT","BiomedicalConceptProperty_11","True","True","text","BiomedicalConceptProperty","846e92bb-b8f7-4889-a696-f91d6b14feae"
"AEOUT","AEOUT","BiomedicalConceptProperty_12","True","True","text","BiomedicalConceptProperty","8332f499-57b4-4841-9de6-2901d33fedc1"
"AESCAN","AESCAN","BiomedicalConceptProperty_13","True","True","text","BiomedicalConceptProperty","bb00545f-837e-45ab-8626-b858603a7170"
"AESCONG","AESCONG","BiomedicalConceptProperty_14","True","True","text","BiomedicalConceptProperty","fd12467f-8067-4b19-95b2-111df0703163"
"AESDISAB","AESDISAB","BiomedicalConceptProperty_15","True","True","text","BiomedicalConceptProperty","01c13a41-f94e-435d-9687-8dc7bf75ad79"
"AESDTH","AESDTH","BiomedicalConceptProperty_16","True","True","text","BiomedicalConceptProperty","f438eeb1-0fc2-4caa-90b3-65aa4dbed0b9"
"AESHOSP","AESHOSP","BiomedicalConceptProperty_17","True","True","text","BiomedicalConceptProperty","d1c411ec-00aa-46f2-b1c6-f31f384327b2"
"AESLIFE","AESLIFE","BiomedicalConceptProperty_18","True","True","text","BiomedicalConceptProperty","57e03b02-c0aa-4f2b-b727-a5b7d69ac149"
"AESOD","AESOD","BiomedicalConceptProperty_19","True","True","text","BiomedicalConceptProperty","8006b53c-3b13-4fc3-a32f-7fa2fe570451"
"AESMIE","AESMIE","BiomedicalConceptProperty_20","True","True","text","BiomedicalConceptProperty","b1568e43-de86-499b-98f9-83bf7200e7be"
"AECONTRT","AECONTRT","BiomedicalConceptProperty_21","True","True","text","BiomedicalConceptProperty","a4a1f0ec-6ad5-4b29-84dd-e2161c38f26d"
"AESTDTC","AESTDTC","BiomedicalConceptProperty_22","True","True","datetime","BiomedicalConceptProperty","c90f16f5-2052-4922-af76-ab38fc099792"
"AEENDTC","AEENDTC","BiomedicalConceptProperty_23","True","True","datetime","BiomedicalConceptProperty","ed43036f-056d-49ae-8dc1-d980d90723f9"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_24","True","True","","BiomedicalConceptProperty","307d5cc0-399b-41da-ab22-9ce9cfe457fc"
"VSORRES","VSORRES","BiomedicalConceptProperty_25","True","True","integer","BiomedicalConceptProperty","4a73c3d3-2319-436d-a6a9-a6e4673d6e1e"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_26","True","True","","BiomedicalConceptProperty","d9a1b453-340e-4e07-9572-be25402b72cd"
"VSPOS","VSPOS","BiomedicalConceptProperty_27","True","True","","BiomedicalConceptProperty","859c32b1-1ab2-4925-9fe7-cc2b03ec6ac4"
"VSLOC","VSLOC","BiomedicalConceptProperty_28","True","True","","BiomedicalConceptProperty","f8d461e4-e07a-4e9c-ac67-b6739b360c50"
"VSLAT","VSLAT","BiomedicalConceptProperty_29","True","True","","BiomedicalConceptProperty","138eaa0a-266f-4ad7-a056-e23ca2204f9d"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_30","True","True","","BiomedicalConceptProperty","fa24eb4d-9a4e-44e3-b953-b70ff73dc368"
"VSORRES","VSORRES","BiomedicalConceptProperty_31","True","True","integer","BiomedicalConceptProperty","65aabb5d-831f-472c-be7e-1c3877232f9e"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_32","True","True","","BiomedicalConceptProperty","8bf677c8-a2f7-44a3-8ad5-29bcb063eb0a"
"VSPOS","VSPOS","BiomedicalConceptProperty_33","True","True","","BiomedicalConceptProperty","834bf593-eb92-43fd-9358-b5a1f83e69eb"
"VSLOC","VSLOC","BiomedicalConceptProperty_34","True","True","","BiomedicalConceptProperty","aa0adefc-9d99-4b15-9f66-6e3d064c00dc"
"VSLAT","VSLAT","BiomedicalConceptProperty_35","True","True","","BiomedicalConceptProperty","e8d261ad-bb88-46d1-8c25-023e8d099972"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_36","True","True","","BiomedicalConceptProperty","9932c030-d680-4606-b38d-8f913e9ee4b8"
"VSORRES","VSORRES","BiomedicalConceptProperty_37","True","True","float","BiomedicalConceptProperty","9fe049b7-2312-411f-8745-89c422f8f165"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_38","True","True","","BiomedicalConceptProperty","f9f7010c-c649-4bcf-a8bd-32428578d7b9"
"VSLOC","VSLOC","BiomedicalConceptProperty_39","True","True","","BiomedicalConceptProperty","2fa7e787-5a5a-4cea-85a5-632252b2ea00"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_40","True","True","","BiomedicalConceptProperty","68a2c7dc-0fac-40e0-973e-5bab8f65104d"
"VSORRES","VSORRES","BiomedicalConceptProperty_41","True","True","float","BiomedicalConceptProperty","9f6c1f2d-a600-488f-a30a-7081552e5bad"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_42","True","True","","BiomedicalConceptProperty","4ace4fa3-c676-4c2e-a2a2-a0ae87fe6098"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_43","True","True","","BiomedicalConceptProperty","cd7cbf69-51ae-49d2-86c1-cc1f5f633537"
"VSORRES","VSORRES","BiomedicalConceptProperty_44","True","True","float","BiomedicalConceptProperty","609327e4-11e7-4901-8efc-099e4b24c990"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_45","True","True","","BiomedicalConceptProperty","76e75da0-85eb-494a-a4f0-67eb6e40c057"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_46","True","True","","BiomedicalConceptProperty","0e3a83c8-8fa7-48d9-9510-87d131db6447"
"LBORRES","LBORRES","BiomedicalConceptProperty_47","True","True","float","BiomedicalConceptProperty","0b677ea9-d3d6-4ebe-a981-76b35ec1dd9f"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_48","True","True","","BiomedicalConceptProperty","d4d04ce6-3d8b-47a4-a71e-79262eba7489"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_49","True","True","","BiomedicalConceptProperty","746c105f-c4e1-40fa-b621-203c0a6f4379"
"LBFAST","LBFAST","BiomedicalConceptProperty_50","True","True","","BiomedicalConceptProperty","fce41e25-b479-4b67-9a23-61e899cdb1e6"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_51","True","True","","BiomedicalConceptProperty","8b77bb15-ad27-48a1-8758-25ed9d08334d"
"LBORRES","LBORRES","BiomedicalConceptProperty_52","True","True","text","BiomedicalConceptProperty","66d21185-22df-48d2-b5c8-1bb641ef6046"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_53","True","True","","BiomedicalConceptProperty","127db9fe-c279-44da-8f28-193fdfedae24"
"LBFAST","LBFAST","BiomedicalConceptProperty_54","True","True","","BiomedicalConceptProperty","f9b6015d-7bdf-4d43-97a8-c9ae4f730dd6"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_55","True","True","","BiomedicalConceptProperty","9b409509-b485-4d95-be88-c76dcde2e452"
"LBORRES","LBORRES","BiomedicalConceptProperty_56","True","True","float","BiomedicalConceptProperty","57d47488-7f9e-49f6-a853-b6b15458ed69"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_57","True","True","","BiomedicalConceptProperty","452ebc17-8095-4cf4-b912-cc96eb1c107b"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_58","True","True","","BiomedicalConceptProperty","ea78c50e-c75a-4644-9aa4-7e4c61e2ef55"
"LBFAST","LBFAST","BiomedicalConceptProperty_59","True","True","","BiomedicalConceptProperty","0080365d-f60e-48ce-a6e2-a6fd4173cddc"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_60","True","True","","BiomedicalConceptProperty","800c0816-c227-4bc7-ac7b-a9bdd62b6494"
"LBORRES","LBORRES","BiomedicalConceptProperty_61","True","True","float","BiomedicalConceptProperty","c08caab3-a716-44aa-b92a-fac5a50f8ebc"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_62","True","True","","BiomedicalConceptProperty","4546a814-56c3-429d-b0d7-a9223a9ad1ff"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_63","True","True","","BiomedicalConceptProperty","ba6b7371-8250-40e0-8717-d9fc37df10e2"
"LBFAST","LBFAST","BiomedicalConceptProperty_64","True","True","","BiomedicalConceptProperty","bb573eca-a2ae-4ee5-8518-b3798a21aa74"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_65","True","True","","BiomedicalConceptProperty","a31dd96e-e60a-4510-9a53-78c5d4a42e6a"
"LBORRES","LBORRES","BiomedicalConceptProperty_66","True","True","float","BiomedicalConceptProperty","1fe8c416-9068-4f11-81d7-a26b58a47ea8"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_67","True","True","","BiomedicalConceptProperty","bb2cf742-959c-4b92-a8a0-31b45472999b"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_68","True","True","","BiomedicalConceptProperty","48c0d479-eb59-4740-93b1-4084f983d119"
"LBFAST","LBFAST","BiomedicalConceptProperty_69","True","True","","BiomedicalConceptProperty","06263068-23ad-4c72-a2eb-69cabdc60bdc"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_70","True","True","","BiomedicalConceptProperty","1b331e14-1d0d-45e8-9927-a5af7fa33fd4"
"LBORRES","LBORRES","BiomedicalConceptProperty_71","True","True","float","BiomedicalConceptProperty","21eb727f-8781-4646-bcbb-89d9e65ee209"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_72","True","True","","BiomedicalConceptProperty","eb55bd1c-b1f3-4e5e-a85a-8e97ff403680"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_73","True","True","","BiomedicalConceptProperty","207592ef-2d9c-471f-89b1-8b6b4c43dcd1"
"LBFAST","LBFAST","BiomedicalConceptProperty_74","True","True","","BiomedicalConceptProperty","6681a8b7-240f-49da-b706-bc5dabf4dddd"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_75","True","True","","BiomedicalConceptProperty","0408e353-2105-4ee2-9378-1c97d9c2b357"
"LBORRES","LBORRES","BiomedicalConceptProperty_76","True","True","float","BiomedicalConceptProperty","6fdb5423-63cb-46f8-9a79-a24d17cd0b1e"
"LBORRESU","LBORRESU","BiomedicalConceptProperty_77","True","True","","BiomedicalConceptProperty","d663a678-c880-4566-b093-6a2fe6c262e4"
"LBSPEC","LBSPEC","BiomedicalConceptProperty_78","True","True","","BiomedicalConceptProperty","1737e1b6-7a7b-46d5-af36-5afa1396aba2"
"LBFAST","LBFAST","BiomedicalConceptProperty_79","True","True","","BiomedicalConceptProperty","e8a948ab-57d8-4b7c-89f9-8bedc832e82a"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_80","True","True","","BiomedicalConceptProperty","6881f0ff-70d0-4d09-9dcf-cf7e411a594a"
"VSORRES","VSORRES","BiomedicalConceptProperty_81","True","True","integer","BiomedicalConceptProperty","130e0088-5081-46e4-8b72-089c4b4e2ae5"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_82","True","True","","BiomedicalConceptProperty","99b7f113-23f8-4714-a50d-b1df1ba872ff"
"VSPOS","VSPOS","BiomedicalConceptProperty_83","True","True","","BiomedicalConceptProperty","4020f1dd-9ac7-4616-8f30-75cb37414f12"
"VSLOC","VSLOC","BiomedicalConceptProperty_84","True","True","","BiomedicalConceptProperty","c2cf0293-f7dd-4de8-9c94-4dd1dac806bc"
"VSLAT","VSLAT","BiomedicalConceptProperty_85","True","True","","BiomedicalConceptProperty","79414806-6aaa-47a5-8e39-d34623b6db57"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_86","True","True","","BiomedicalConceptProperty","24e1e220-28ac-48f5-aaad-fd620ca0eec9"
"VSORRES","VSORRES","BiomedicalConceptProperty_87","True","True","integer","BiomedicalConceptProperty","47e260f3-5507-4564-a21a-645024e32a3f"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_88","True","True","","BiomedicalConceptProperty","8b31022c-f9e1-4be6-becb-7196760876ad"
"VSPOS","VSPOS","BiomedicalConceptProperty_89","True","True","","BiomedicalConceptProperty","b004ae1d-040a-48ad-a286-a057a3c214fb"
"VSLOC","VSLOC","BiomedicalConceptProperty_90","True","True","","BiomedicalConceptProperty","82e86e53-ebe9-4abd-b86c-0c72fb51f18d"
"VSLAT","VSLAT","BiomedicalConceptProperty_91","True","True","","BiomedicalConceptProperty","7a80bee7-5ce1-4432-a0ca-68ae5d4f1f0d"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_92","True","True","","BiomedicalConceptProperty","3b74fc50-11c8-4aa3-ba89-a6227b86e797"
"VSORRES","VSORRES","BiomedicalConceptProperty_93","True","True","integer","BiomedicalConceptProperty","f0e4a759-d594-4197-87cc-1b4a30b24271"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_94","True","True","","BiomedicalConceptProperty","b03e4187-3cec-4146-b041-9f6029595fab"
"VSPOS","VSPOS","BiomedicalConceptProperty_95","True","True","","BiomedicalConceptProperty","f61a30b1-c974-4cae-a883-a97133877c87"
"VSLOC","VSLOC","BiomedicalConceptProperty_96","True","True","","BiomedicalConceptProperty","6ed68862-f9fd-4c4c-a328-9215022d1aa7"
"VSLAT","VSLAT","BiomedicalConceptProperty_97","True","True","","BiomedicalConceptProperty","dae69812-7aea-4c59-aaa5-2a0183d52481"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_98","True","True","","BiomedicalConceptProperty","47ed75ce-fee3-4ad1-aae1-d028ee798d19"
"VSORRES","VSORRES","BiomedicalConceptProperty_99","True","True","integer","BiomedicalConceptProperty","5afb92e8-0eea-4a2b-afb3-01209bc79576"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_100","True","True","","BiomedicalConceptProperty","7b6545e6-3742-4be8-9132-ff484cc5b8c0"
"VSPOS","VSPOS","BiomedicalConceptProperty_101","True","True","","BiomedicalConceptProperty","7c3603f5-4383-4cac-9b50-ee9bdcf3c1d1"
"VSLOC","VSLOC","BiomedicalConceptProperty_102","True","True","","BiomedicalConceptProperty","52c556ab-3440-454b-a0fb-681feca5fc59"
"VSLAT","VSLAT","BiomedicalConceptProperty_103","True","True","","BiomedicalConceptProperty","a68340ea-fe0d-4785-98ed-10c355927c92"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_104","True","True","","BiomedicalConceptProperty","a5605ab8-1635-416d-8981-79ecf1a40598"
"VSORRES","VSORRES","BiomedicalConceptProperty_105","True","True","integer","BiomedicalConceptProperty","2997a0b9-7cf9-4fa4-8621-85ede56cbbbd"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_106","True","True","","BiomedicalConceptProperty","d3f73f33-3bc4-4359-8676-39be924f53d0"
"VSPOS","VSPOS","BiomedicalConceptProperty_107","True","True","","BiomedicalConceptProperty","268bcd8d-61d2-4397-9e46-c0fb0b2df34f"
"VSLOC","VSLOC","BiomedicalConceptProperty_108","True","True","","BiomedicalConceptProperty","b64b0e5a-946f-45e3-a6ca-8fe214338f20"
"VSLAT","VSLAT","BiomedicalConceptProperty_109","True","True","","BiomedicalConceptProperty","92020339-1530-49a5-83b9-e578836073b9"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_110","True","True","","BiomedicalConceptProperty","c7d9c2db-de75-4069-accd-97677f300cbc"
"VSORRES","VSORRES","BiomedicalConceptProperty_111","True","True","integer","BiomedicalConceptProperty","10426c07-7992-416c-933b-1ffa4511bdaf"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_112","True","True","","BiomedicalConceptProperty","a2f0e25e-7338-4aa2-b444-fdd40866e619"
"VSPOS","VSPOS","BiomedicalConceptProperty_113","True","True","","BiomedicalConceptProperty","14cb7e97-972d-4b1f-824f-ce023baa1250"
"VSLOC","VSLOC","BiomedicalConceptProperty_114","True","True","","BiomedicalConceptProperty","43f975eb-4c42-41e3-936c-5b0d9e7b98e6"
"VSLAT","VSLAT","BiomedicalConceptProperty_115","True","True","","BiomedicalConceptProperty","f9a0f1ac-8687-41d8-b2cb-537fa44e8943"
