"label","name","isEnabled","uuid:ID","isRequired","id","datatype","instanceType"
"LBFAST","LBFAST","True","47b5dcd7-f1b6-4c3a-a50b-099987b198ad","True","BiomedicalConceptProperty_154","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","de17821e-dd25-4edd-8158-03b76a465923","True","BiomedicalConceptProperty_155","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","6373e25a-5aca-43cb-bd3a-59bf7cb84cb1","True","BiomedicalConceptProperty_156","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","0571247e-ab4e-4f29-a4d7-5b914b73c0d9","True","BiomedicalConceptProperty_157","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","e54c470a-14c5-4fb3-9d00-976119624dc9","True","BiomedicalConceptProperty_158","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","853bc4f3-9b05-439b-8a3f-b6f38959d585","True","BiomedicalConceptProperty_159","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","df7f8c79-0a9d-4119-ba31-59e9be9c0b56","True","BiomedicalConceptProperty_160","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","4561a9c3-9c32-469b-a772-fdbb7b500d14","True","BiomedicalConceptProperty_161","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","1cb82a2c-0e87-48cc-afd5-de8fe9f3623c","True","BiomedicalConceptProperty_162","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","c6b882d1-8517-4069-aecd-95b8ece684bd","True","BiomedicalConceptProperty_163","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","8ff77a42-74dc-4eeb-9a65-f762ee3aef8f","True","BiomedicalConceptProperty_164","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","8b0c3c05-ccb4-42ef-962f-d189f6a94053","True","BiomedicalConceptProperty_165","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","8bf9c52e-694d-4297-ba60-ca8eaa910d2c","True","BiomedicalConceptProperty_166","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","fb077da8-8cd3-4d8f-b0df-c3211cd8c3a4","True","BiomedicalConceptProperty_167","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","31c3db9c-6549-46a1-8e0c-4f56c8211abe","True","BiomedicalConceptProperty_168","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","d25acc92-064a-4f22-9e8f-2b7ed01669c9","True","BiomedicalConceptProperty_169","","BiomedicalConceptProperty"
"AETERM","AETERM","True","9d14a228-3311-48b7-abce-c81045ed48e2","True","BiomedicalConceptProperty_1","text","BiomedicalConceptProperty"
"AEDECOD","AEDECOD","True","a27c3ed2-4423-4df0-a62e-384e17334f07","True","BiomedicalConceptProperty_2","text","BiomedicalConceptProperty"
"AEPRESP","AEPRESP","True","b35a4e5e-6352-443b-af54-e233fa74af7c","True","BiomedicalConceptProperty_3","text","BiomedicalConceptProperty"
"AELOC","AELOC","True","bfd66836-4d11-4a5e-bd02-88f7ef38415a","True","BiomedicalConceptProperty_4","text","BiomedicalConceptProperty"
"AESEV","AESEV","True","8330ecd2-ffb6-4a48-8330-628b6c5152bd","True","BiomedicalConceptProperty_5","text","BiomedicalConceptProperty"
"AESER","AESER","True","b33f1db0-e648-47b2-9a93-62cac5363cc0","True","BiomedicalConceptProperty_6","text","BiomedicalConceptProperty"
"AEACN","AEACN","True","a49c1fa5-f4cf-45e1-902b-ddec40198162","True","BiomedicalConceptProperty_7","text","BiomedicalConceptProperty"
"AEACNOTH","AEACNOTH","True","54169a48-193e-48df-801b-9f47ed2e83b8","True","BiomedicalConceptProperty_8","text","BiomedicalConceptProperty"
"AEREL","AEREL","True","b61b2935-e5b1-4a96-a0e3-3dbcddcbd41c","True","BiomedicalConceptProperty_9","text","BiomedicalConceptProperty"
"AERELNST","AERELNST","True","a8941c53-863b-4e33-9f9a-94d5c7d40a52","True","BiomedicalConceptProperty_10","text","BiomedicalConceptProperty"
"AEPATT","AEPATT","True","624da129-ce64-4d27-8aa7-303bd5dff4d6","True","BiomedicalConceptProperty_11","text","BiomedicalConceptProperty"
"AEOUT","AEOUT","True","3662cf3e-46d6-4053-bde0-9066bc00df45","True","BiomedicalConceptProperty_12","text","BiomedicalConceptProperty"
"AESCAN","AESCAN","True","62b8b561-6740-47ba-8a48-2295a594bb42","True","BiomedicalConceptProperty_13","text","BiomedicalConceptProperty"
"AESCONG","AESCONG","True","8643f8b3-dcfe-4928-ae97-a2803579da46","True","BiomedicalConceptProperty_14","text","BiomedicalConceptProperty"
"AESDISAB","AESDISAB","True","c9ffe5ba-5782-4f42-b6bc-d0f115f8666a","True","BiomedicalConceptProperty_15","text","BiomedicalConceptProperty"
"AESDTH","AESDTH","True","b0099671-83a5-446e-9819-5bca737472bb","True","BiomedicalConceptProperty_16","text","BiomedicalConceptProperty"
"AESHOSP","AESHOSP","True","3a8e4255-ec81-4cea-afbd-1f0c6a3ae8d6","True","BiomedicalConceptProperty_17","text","BiomedicalConceptProperty"
"AESLIFE","AESLIFE","True","7a78a5b7-e836-4202-b7b1-8b73fc56eb07","True","BiomedicalConceptProperty_18","text","BiomedicalConceptProperty"
"AESOD","AESOD","True","24633617-b11f-4ed5-82e8-1edf873526b2","True","BiomedicalConceptProperty_19","text","BiomedicalConceptProperty"
"AESMIE","AESMIE","True","bf9ae3b1-0176-4a85-bfc5-911c012f08aa","True","BiomedicalConceptProperty_20","text","BiomedicalConceptProperty"
"AECONTRT","AECONTRT","True","6258705d-6874-4c19-9410-37b6465a9be4","True","BiomedicalConceptProperty_21","text","BiomedicalConceptProperty"
"AESTDTC","AESTDTC","True","df203cc3-50ba-4cb7-896c-22e1fd747000","True","BiomedicalConceptProperty_22","datetime","BiomedicalConceptProperty"
"AEENDTC","AEENDTC","True","12de0acb-3351-4375-86d0-15d98d9ac95a","True","BiomedicalConceptProperty_23","datetime","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","e25c6247-51be-4550-8cf2-5f1bfabd0a46","True","BiomedicalConceptProperty_24","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","d3a35cad-5fac-443b-a544-0f8c59cf65e0","True","BiomedicalConceptProperty_25","integer","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","69fba828-ec4e-478d-8d67-ed9fd8379bf2","True","BiomedicalConceptProperty_26","","BiomedicalConceptProperty"
"VSPOS","VSPOS","True","862191eb-721e-45b8-ab69-829f04bc7c4f","True","BiomedicalConceptProperty_27","","BiomedicalConceptProperty"
"VSLOC","VSLOC","True","c0e6967a-9e28-4a32-b71f-7dd15403777b","True","BiomedicalConceptProperty_28","","BiomedicalConceptProperty"
"VSLAT","VSLAT","True","fde3e162-289f-49da-984e-1cef94b9daf5","True","BiomedicalConceptProperty_29","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","98a515d7-fda8-40b4-aaf7-53034d46331d","True","BiomedicalConceptProperty_30","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","89c25b02-d92d-44e1-83d0-56f3e6ce32fb","True","BiomedicalConceptProperty_31","integer","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","e3e75602-265d-4715-950a-6bd2b03d5c46","True","BiomedicalConceptProperty_32","","BiomedicalConceptProperty"
"VSPOS","VSPOS","True","eceb3443-71fb-4e31-b41e-1ab6da6217a8","True","BiomedicalConceptProperty_33","","BiomedicalConceptProperty"
"VSLOC","VSLOC","True","4d10b0c3-0dfd-4889-b090-8c27eea270ac","True","BiomedicalConceptProperty_34","","BiomedicalConceptProperty"
"VSLAT","VSLAT","True","6094298e-8e4b-490b-8ddc-395aab4d5717","True","BiomedicalConceptProperty_35","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","a9ed0a8f-5185-430a-b485-1526d00eeb89","True","BiomedicalConceptProperty_36","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","964266c8-93b9-41a9-88f3-1f1ee4b0de37","True","BiomedicalConceptProperty_37","float","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","725f1850-8244-470f-b724-06330717ba7a","True","BiomedicalConceptProperty_38","","BiomedicalConceptProperty"
"VSLOC","VSLOC","True","3a665de9-697c-491b-a6f9-a1cfa5355023","True","BiomedicalConceptProperty_39","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","52edb846-c64d-4007-b847-04ad597e24de","True","BiomedicalConceptProperty_40","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","44d734ec-affc-405d-a771-8a9acc0f9e2c","True","BiomedicalConceptProperty_41","float","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","495ce407-095c-4ad5-a67c-58718571557c","True","BiomedicalConceptProperty_42","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","147cb7ec-e476-4c06-bfbd-bb25a2d8f0c3","True","BiomedicalConceptProperty_43","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","8a928e4d-3df1-4af7-8d17-d57967963143","True","BiomedicalConceptProperty_44","float","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","41d5aedd-6648-494f-bd2a-a70bc4440da3","True","BiomedicalConceptProperty_45","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","4dc2999b-4067-468d-a560-c14ec550a5fe","True","BiomedicalConceptProperty_46","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","15ea2a38-98ed-497f-9e5d-a08248589635","True","BiomedicalConceptProperty_47","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","6ae3802d-4d0d-4c27-b78c-5724bf46473a","True","BiomedicalConceptProperty_48","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","c3dc72e7-a452-43b1-b577-3cb1c19c3786","True","BiomedicalConceptProperty_49","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","d64656b6-a59c-4f20-bc56-125624defa10","True","BiomedicalConceptProperty_50","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","d0a28bf5-fca3-43ce-8f23-f7432613b008","True","BiomedicalConceptProperty_51","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","b010737c-5dd7-4700-8b7d-689661cb8040","True","BiomedicalConceptProperty_52","text","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","0c7b5c2f-8c38-4fcb-969d-5a238516e55b","True","BiomedicalConceptProperty_53","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","39c61f49-6780-4c07-a358-dff9dca7b5f3","True","BiomedicalConceptProperty_54","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","b5079ddd-06a5-4828-9d5d-f1c842dd4a4f","True","BiomedicalConceptProperty_55","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","a42ac1bc-7c8a-49a8-90f0-8f4465fb00fd","True","BiomedicalConceptProperty_56","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","91501779-67d0-40ef-a0a3-27ec1ccb1908","True","BiomedicalConceptProperty_57","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","b98bf39c-8748-4804-98b1-e69848d2b540","True","BiomedicalConceptProperty_58","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","92526ee5-7177-46c7-8d13-b670816315d9","True","BiomedicalConceptProperty_59","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","98959afb-1691-4595-a34f-4de8fc56b419","True","BiomedicalConceptProperty_60","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","1d4ab44f-2554-49de-b7f9-708fac741973","True","BiomedicalConceptProperty_61","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","dd150bf1-e9e3-42ae-a7f9-da8f3b0e511c","True","BiomedicalConceptProperty_62","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","ec18057b-9179-429c-a3ae-bc4b57cc327e","True","BiomedicalConceptProperty_63","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","e0cde94a-8891-410e-aadb-c558a29de627","True","BiomedicalConceptProperty_64","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","a9a8dfc7-ae27-4f04-9d22-ef5d4e47ed6f","True","BiomedicalConceptProperty_65","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","cb878d56-578c-4605-b3f5-f96a0aa9b5a6","True","BiomedicalConceptProperty_66","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","b70f3a2a-cece-4581-bd0e-7899bb8b6c53","True","BiomedicalConceptProperty_67","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","0aa374e8-55b6-4c7e-ab30-4557cf544972","True","BiomedicalConceptProperty_68","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","a4bd47c5-8c99-4c5b-bc6d-18ca293abc26","True","BiomedicalConceptProperty_69","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","92ab9b09-93fe-4566-980a-4392aa6960bd","True","BiomedicalConceptProperty_70","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","244ef392-cabe-4f7d-928d-c06a97d494c2","True","BiomedicalConceptProperty_71","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","0491d84e-1e7a-4da0-a80b-f7296c710124","True","BiomedicalConceptProperty_72","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","693ac42a-ab74-49bd-8357-8a43f4449375","True","BiomedicalConceptProperty_73","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","5ecc5722-3081-4c3c-9d65-5cae0193c821","True","BiomedicalConceptProperty_74","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","c1ba55d1-c272-4b05-8ecb-5e101abec39c","True","BiomedicalConceptProperty_75","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","e7741355-f535-4086-b680-718d9bdb37c1","True","BiomedicalConceptProperty_76","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","4a385e25-6d16-4bc3-8cdf-5a70707d8925","True","BiomedicalConceptProperty_77","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","1fb11e31-dfee-4baa-bdf4-52dc59e993bf","True","BiomedicalConceptProperty_78","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","0c342366-a3e4-4868-aaaf-b77b305815bc","True","BiomedicalConceptProperty_79","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","bf8f6326-e284-447d-ac4d-8bad63c5fc04","True","BiomedicalConceptProperty_80","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","ad09d55c-9ba6-41e6-88b2-30daf97717a2","True","BiomedicalConceptProperty_81","integer","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","7d922f06-5b2e-4545-9e9f-a21e141adc0f","True","BiomedicalConceptProperty_82","","BiomedicalConceptProperty"
"VSPOS","VSPOS","True","7481a1dc-ec8f-4ad7-bdbe-cfb4304755fe","True","BiomedicalConceptProperty_83","","BiomedicalConceptProperty"
"VSLOC","VSLOC","True","e3cbdbee-2f18-49f0-8d03-2b282683711f","True","BiomedicalConceptProperty_84","","BiomedicalConceptProperty"
"VSLAT","VSLAT","True","e213e283-17fd-4d07-b44d-2a71b70fa0c6","True","BiomedicalConceptProperty_85","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","d6226d6a-5b49-4797-8177-a193f8df2a8c","True","BiomedicalConceptProperty_86","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","aab29d53-c427-497d-bc25-acd8a5d97fe3","True","BiomedicalConceptProperty_87","integer","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","ac260402-c193-4fb3-bcb5-53ce0d05246e","True","BiomedicalConceptProperty_88","","BiomedicalConceptProperty"
"VSPOS","VSPOS","True","8b55432a-4293-48b5-8a7c-58738b4bd831","True","BiomedicalConceptProperty_89","","BiomedicalConceptProperty"
"VSLOC","VSLOC","True","262496db-931d-4eee-ac67-90ad4f24a02a","True","BiomedicalConceptProperty_90","","BiomedicalConceptProperty"
"VSLAT","VSLAT","True","377ca8db-ee37-4b49-ae57-309333e4299d","True","BiomedicalConceptProperty_91","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","d20a5c0b-e827-4dd6-be12-7b8fb50dc275","True","BiomedicalConceptProperty_92","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","8ad25024-aeec-4671-a9c8-345739c64457","True","BiomedicalConceptProperty_93","integer","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","7fe64b87-8f6f-4f33-b051-db15677fe942","True","BiomedicalConceptProperty_94","","BiomedicalConceptProperty"
"VSPOS","VSPOS","True","8fbc5641-a163-4678-89f1-d78bc5c1f449","True","BiomedicalConceptProperty_95","","BiomedicalConceptProperty"
"VSLOC","VSLOC","True","d818896e-ae9b-4832-911e-c3248307a10b","True","BiomedicalConceptProperty_96","","BiomedicalConceptProperty"
"VSLAT","VSLAT","True","22c1d2eb-f775-4ca6-bd07-5df80c27702e","True","BiomedicalConceptProperty_97","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","1454c545-fee1-46d4-986c-f3fb5b3249d0","True","BiomedicalConceptProperty_98","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","59a2648f-84e6-4913-92f7-3f4c3c87cfcd","True","BiomedicalConceptProperty_99","integer","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","fdd3cfc3-78da-43d5-9f25-c87671339412","True","BiomedicalConceptProperty_100","","BiomedicalConceptProperty"
"VSPOS","VSPOS","True","ce9cc80e-081d-486e-83db-69876c48b5ef","True","BiomedicalConceptProperty_101","","BiomedicalConceptProperty"
"VSLOC","VSLOC","True","1a470711-c11f-4d81-a6d9-ec3ae5010eed","True","BiomedicalConceptProperty_102","","BiomedicalConceptProperty"
"VSLAT","VSLAT","True","5e2563dc-cdca-496e-8f6a-e9c6b83aae3a","True","BiomedicalConceptProperty_103","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","3a84767a-19a9-45e6-addd-f4dbb82793e2","True","BiomedicalConceptProperty_104","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","b3bd57af-77c0-4a5e-bdfa-321b8a59f9d0","True","BiomedicalConceptProperty_105","integer","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","f9c1ac91-4787-4629-9917-4c815c333c4b","True","BiomedicalConceptProperty_106","","BiomedicalConceptProperty"
"VSPOS","VSPOS","True","2f068a8e-940c-4834-b28a-18597fe58293","True","BiomedicalConceptProperty_107","","BiomedicalConceptProperty"
"VSLOC","VSLOC","True","0e112d83-2f59-4c73-928d-692be5e9aef9","True","BiomedicalConceptProperty_108","","BiomedicalConceptProperty"
"VSLAT","VSLAT","True","a41b4302-c35d-43fb-a2ee-0220a46b3f4f","True","BiomedicalConceptProperty_109","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","dfa09085-16dd-413b-92e5-6181f0f7b4d9","True","BiomedicalConceptProperty_110","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","5869d481-081d-484d-af50-d086c0bcfb9d","True","BiomedicalConceptProperty_111","integer","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","43a2e16d-8e30-49dc-b78e-baa8b2c794a8","True","BiomedicalConceptProperty_112","","BiomedicalConceptProperty"
"VSPOS","VSPOS","True","6d2c39e5-b8e0-4142-866c-b69493e53f72","True","BiomedicalConceptProperty_113","","BiomedicalConceptProperty"
"VSLOC","VSLOC","True","31aaeb3a-4925-4679-a946-674e419abc13","True","BiomedicalConceptProperty_114","","BiomedicalConceptProperty"
"VSLAT","VSLAT","True","4b75cc0d-012c-4a46-ace0-03b7f0e1d1cc","True","BiomedicalConceptProperty_115","","BiomedicalConceptProperty"
