"label","name","datatype","uuid:ID","id","isEnabled","isRequired","instanceType"
"LBFAST","LBFAST","","2d8597e3-cdee-485e-8dfa-8530c0760c4d","BiomedicalConceptProperty_141","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","26b57c4a-b532-4971-adb4-b8b69bb65304","BiomedicalConceptProperty_142","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","5b6430d6-dee8-41e5-b8f1-e0b35eae209c","BiomedicalConceptProperty_143","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","9f37d482-d67c-4af0-ad04-c6bdf047cc10","BiomedicalConceptProperty_144","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","55ae1b1a-a2b7-4077-8532-d789d4cb9ab7","BiomedicalConceptProperty_145","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","eacdd5ce-037b-49d7-8fd6-0269288c11c0","BiomedicalConceptProperty_146","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","86a179d2-6daa-4446-8825-b73e5869311f","BiomedicalConceptProperty_147","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","e575e26d-035f-4c9f-a6e4-778cc555d6cd","BiomedicalConceptProperty_148","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","51911926-e418-45d7-8722-56eca9d83327","BiomedicalConceptProperty_149","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","24254037-f400-4980-8491-56f2f9b56c10","BiomedicalConceptProperty_150","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","c7480955-9641-4a30-b255-eb558cfdbfae","BiomedicalConceptProperty_151","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","90711726-f8ef-40e3-b1bf-04323146438b","BiomedicalConceptProperty_152","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","56db6e89-82e5-49f4-8139-ca1ec92f8588","BiomedicalConceptProperty_153","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","89334b5b-6b25-45bd-87ab-e5e73127386f","BiomedicalConceptProperty_154","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","6b15d9aa-0be0-47f6-afec-85161d1b9b8d","BiomedicalConceptProperty_155","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","32487fff-5271-4c2d-8eb1-d184eb5cb0c9","BiomedicalConceptProperty_156","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","b83ac37b-e285-4ff7-b55e-3610048b2282","BiomedicalConceptProperty_157","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","e8c04ab0-c922-4429-8ba1-0db050684fa2","BiomedicalConceptProperty_158","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","a81c39b3-3794-4ab5-abfb-8da3196e310e","BiomedicalConceptProperty_159","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","b8b0722d-257b-402d-99b8-379a89ed1f68","BiomedicalConceptProperty_160","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","443b8683-7989-427b-bf40-7d6084701e55","BiomedicalConceptProperty_161","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","8002609e-4845-44ed-81c7-0f30404c4e3c","BiomedicalConceptProperty_162","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","786be598-c2e7-4941-b235-08efe4ebf839","BiomedicalConceptProperty_163","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","17403a97-9377-4412-b6cf-89861d0306e8","BiomedicalConceptProperty_164","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","3ed68094-bda9-4944-8b9f-4b710a5ad8ee","BiomedicalConceptProperty_165","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","6cf16519-5ac0-4cb6-ad30-797449d18b5c","BiomedicalConceptProperty_166","True","True","BiomedicalConceptProperty"
"AETERM","AETERM","text","cd55dc4a-0c2b-4a0d-b5b9-068e02fd2bb0","BiomedicalConceptProperty_1","True","True","BiomedicalConceptProperty"
"AEDECOD","AEDECOD","text","cf612793-40d4-4712-b47c-61932e0ecb3f","BiomedicalConceptProperty_2","True","True","BiomedicalConceptProperty"
"AEPRESP","AEPRESP","text","6dcdc015-7fbb-42aa-8f69-415631d5d4aa","BiomedicalConceptProperty_3","True","True","BiomedicalConceptProperty"
"AELOC","AELOC","text","ae523475-3d28-4368-8b8a-0832c6dcf80a","BiomedicalConceptProperty_4","True","True","BiomedicalConceptProperty"
"AESEV","AESEV","text","bd21b9d8-514f-4352-a4bb-751c6e15a91a","BiomedicalConceptProperty_5","True","True","BiomedicalConceptProperty"
"AESER","AESER","text","5d336897-a1b7-4371-96ad-38eda1b0d599","BiomedicalConceptProperty_6","True","True","BiomedicalConceptProperty"
"AEACN","AEACN","text","b3a6922b-4330-44e3-95ea-ccc545db7ac4","BiomedicalConceptProperty_7","True","True","BiomedicalConceptProperty"
"AEACNOTH","AEACNOTH","text","caae1f03-8bc1-492b-b8da-f7f3baedf3fa","BiomedicalConceptProperty_8","True","True","BiomedicalConceptProperty"
"AEREL","AEREL","text","20ff19b6-01e2-4cc4-8e03-e036bfc0460f","BiomedicalConceptProperty_9","True","True","BiomedicalConceptProperty"
"AERELNST","AERELNST","text","84066e80-2c48-4848-a72a-aa0f179b7794","BiomedicalConceptProperty_10","True","True","BiomedicalConceptProperty"
"AEPATT","AEPATT","text","df99c9b5-3778-4dab-b5e8-0af728f8f838","BiomedicalConceptProperty_11","True","True","BiomedicalConceptProperty"
"AEOUT","AEOUT","text","08132ad4-07a9-4af3-aa84-5b109a6394cc","BiomedicalConceptProperty_12","True","True","BiomedicalConceptProperty"
"AESCAN","AESCAN","text","3aa28702-25d2-4f67-a825-0f963ef763e0","BiomedicalConceptProperty_13","True","True","BiomedicalConceptProperty"
"AESCONG","AESCONG","text","17148afe-a762-44da-8c08-7806fd00de3c","BiomedicalConceptProperty_14","True","True","BiomedicalConceptProperty"
"AESDISAB","AESDISAB","text","0f752606-e0b2-4e07-a0a9-334320379d85","BiomedicalConceptProperty_15","True","True","BiomedicalConceptProperty"
"AESDTH","AESDTH","text","f1916920-642a-47e4-9549-792419de14e3","BiomedicalConceptProperty_16","True","True","BiomedicalConceptProperty"
"AESHOSP","AESHOSP","text","87430593-afb2-4e6d-8d19-2f05da66156c","BiomedicalConceptProperty_17","True","True","BiomedicalConceptProperty"
"AESLIFE","AESLIFE","text","06987b37-ab62-4275-971d-4988c34d7a69","BiomedicalConceptProperty_18","True","True","BiomedicalConceptProperty"
"AESOD","AESOD","text","dce63863-d302-449d-b4a4-a50cdd5fea1e","BiomedicalConceptProperty_19","True","True","BiomedicalConceptProperty"
"AESMIE","AESMIE","text","6f54469b-0b16-425c-9d51-3d22afc1a25a","BiomedicalConceptProperty_20","True","True","BiomedicalConceptProperty"
"AECONTRT","AECONTRT","text","ce2183a6-3989-4dad-97ef-c28c1590f7fd","BiomedicalConceptProperty_21","True","True","BiomedicalConceptProperty"
"AESTDTC","AESTDTC","datetime","dbff46a4-fc5f-4aad-aeea-8ef549baf1d2","BiomedicalConceptProperty_22","True","True","BiomedicalConceptProperty"
"AEENDTC","AEENDTC","datetime","c929298a-d318-4cbf-b0ef-30926e7babd2","BiomedicalConceptProperty_23","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","cdbd3992-63eb-4758-a931-0435106c9aae","BiomedicalConceptProperty_24","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","integer","480079a5-c6ab-435c-8ee8-19b7c7ef8978","BiomedicalConceptProperty_25","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","18e5101f-e3cc-4a30-a565-8e82d5e994cd","BiomedicalConceptProperty_26","True","True","BiomedicalConceptProperty"
"VSPOS","VSPOS","","6df33d9f-49ad-4244-a814-f00a9925fe20","BiomedicalConceptProperty_27","True","True","BiomedicalConceptProperty"
"VSLOC","VSLOC","","b9975ad2-1e06-419d-ba08-9d07ff2e020a","BiomedicalConceptProperty_28","True","True","BiomedicalConceptProperty"
"VSLAT","VSLAT","","9a98f209-5a6a-41aa-b157-b8e73c1c7244","BiomedicalConceptProperty_29","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","3f6d5504-dde7-4e64-9083-e269f35709d8","BiomedicalConceptProperty_30","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","integer","e0ba5089-365b-4cf4-ae40-59cb50df55c4","BiomedicalConceptProperty_31","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","f3b26ca0-8c69-46ed-859c-871afe722195","BiomedicalConceptProperty_32","True","True","BiomedicalConceptProperty"
"VSPOS","VSPOS","","7a6ec168-3ff9-4002-ab09-dff9248a9038","BiomedicalConceptProperty_33","True","True","BiomedicalConceptProperty"
"VSLOC","VSLOC","","3a2681ed-3234-47a1-9075-352eecaecd48","BiomedicalConceptProperty_34","True","True","BiomedicalConceptProperty"
"VSLAT","VSLAT","","0213c1e4-bed1-41e3-97d4-484355f1eb6b","BiomedicalConceptProperty_35","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","53119826-c69f-4977-8ff4-4c043d0bc243","BiomedicalConceptProperty_36","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","float","d1024708-b358-4a06-9933-9ff24e131fde","BiomedicalConceptProperty_37","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","96554acf-611b-417c-9955-1a66ae66fb1d","BiomedicalConceptProperty_38","True","True","BiomedicalConceptProperty"
"VSLOC","VSLOC","","42ad1191-18b9-4d7a-b3f3-3b06a2ae39a6","BiomedicalConceptProperty_39","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","25827ce4-5e7a-48d6-80e7-1e881f51c1b9","BiomedicalConceptProperty_40","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","float","6a7b1d6d-40f3-442f-931e-0b453690dd60","BiomedicalConceptProperty_41","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","4d1ef81e-62e0-4047-8c4d-3c2023c12c21","BiomedicalConceptProperty_42","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","34f3f5af-a3bf-4aa0-bf17-16aeedce9b53","BiomedicalConceptProperty_43","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","float","37f117cc-79f7-4743-815f-c42aa7f0b601","BiomedicalConceptProperty_44","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","2ec348f0-291e-4dc0-9390-cf6ba0786577","BiomedicalConceptProperty_45","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","d95ca0f2-0616-461f-9e94-c420bb127f3c","BiomedicalConceptProperty_46","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","61854d46-26aa-4ba2-92ef-cbc26a6aad78","BiomedicalConceptProperty_47","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","59c237b7-8253-4ba8-a9e3-7ba5ddce4729","BiomedicalConceptProperty_48","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","edd9b03a-e2e5-42b2-9a89-03f85434123b","BiomedicalConceptProperty_49","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","ee896ab0-804b-43af-9403-1dac002d0bf1","BiomedicalConceptProperty_50","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","2067e6d9-74ba-4e9b-8af0-887183ab885a","BiomedicalConceptProperty_51","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","text","52824a51-9188-47a5-9593-543593e2a28f","BiomedicalConceptProperty_52","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","08c9d74f-cc3c-4342-a132-d90e20f2f1f4","BiomedicalConceptProperty_53","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","5a2ce351-6931-4365-afc8-c57228e94aac","BiomedicalConceptProperty_54","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","fdd7692e-9c6f-4995-b86b-7e500dbd1ab7","BiomedicalConceptProperty_55","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","54ec5570-a154-4c0d-a637-932835a00b49","BiomedicalConceptProperty_56","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","7050d78e-f916-4d1f-88fd-1c935af72525","BiomedicalConceptProperty_57","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","3de9448e-cbd2-454b-b93a-ddbdb7f48f54","BiomedicalConceptProperty_58","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","f9084066-4632-4156-bb68-e31eb0503ae5","BiomedicalConceptProperty_59","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","c109e047-cd83-4f89-8c56-934de7d56ed3","BiomedicalConceptProperty_60","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","485d6466-0b6f-49cc-a0aa-9aed3789cf0b","BiomedicalConceptProperty_61","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","ff81ec6b-437d-428e-b319-900e7e17240a","BiomedicalConceptProperty_62","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","fb4312b3-7bde-40a1-8d72-31e461400046","BiomedicalConceptProperty_63","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","60022997-3745-4e80-be0d-b9c20e5555d8","BiomedicalConceptProperty_64","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","b1e18612-c322-44fd-b505-29f130ad0fc0","BiomedicalConceptProperty_65","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","be3842e7-d7a8-40bb-8ea2-9033def72aa7","BiomedicalConceptProperty_66","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","1e9e9f17-b90d-4c22-b1ae-5d1ff31ccc67","BiomedicalConceptProperty_67","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","74c0c540-c29d-46e6-a306-495e68fc7ff4","BiomedicalConceptProperty_68","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","682b9903-5bfe-4d42-80a2-78c70feb7297","BiomedicalConceptProperty_69","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","4c0e77e0-0dfb-422e-b72d-4607a195f674","BiomedicalConceptProperty_70","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","ca8ce4ad-6939-4048-9bbc-94734a68711c","BiomedicalConceptProperty_71","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","3e74ed45-fbca-4e86-987d-61d959dd6432","BiomedicalConceptProperty_72","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","8bdaf972-f57f-472c-9c74-d541ec1547f3","BiomedicalConceptProperty_73","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","a52d458f-e3c1-42ef-94c8-7091f6259162","BiomedicalConceptProperty_74","True","True","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","","a9e65168-8bc7-4ef1-a69c-83307eb77a09","BiomedicalConceptProperty_75","True","True","BiomedicalConceptProperty"
"LBORRES","LBORRES","float","3df58961-a6be-4f14-b04f-9f7f5e9acb18","BiomedicalConceptProperty_76","True","True","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","","89cdf784-524c-4b07-ab7d-efaa7d5ef45e","BiomedicalConceptProperty_77","True","True","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","","48efcce9-8981-4682-86c0-9896f9d4397e","BiomedicalConceptProperty_78","True","True","BiomedicalConceptProperty"
"LBFAST","LBFAST","","ccda99e3-067f-464b-8d21-83498649d3ec","BiomedicalConceptProperty_79","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","5713c135-f5d1-4575-88c7-72df3f927213","BiomedicalConceptProperty_80","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","integer","6698b807-5564-4d64-b569-5eabdf170ceb","BiomedicalConceptProperty_81","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","9bfdbde5-5f77-48c5-bd4c-84bdf5f1ee9b","BiomedicalConceptProperty_82","True","True","BiomedicalConceptProperty"
"VSPOS","VSPOS","","9b07795a-bdc0-433b-a277-21cd9baff7ec","BiomedicalConceptProperty_83","True","True","BiomedicalConceptProperty"
"VSLOC","VSLOC","","f7ef71e8-1856-4e9b-9ff4-bfb41277de0e","BiomedicalConceptProperty_84","True","True","BiomedicalConceptProperty"
"VSLAT","VSLAT","","8c4a988e-966f-48df-a602-b3432949b75e","BiomedicalConceptProperty_85","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","ebeb421b-e552-40d3-a611-efa301b186ef","BiomedicalConceptProperty_86","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","integer","ba15781e-3fe8-409e-b882-3b4048d692ff","BiomedicalConceptProperty_87","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","02112b34-f6d6-4588-bf85-7fe2a0347a51","BiomedicalConceptProperty_88","True","True","BiomedicalConceptProperty"
"VSPOS","VSPOS","","cc9c3105-2eb9-454b-a712-fdea22d26ec7","BiomedicalConceptProperty_89","True","True","BiomedicalConceptProperty"
"VSLOC","VSLOC","","5cba14a5-97b9-448b-9151-6af02657fb8f","BiomedicalConceptProperty_90","True","True","BiomedicalConceptProperty"
"VSLAT","VSLAT","","8e4d1c81-848f-4dc1-8042-a4d3d26ed46e","BiomedicalConceptProperty_91","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","b322ca12-f41d-4b21-9494-64f53b9789de","BiomedicalConceptProperty_92","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","integer","6a2380bf-cca7-4f1f-b47a-7d3b5c44b787","BiomedicalConceptProperty_93","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","69365e41-43d5-458b-bd89-0fc08001b58c","BiomedicalConceptProperty_94","True","True","BiomedicalConceptProperty"
"VSPOS","VSPOS","","5f35ac5c-94ce-43c7-a486-64bb71673163","BiomedicalConceptProperty_95","True","True","BiomedicalConceptProperty"
"VSLOC","VSLOC","","d5a4a9b4-b12b-4824-8a51-fa3258b36054","BiomedicalConceptProperty_96","True","True","BiomedicalConceptProperty"
"VSLAT","VSLAT","","c48c71cc-6b35-4f7c-a305-7764441aeeb8","BiomedicalConceptProperty_97","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","f815a55f-e278-4eaa-9eb9-11763c5101dd","BiomedicalConceptProperty_98","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","integer","dbdc2e8e-0de4-4020-a5d5-71771562287c","BiomedicalConceptProperty_99","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","730fb06d-3da6-4097-9bf0-b3b88a1d822e","BiomedicalConceptProperty_100","True","True","BiomedicalConceptProperty"
"VSPOS","VSPOS","","90dbcb0a-fbc8-4a93-921d-7645f803255b","BiomedicalConceptProperty_101","True","True","BiomedicalConceptProperty"
"VSLOC","VSLOC","","a432ea8d-a8eb-4b64-819f-32cd514342b4","BiomedicalConceptProperty_102","True","True","BiomedicalConceptProperty"
"VSLAT","VSLAT","","ac8a1de7-cde2-4ea3-add5-4f6231d660d0","BiomedicalConceptProperty_103","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","572fcdef-b723-42ea-8fe0-f845b0cf20e0","BiomedicalConceptProperty_104","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","integer","27f6486f-806d-464c-aa01-5305024ac81b","BiomedicalConceptProperty_105","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","83a8f6e9-329d-4a0e-bfd4-3830475b716e","BiomedicalConceptProperty_106","True","True","BiomedicalConceptProperty"
"VSPOS","VSPOS","","5e0e0a56-91ed-4e50-9066-eba6c858f60c","BiomedicalConceptProperty_107","True","True","BiomedicalConceptProperty"
"VSLOC","VSLOC","","c967d61a-01aa-4d97-af3a-20680848fed7","BiomedicalConceptProperty_108","True","True","BiomedicalConceptProperty"
"VSLAT","VSLAT","","4f7b4ca3-4966-4255-ac40-646bb5b4be09","BiomedicalConceptProperty_109","True","True","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","","6f8d9cbd-4e5f-45b7-b332-af5ff7d5b288","BiomedicalConceptProperty_110","True","True","BiomedicalConceptProperty"
"VSORRES","VSORRES","integer","0cfd2e7e-e2a6-43c1-9755-8277aece669b","BiomedicalConceptProperty_111","True","True","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","","b9de3c09-4c6e-45fe-bf85-c5a192c5ae94","BiomedicalConceptProperty_112","True","True","BiomedicalConceptProperty"
"VSPOS","VSPOS","","1a7263f6-3136-4c9f-84a3-abe57b3c955b","BiomedicalConceptProperty_113","True","True","BiomedicalConceptProperty"
"VSLOC","VSLOC","","dd436c6e-5f45-452f-b922-78ffbdf7b86a","BiomedicalConceptProperty_114","True","True","BiomedicalConceptProperty"
"VSLAT","VSLAT","","c3723f5d-a4a7-4414-837d-580d60149e41","BiomedicalConceptProperty_115","True","True","BiomedicalConceptProperty"
