"label","id","name","datatype","isRequired","isEnabled","uuid:ID","instanceType"
"LBFAST","BiomedicalConceptProperty_136","LBFAST","","True","True","f07785b2-daa6-4c3c-bb60-67fe0d640f72","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_137","LBTESTCD","","True","True","9d57febb-00ad-4086-a7a2-67280e7fea6c","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_138","LBORRES","float","True","True","98eaed05-2ff7-4b83-b2cd-83c7882913e7","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_139","LBORRESU","","True","True","d09ba461-f00c-4f21-b24c-ba5b179141ad","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_140","LBSPEC","","True","True","8a3f5446-933d-4381-981d-b54e2a025785","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_141","LBFAST","","True","True","656e90a6-ab41-4bf6-8ec8-8bca047addad","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_142","LBTESTCD","","True","True","e08f2da3-33c0-4893-9940-5e3620dc10c0","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_143","LBORRES","float","True","True","7a8c6f57-a67a-4005-ac63-7b75af79e5bf","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_144","LBORRESU","","True","True","fd629a29-a384-4d33-a69b-3ef1d377ff39","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_145","LBSPEC","","True","True","ed623577-32a2-4614-a30d-17a101cf2640","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_146","LBFAST","","True","True","2c720570-12c7-4c69-a41d-faf7a262689d","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_147","LBTESTCD","","True","True","9424e3a7-10b9-4517-ace0-f529b23cc4ee","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_148","LBORRES","float","True","True","8142f0c8-cb25-466b-a2b9-2028e54c2381","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_149","LBORRESU","","True","True","6d624b05-0e8d-4da3-9d34-6b965c5e4f8e","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_150","LBSPEC","","True","True","a349ff62-9176-4637-8ce3-ca43990686f9","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_151","LBFAST","","True","True","0ce0ccc2-383c-4b7e-9405-e947d76f8f47","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_152","LBTESTCD","","True","True","ea734f34-e5c3-4a31-9866-aa370b5cbe31","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_153","LBORRES","float","True","True","c49201a4-7a4e-4ab4-bd43-b1e2df635e14","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_154","LBORRESU","","True","True","aa724729-9fee-4201-82f1-32c4ae6232df","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_155","LBSPEC","","True","True","1d3d302d-eb60-4773-a251-86832d2b3cb8","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_156","LBFAST","","True","True","e38efd14-e061-4873-89a3-ed6f971ccbd9","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_157","LBTESTCD","","True","True","061c3372-b299-4575-83a2-e869b532a940","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_158","LBORRES","float","True","True","45364f27-f6f2-43e0-a1f9-a09b1c0b8a93","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_159","LBORRESU","","True","True","c2c36545-c230-4c28-9f47-d03a9e2e04df","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_160","LBSPEC","","True","True","f4ae4dc5-a382-435b-92ad-17fb6d71786f","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_161","LBFAST","","True","True","5f3c8ad6-1e1a-485d-a4e7-304470bcc5cc","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_162","LBTESTCD","","True","True","1ce3fa24-8820-4d14-916b-5b2b9f9774d7","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_163","LBORRES","float","True","True","5a022524-07ed-4d2a-b9f7-e535481ec755","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_164","LBORRESU","","True","True","ba4b2088-eaf6-4133-b527-04c01a649b10","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_165","LBSPEC","","True","True","3a51e7e1-f151-4d65-b0cd-37c7af7f90fe","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_166","LBFAST","","True","True","7e3a78b2-1058-49ff-ade4-56f2acab50c7","BiomedicalConceptProperty"
"AETERM","BiomedicalConceptProperty_1","AETERM","text","True","True","e5e134f5-acbe-48b8-b680-9c48f029065b","BiomedicalConceptProperty"
"AEDECOD","BiomedicalConceptProperty_2","AEDECOD","text","True","True","0df7cd2b-464d-41ed-8781-82c9f6c65e9e","BiomedicalConceptProperty"
"AEPRESP","BiomedicalConceptProperty_3","AEPRESP","text","True","True","942d33f1-1240-4606-9116-9a250a87da63","BiomedicalConceptProperty"
"AELOC","BiomedicalConceptProperty_4","AELOC","text","True","True","c59e1725-872d-4fce-9ede-85d78f7b99ee","BiomedicalConceptProperty"
"AESEV","BiomedicalConceptProperty_5","AESEV","text","True","True","e398de2a-bfdc-4839-b798-f562c3b54689","BiomedicalConceptProperty"
"AESER","BiomedicalConceptProperty_6","AESER","text","True","True","e094d773-b5a4-4805-a27a-25c582e2c164","BiomedicalConceptProperty"
"AEACN","BiomedicalConceptProperty_7","AEACN","text","True","True","8a2c2c4f-8130-4622-ac46-97d1a19dcbb3","BiomedicalConceptProperty"
"AEACNOTH","BiomedicalConceptProperty_8","AEACNOTH","text","True","True","2ed995fe-eb29-4456-bc35-8c660b3dbea6","BiomedicalConceptProperty"
"AEREL","BiomedicalConceptProperty_9","AEREL","text","True","True","838d15b9-fd9c-4356-83e5-d46a4ecbadd9","BiomedicalConceptProperty"
"AERELNST","BiomedicalConceptProperty_10","AERELNST","text","True","True","d1ba5ac3-cdb5-4b94-b1a2-e8ca85d7c077","BiomedicalConceptProperty"
"AEPATT","BiomedicalConceptProperty_11","AEPATT","text","True","True","3be7c137-32bf-4148-a1cf-6b17b6447b7c","BiomedicalConceptProperty"
"AEOUT","BiomedicalConceptProperty_12","AEOUT","text","True","True","e26dffb0-98d1-4f25-ae38-e94e3f7f54bf","BiomedicalConceptProperty"
"AESCAN","BiomedicalConceptProperty_13","AESCAN","text","True","True","6eb57801-c2bd-4252-b004-69ab03703a90","BiomedicalConceptProperty"
"AESCONG","BiomedicalConceptProperty_14","AESCONG","text","True","True","2c6d3543-1123-4672-9f07-2f9adf22c60b","BiomedicalConceptProperty"
"AESDISAB","BiomedicalConceptProperty_15","AESDISAB","text","True","True","374a6d47-9c47-45b0-8190-ecb8f9b74c4e","BiomedicalConceptProperty"
"AESDTH","BiomedicalConceptProperty_16","AESDTH","text","True","True","d5337ad8-c755-4361-9bc1-ae56adb4c618","BiomedicalConceptProperty"
"AESHOSP","BiomedicalConceptProperty_17","AESHOSP","text","True","True","a5c211fe-ec78-4844-bf2c-2e52dd6cef8c","BiomedicalConceptProperty"
"AESLIFE","BiomedicalConceptProperty_18","AESLIFE","text","True","True","afdd2cf5-1e1c-4779-a73a-e67ead5dfea8","BiomedicalConceptProperty"
"AESOD","BiomedicalConceptProperty_19","AESOD","text","True","True","0ebd1b73-68e3-4f39-ab11-c41854a20b48","BiomedicalConceptProperty"
"AESMIE","BiomedicalConceptProperty_20","AESMIE","text","True","True","42a549e4-3d6f-4c47-8463-1b999e2ad46c","BiomedicalConceptProperty"
"AECONTRT","BiomedicalConceptProperty_21","AECONTRT","text","True","True","39ef9590-52cb-48b9-8917-e6a5bdaa87e6","BiomedicalConceptProperty"
"AESTDTC","BiomedicalConceptProperty_22","AESTDTC","datetime","True","True","8df8ffe2-8b6e-4038-8424-a19af1a6f10d","BiomedicalConceptProperty"
"AEENDTC","BiomedicalConceptProperty_23","AEENDTC","datetime","True","True","3e6e785d-40b1-438d-be1b-6c25a0966fdd","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_24","VSTESTCD","","True","True","18e1b585-b57a-4861-8b0d-83dc13fdf0fa","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_25","VSORRES","integer","True","True","f6177383-211d-4465-a1d5-eff98eb3d848","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_26","VSORRESU","","True","True","25da0450-ead5-4fd6-be0b-40ae3e7ab684","BiomedicalConceptProperty"
"VSPOS","BiomedicalConceptProperty_27","VSPOS","","True","True","c5aed704-88de-4772-9306-31523830e452","BiomedicalConceptProperty"
"VSLOC","BiomedicalConceptProperty_28","VSLOC","","True","True","c7faa051-27d8-4363-87cf-2e348fe05526","BiomedicalConceptProperty"
"VSLAT","BiomedicalConceptProperty_29","VSLAT","","True","True","312ffcf5-2105-4cee-a1dc-bbb878243c08","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_30","VSTESTCD","","True","True","35f952ca-a42a-4e94-86a9-1f42bce413f3","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_31","VSORRES","integer","True","True","965467b4-5e4e-4282-9972-1efa88310bc5","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_32","VSORRESU","","True","True","52fd30e4-729e-40bf-9a44-8e95a1742adc","BiomedicalConceptProperty"
"VSPOS","BiomedicalConceptProperty_33","VSPOS","","True","True","d3e9be91-df77-43e3-a870-20fdeb0cd18c","BiomedicalConceptProperty"
"VSLOC","BiomedicalConceptProperty_34","VSLOC","","True","True","b0be8221-07a2-4e38-98e1-6eb22fce49fa","BiomedicalConceptProperty"
"VSLAT","BiomedicalConceptProperty_35","VSLAT","","True","True","bcf06781-a464-4d00-899e-15f82efc0199","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_36","VSTESTCD","","True","True","fdc3ab08-0631-4dc3-8aac-cfc78e01b755","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_37","VSORRES","float","True","True","a7f9eb8e-d068-4203-b9d7-1ad05084f69c","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_38","VSORRESU","","True","True","8a1be077-e250-4596-9b98-8e1c5b232951","BiomedicalConceptProperty"
"VSLOC","BiomedicalConceptProperty_39","VSLOC","","True","True","d23b5916-372c-4f86-8a19-e8f8921010b0","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_40","VSTESTCD","","True","True","5f6c4cc6-356a-4280-843d-d6dc63e2ced5","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_41","VSORRES","float","True","True","aa689d2e-872d-43e0-925b-bc30475ae2a9","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_42","VSORRESU","","True","True","459825fa-fcbf-4d91-8136-7cd5f7621bea","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_43","VSTESTCD","","True","True","f36d5ead-0adc-4fac-87e5-8e9dfc9c2f0c","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_44","VSORRES","float","True","True","410e33f2-bc37-47de-93e6-73b9d8505af3","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_45","VSORRESU","","True","True","0a81ea7c-404e-4405-a2f2-41563b30b2bd","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_46","LBTESTCD","","True","True","168a5392-f205-40bc-bfa3-2c40c43904ce","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_47","LBORRES","float","True","True","391487b5-ade1-4d10-b3cd-cf61db344cde","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_48","LBORRESU","","True","True","0084bfcc-1018-4b2b-bc74-a953a6ef5846","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_49","LBSPEC","","True","True","61843667-75ec-4e93-a404-b2118de4c1c9","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_50","LBFAST","","True","True","e879c9de-53c6-406f-80f9-8b59e4d318aa","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_51","LBTESTCD","","True","True","67d4d092-2651-45d0-83a0-b4774f9e9341","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_52","LBORRES","text","True","True","cd5de0ec-3c0b-485d-954f-90764d41aacf","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_53","LBSPEC","","True","True","b1d0ba9e-9211-43db-9a69-2d3d82ca93f3","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_54","LBFAST","","True","True","01b2f863-1358-4617-a5fa-9075598c9a95","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_55","LBTESTCD","","True","True","4af52e4b-b904-40bf-9c57-93f328739a23","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_56","LBORRES","float","True","True","7ad3f1c6-6d4d-4d87-8402-a05e9eb121d2","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_57","LBORRESU","","True","True","1f02e93e-8a1e-4cfd-b57f-b45ee9649afe","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_58","LBSPEC","","True","True","9b97a599-6273-468f-baaf-55416afbfb7b","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_59","LBFAST","","True","True","9fb78733-2099-4fbc-a12d-1771322fdea4","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_60","LBTESTCD","","True","True","1b73548f-7749-49f1-9b86-70fbf90f7e42","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_61","LBORRES","float","True","True","a7b1d228-2959-4363-9e99-76984b998ac8","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_62","LBORRESU","","True","True","c639799a-f8e6-4e2c-877f-689da168669f","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_63","LBSPEC","","True","True","3192f5aa-ecf4-4b4c-9a04-cf89c730afe9","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_64","LBFAST","","True","True","19a6d91a-2cf5-4275-8f5f-312d8be03ed3","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_65","LBTESTCD","","True","True","b320ec9e-0af1-4e89-abee-a74e95859a78","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_66","LBORRES","float","True","True","1eb5b7de-1b40-409e-900f-0aed46d503f2","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_67","LBORRESU","","True","True","0c32985a-59f4-49a9-bdd3-5e82170a84aa","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_68","LBSPEC","","True","True","4b3be987-a7b8-4a7c-839d-0dc3065ca89d","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_69","LBFAST","","True","True","30f78a5f-5279-45f1-814d-55165d30ca14","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_70","LBTESTCD","","True","True","87074255-3f20-445a-ab75-c5decabce835","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_71","LBORRES","float","True","True","3cee9b95-6e75-4771-8965-86121fe707db","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_72","LBORRESU","","True","True","2c9dc653-17b2-42fe-a585-cd6c1fa7eb55","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_73","LBSPEC","","True","True","fb8cd8cf-efec-417a-811d-b51be4bf9090","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_74","LBFAST","","True","True","77b741f2-3d34-47ee-96b3-29369ad450bf","BiomedicalConceptProperty"
"LBTESTCD","BiomedicalConceptProperty_75","LBTESTCD","","True","True","9c99c329-e727-4a57-8d66-282185d55dd2","BiomedicalConceptProperty"
"LBORRES","BiomedicalConceptProperty_76","LBORRES","float","True","True","c91af521-0ca3-4cf9-8059-81c8f117be85","BiomedicalConceptProperty"
"LBORRESU","BiomedicalConceptProperty_77","LBORRESU","","True","True","7fa78184-c9d2-47e5-bcba-1edad61f8b7e","BiomedicalConceptProperty"
"LBSPEC","BiomedicalConceptProperty_78","LBSPEC","","True","True","8db06d61-c90b-433f-8732-1bea797de2e1","BiomedicalConceptProperty"
"LBFAST","BiomedicalConceptProperty_79","LBFAST","","True","True","90a1bafb-4898-4b7e-a89b-06eed288b344","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_80","VSTESTCD","","True","True","185897b9-dcb2-4ed4-8411-b1e83ecebf35","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_81","VSORRES","integer","True","True","4debed20-dfb1-4b12-a12e-29542fb3ec83","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_82","VSORRESU","","True","True","3bdee5e4-03ac-4b15-b02f-53fe2a3def0f","BiomedicalConceptProperty"
"VSPOS","BiomedicalConceptProperty_83","VSPOS","","True","True","9791d96c-1f4e-4eb8-ba9f-e13c1c5d4101","BiomedicalConceptProperty"
"VSLOC","BiomedicalConceptProperty_84","VSLOC","","True","True","b2957a48-6278-49f2-ab2a-9b899c9d1743","BiomedicalConceptProperty"
"VSLAT","BiomedicalConceptProperty_85","VSLAT","","True","True","3ffeecf7-412a-4f00-b003-46afe1c48237","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_86","VSTESTCD","","True","True","fc933f11-01cf-42b8-839f-71082b0aca04","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_87","VSORRES","integer","True","True","89b3a14e-ebf7-4f7c-b50c-5ff51f4d4c8b","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_88","VSORRESU","","True","True","c5c09291-6cfc-4321-b208-8b0b05306bd2","BiomedicalConceptProperty"
"VSPOS","BiomedicalConceptProperty_89","VSPOS","","True","True","f0657702-1b3b-466b-b4a2-1e0d0cf7d8e0","BiomedicalConceptProperty"
"VSLOC","BiomedicalConceptProperty_90","VSLOC","","True","True","b399b135-dc33-4ae1-9f57-e1d20652d178","BiomedicalConceptProperty"
"VSLAT","BiomedicalConceptProperty_91","VSLAT","","True","True","0038620a-1a83-4a4a-8bb1-f26544318cd9","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_92","VSTESTCD","","True","True","e431ead0-8762-4dad-a44d-3cc5645883ef","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_93","VSORRES","integer","True","True","0dcc8758-408b-4c51-8417-fad785d9f1a3","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_94","VSORRESU","","True","True","1401678f-4d5b-46e0-8e81-39548e4b2125","BiomedicalConceptProperty"
"VSPOS","BiomedicalConceptProperty_95","VSPOS","","True","True","ff2c3fbe-fd11-41aa-a56e-f091a469aa70","BiomedicalConceptProperty"
"VSLOC","BiomedicalConceptProperty_96","VSLOC","","True","True","5ebb4bc1-de02-405c-80fe-3ededbc03f53","BiomedicalConceptProperty"
"VSLAT","BiomedicalConceptProperty_97","VSLAT","","True","True","a05304b7-989d-432d-a6a4-ddf0587c4696","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_98","VSTESTCD","","True","True","c5e0cb4b-7495-4adf-95be-576201d211c6","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_99","VSORRES","integer","True","True","30c24137-2172-4114-b20e-527481076f58","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_100","VSORRESU","","True","True","64112bd2-0b38-4ebd-bbbc-f32ee37d541f","BiomedicalConceptProperty"
"VSPOS","BiomedicalConceptProperty_101","VSPOS","","True","True","3522463a-aa3e-44c8-966a-0853b839b148","BiomedicalConceptProperty"
"VSLOC","BiomedicalConceptProperty_102","VSLOC","","True","True","7c51b3ba-5f5f-47da-8efd-79533cf1762b","BiomedicalConceptProperty"
"VSLAT","BiomedicalConceptProperty_103","VSLAT","","True","True","4c2923eb-a04f-45a2-b182-b6b128ca4e49","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_104","VSTESTCD","","True","True","b3ac98d6-b3a8-44cf-b4af-15ac62743eeb","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_105","VSORRES","integer","True","True","1710ca4e-6407-49ec-ad90-6fdef5623c66","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_106","VSORRESU","","True","True","977f947a-182f-41e0-b7b7-288167efe011","BiomedicalConceptProperty"
"VSPOS","BiomedicalConceptProperty_107","VSPOS","","True","True","219329ca-b5c3-4751-8c56-da875a16295f","BiomedicalConceptProperty"
"VSLOC","BiomedicalConceptProperty_108","VSLOC","","True","True","874d27b7-9b62-46c5-9e26-177c1029d891","BiomedicalConceptProperty"
"VSLAT","BiomedicalConceptProperty_109","VSLAT","","True","True","50bb58e1-81fa-4d1d-aa5f-eb9f01816047","BiomedicalConceptProperty"
"VSTESTCD","BiomedicalConceptProperty_110","VSTESTCD","","True","True","b223f2a8-f14d-4a15-9f4f-0afbb8cdb2f4","BiomedicalConceptProperty"
"VSORRES","BiomedicalConceptProperty_111","VSORRES","integer","True","True","8abeacf7-62fb-4c69-a254-4ad406d5c8fc","BiomedicalConceptProperty"
"VSORRESU","BiomedicalConceptProperty_112","VSORRESU","","True","True","7a9df8c6-fce9-4c32-9b53-c332d8c206df","BiomedicalConceptProperty"
"VSPOS","BiomedicalConceptProperty_113","VSPOS","","True","True","d9106192-3039-40ed-91bb-66a60280940f","BiomedicalConceptProperty"
"VSLOC","BiomedicalConceptProperty_114","VSLOC","","True","True","c24260c6-305e-4d52-bb23-cd5f6b9ed681","BiomedicalConceptProperty"
"VSLAT","BiomedicalConceptProperty_115","VSLAT","","True","True","804bbc1a-edcc-4f6b-950d-5906906feb8c","BiomedicalConceptProperty"
