"datatype","instanceType","name","isEnabled","id","label","isRequired","uuid:ID"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_139","LBFAST","True","8cc359d5-4e29-4d7f-9db3-f8c2611d38c9"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_140","LBTESTCD","True","ed9c5761-252d-4653-891c-2c47831daa08"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_141","LBORRES","True","965e3c17-6159-459d-b79a-9a17999a2b01"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_142","LBORRESU","True","af583865-b98c-4b16-8b4f-7e34ab6f3481"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_143","LBSPEC","True","cc406993-8b85-4264-951f-fb24c6c6c9ae"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_144","LBFAST","True","fe3ba677-9000-4106-a7da-e51b74f74ec3"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_145","LBTESTCD","True","e57c1edf-afef-48d4-874e-a8fd42a91c03"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_146","LBORRES","True","1a19b661-85e4-4af5-8448-16fa725600fa"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_147","LBORRESU","True","71cdce3b-490d-4107-aec4-2c6eaaab8a2a"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_148","LBSPEC","True","dafcf878-109b-4750-a19d-23fb4e3d5b87"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_149","LBFAST","True","ac451606-1798-4eb6-8e7d-914a8fcae49e"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_150","LBTESTCD","True","bbb5c5cc-c04b-46de-98b6-72a53e4ae787"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_151","LBORRES","True","d79889f5-f5c4-448d-bcbe-f041e21863f2"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_152","LBORRESU","True","3d20b47e-ee81-48dc-8e51-fa1950dbd565"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_153","LBSPEC","True","93590568-299f-4185-b38a-695e194f4e8d"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_154","LBFAST","True","0edf3533-633f-4014-b97e-5c4b68a42d55"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_155","LBTESTCD","True","44dad33a-f256-4f14-a598-8c5ac41c0b64"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_156","LBORRES","True","47746e16-60f0-4bef-a53b-28a91015439d"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_157","LBORRESU","True","21ecb519-ada2-46bf-8b7e-5c67c9c23556"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_158","LBSPEC","True","8919e599-79f5-490a-9704-618b7fa31433"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_159","LBFAST","True","a4c5c59d-d9ff-417f-bb71-33eb6e9b6068"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_160","LBTESTCD","True","d4112c51-d953-48c0-9760-498a5e57eb9d"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_161","LBORRES","True","3aebbf65-6eaf-440a-825e-a2ce3b5ad17e"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_162","LBORRESU","True","b0734c62-efdd-4b54-91d8-e01c70b58b84"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_163","LBSPEC","True","3f7d8df0-3d62-4550-bc56-e293c5b289d6"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_164","LBFAST","True","ab01427f-b475-45de-9e8f-fd6bc1e64567"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_165","LBTESTCD","True","75b9b5b1-3e3a-4ed9-99fd-666347ad59e4"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_166","LBORRES","True","9ab11289-b43c-4859-b829-b43ae28d3194"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_167","LBORRESU","True","8e3cd618-2b90-4441-918b-5c48230f46b1"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_168","LBSPEC","True","016ec671-29f6-49c0-8366-2b4c5e8fc551"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_169","LBFAST","True","b8c9b3d8-2cfc-4ba8-8310-0f4957c66809"
"text","BiomedicalConceptProperty","AETERM","True","BiomedicalConceptProperty_1","AETERM","True","8aa182e6-8ef8-4fe9-bd3c-7f01a39d06eb"
"text","BiomedicalConceptProperty","AEDECOD","True","BiomedicalConceptProperty_2","AEDECOD","True","67a14f69-18df-4cd5-ab1f-bf6eca2f358c"
"text","BiomedicalConceptProperty","AEPRESP","True","BiomedicalConceptProperty_3","AEPRESP","True","d2d2d1fd-39da-45a3-96ea-7b7f4d9b721c"
"text","BiomedicalConceptProperty","AELOC","True","BiomedicalConceptProperty_4","AELOC","True","0c3766e0-7f4c-4c19-afae-41a30b729499"
"text","BiomedicalConceptProperty","AESEV","True","BiomedicalConceptProperty_5","AESEV","True","4de3da06-2d4c-4062-a353-2848103e46db"
"text","BiomedicalConceptProperty","AESER","True","BiomedicalConceptProperty_6","AESER","True","f3b5fdfc-a1e8-4256-8f77-3c671ad86d50"
"text","BiomedicalConceptProperty","AEACN","True","BiomedicalConceptProperty_7","AEACN","True","e3419fbc-2bff-49d1-91d1-2c297aadb35f"
"text","BiomedicalConceptProperty","AEACNOTH","True","BiomedicalConceptProperty_8","AEACNOTH","True","e18d432c-1187-4a61-b42d-bf1cb53800dc"
"text","BiomedicalConceptProperty","AEREL","True","BiomedicalConceptProperty_9","AEREL","True","0cdfb550-08f8-412b-b0b8-9891a4a80620"
"text","BiomedicalConceptProperty","AERELNST","True","BiomedicalConceptProperty_10","AERELNST","True","28f959e7-5a34-4138-9255-4720af632625"
"text","BiomedicalConceptProperty","AEPATT","True","BiomedicalConceptProperty_11","AEPATT","True","5e2acb72-3d84-431d-a052-55364ff9f31a"
"text","BiomedicalConceptProperty","AEOUT","True","BiomedicalConceptProperty_12","AEOUT","True","35511187-9d12-45b7-b211-3c134c9b697a"
"text","BiomedicalConceptProperty","AESCAN","True","BiomedicalConceptProperty_13","AESCAN","True","ae5b2e53-7791-42b0-a55d-ea1a1d0a2d80"
"text","BiomedicalConceptProperty","AESCONG","True","BiomedicalConceptProperty_14","AESCONG","True","44879117-447d-4d79-bfcd-a99c448deefe"
"text","BiomedicalConceptProperty","AESDISAB","True","BiomedicalConceptProperty_15","AESDISAB","True","b0ef0166-cf5c-427b-aa9f-f2d06b676553"
"text","BiomedicalConceptProperty","AESDTH","True","BiomedicalConceptProperty_16","AESDTH","True","02720094-f028-4375-80dc-60ee8a6b4ee2"
"text","BiomedicalConceptProperty","AESHOSP","True","BiomedicalConceptProperty_17","AESHOSP","True","73e61cdb-59c4-4dd2-a099-951876c57eca"
"text","BiomedicalConceptProperty","AESLIFE","True","BiomedicalConceptProperty_18","AESLIFE","True","9d1dbb5d-bb09-4f4e-a0c3-f1aa62851aab"
"text","BiomedicalConceptProperty","AESOD","True","BiomedicalConceptProperty_19","AESOD","True","4a26b1d6-9538-4601-9c49-95917b655e20"
"text","BiomedicalConceptProperty","AESMIE","True","BiomedicalConceptProperty_20","AESMIE","True","e66e6fef-c16b-4f87-ba9b-eb36d744ccf3"
"text","BiomedicalConceptProperty","AECONTRT","True","BiomedicalConceptProperty_21","AECONTRT","True","3f2d4d87-2a7e-459e-9a5d-234ae3c9b745"
"datetime","BiomedicalConceptProperty","AESTDTC","True","BiomedicalConceptProperty_22","AESTDTC","True","19d54e6b-38da-4ca1-b551-64427b583caf"
"datetime","BiomedicalConceptProperty","AEENDTC","True","BiomedicalConceptProperty_23","AEENDTC","True","e5da5c36-095d-4de8-ae50-a0205331844c"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_24","VSTESTCD","True","8d8a46cf-db46-4cf7-a226-54a2bb146b9c"
"integer","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_25","VSORRES","True","8694c7bb-55d1-4a1a-9cd6-c33f7df72808"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_26","VSORRESU","True","314adee9-8e94-4bac-ac1a-375ce667fc51"
"","BiomedicalConceptProperty","VSPOS","True","BiomedicalConceptProperty_27","VSPOS","True","7ed52501-3761-496c-a701-dcc290194a31"
"","BiomedicalConceptProperty","VSLOC","True","BiomedicalConceptProperty_28","VSLOC","True","ec9ee49e-4020-48d2-a5f9-f50c3df1dbc6"
"","BiomedicalConceptProperty","VSLAT","True","BiomedicalConceptProperty_29","VSLAT","True","bc5a53ac-e44f-4bb8-b2d5-f42b238f17c9"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_30","VSTESTCD","True","03792bba-d185-4750-a92b-a187b937c56c"
"integer","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_31","VSORRES","True","dce8e02b-af71-4a71-a678-9920b2466f37"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_32","VSORRESU","True","6336f733-8ab7-42fa-be00-c625c23032fa"
"","BiomedicalConceptProperty","VSPOS","True","BiomedicalConceptProperty_33","VSPOS","True","047402a6-6dc6-481f-a54b-3d32b7af1ddb"
"","BiomedicalConceptProperty","VSLOC","True","BiomedicalConceptProperty_34","VSLOC","True","3a797e52-3667-450f-b01b-5d9092f3986d"
"","BiomedicalConceptProperty","VSLAT","True","BiomedicalConceptProperty_35","VSLAT","True","1c4e5653-706f-46d1-9ebc-1a3787829a3e"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_36","VSTESTCD","True","8ddc75ac-a63d-4116-a36c-06ac646b1578"
"float","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_37","VSORRES","True","479f203f-fab9-4929-86d0-a37422804de9"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_38","VSORRESU","True","97489efd-d149-4a32-99b7-98d743cd29ed"
"","BiomedicalConceptProperty","VSLOC","True","BiomedicalConceptProperty_39","VSLOC","True","36d9655a-c5ae-4e2e-bc97-ce5fafe78f8b"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_40","VSTESTCD","True","1a784e8d-68a8-4335-83f4-899654391c95"
"float","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_41","VSORRES","True","8a4d19fa-9956-44ea-890c-a4671e5503df"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_42","VSORRESU","True","fa6970b8-edc3-4b53-b7fc-84bbdc91fcfe"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_43","VSTESTCD","True","1fbffe8c-24e3-4255-a59f-0ed43b803c97"
"float","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_44","VSORRES","True","1c0f3d66-5a6e-41ae-8a2a-c12adc590a09"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_45","VSORRESU","True","4833acf6-37e4-40da-b311-a13bc56fcf7d"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_46","LBTESTCD","True","687f9770-c533-4ca4-b7d8-081fa0183c17"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_47","LBORRES","True","0002f372-3042-4f32-bfc0-79917fcd0cef"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_48","LBORRESU","True","9161bb7d-d331-4890-b8c8-64541caae350"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_49","LBSPEC","True","56235548-a064-4ee2-ae03-32546c17833a"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_50","LBFAST","True","f9e7afc2-9fd9-43c2-a351-2d3d44f050c5"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_51","LBTESTCD","True","638552be-e2ee-447e-a227-89708c620786"
"text","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_52","LBORRES","True","11591488-895d-4a4c-af43-a7727152a6f4"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_53","LBSPEC","True","4705c36a-a156-401b-8e7e-c0119e5e0ed0"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_54","LBFAST","True","0171a922-7c09-4ff0-b418-c35a3700738f"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_55","LBTESTCD","True","aad6891e-1ac4-45f9-8c15-43bdf1f167b4"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_56","LBORRES","True","a22dcf1e-3519-40ad-81d1-18b8ddcd0014"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_57","LBORRESU","True","c94cae05-a3d3-4e8d-a203-1a6e4e7d0680"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_58","LBSPEC","True","3621be47-4e63-4dbc-a37e-07146b434190"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_59","LBFAST","True","93fc98a8-cf18-4a69-bbd2-c3d288b138d1"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_60","LBTESTCD","True","9b2d0b2b-fca6-45fa-9fa6-f85e61f6d4d1"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_61","LBORRES","True","3a9f07c2-feac-44dc-b021-6ba74897e996"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_62","LBORRESU","True","bcb4b2ef-aac4-4a4e-aa42-17c3543459dd"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_63","LBSPEC","True","4620591e-409d-4e3a-94bc-0b59a77d4e8b"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_64","LBFAST","True","8b83f8c7-3b47-4364-b7c2-4f89ca7b902e"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_65","LBTESTCD","True","9f87a354-c30e-4ce3-8c6e-043b5b4d0a64"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_66","LBORRES","True","1775409a-fe97-49e7-9a34-4e85e19ba0e6"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_67","LBORRESU","True","ae0e27cf-f443-43fd-9493-7b244ae092bf"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_68","LBSPEC","True","0a193206-7b77-4615-b15e-dca358d01147"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_69","LBFAST","True","57babe2c-9894-4d88-9e9f-a833963858e1"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_70","LBTESTCD","True","f0b72370-7b16-4d9c-b405-dcbc000be809"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_71","LBORRES","True","0e91de90-83fe-47d6-823f-cbe4834b1b61"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_72","LBORRESU","True","f62804be-2904-4903-b8eb-9d90f881c19f"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_73","LBSPEC","True","381b4e4b-406a-4004-ad95-2d72c06e1940"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_74","LBFAST","True","9518ae34-7311-4e36-bc26-f77d6a2d28fb"
"","BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_75","LBTESTCD","True","53954633-d783-4cde-8c72-8f7dadb7dbed"
"float","BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_76","LBORRES","True","6fe63e9c-bc33-45c7-b52e-6b23e9e7af2b"
"","BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_77","LBORRESU","True","6df730f8-d2c3-4eba-b0ec-2d385074ae82"
"","BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_78","LBSPEC","True","289e04be-ba62-40d7-bcdd-579107d753aa"
"","BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_79","LBFAST","True","67e877fc-8700-4492-8707-ff6516b31f4a"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_80","VSTESTCD","True","93561ead-2f9e-4961-bd12-bb94e70bcfa1"
"integer","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_81","VSORRES","True","d910feb6-4cb4-497f-bbb3-2ae2defaf3bc"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_82","VSORRESU","True","d3271fc1-4fb9-441a-9fbe-2ab0ca0cc0de"
"","BiomedicalConceptProperty","VSPOS","True","BiomedicalConceptProperty_83","VSPOS","True","001d41df-9ed1-4c77-a62d-3d233d8276c7"
"","BiomedicalConceptProperty","VSLOC","True","BiomedicalConceptProperty_84","VSLOC","True","a73882c1-6bc2-4a34-8168-f753a9f61ca7"
"","BiomedicalConceptProperty","VSLAT","True","BiomedicalConceptProperty_85","VSLAT","True","fa912875-7a1b-476a-b3c4-2eebc92f1dd2"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_86","VSTESTCD","True","586b29c5-773a-40ba-b560-f397b66bb431"
"integer","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_87","VSORRES","True","9d5a9274-8973-4b7f-a8b3-22c74a165d10"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_88","VSORRESU","True","c2afe777-6806-433d-8afc-4cfd214abc73"
"","BiomedicalConceptProperty","VSPOS","True","BiomedicalConceptProperty_89","VSPOS","True","2f0e93e2-1e9a-44df-a6b4-c03e2929465a"
"","BiomedicalConceptProperty","VSLOC","True","BiomedicalConceptProperty_90","VSLOC","True","d118984d-50ff-44c0-bedd-43248c995a72"
"","BiomedicalConceptProperty","VSLAT","True","BiomedicalConceptProperty_91","VSLAT","True","6652d621-7efb-4a83-8d56-79311621b589"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_92","VSTESTCD","True","fbc40757-fa92-4bed-8468-6825650b1213"
"integer","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_93","VSORRES","True","7abc5d1d-05c9-454b-b1ef-0f760ae2076f"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_94","VSORRESU","True","e6dde6d2-7cde-419b-ad8a-211ddc700de2"
"","BiomedicalConceptProperty","VSPOS","True","BiomedicalConceptProperty_95","VSPOS","True","6a4bdb40-8960-482c-bd8d-b07f1556111a"
"","BiomedicalConceptProperty","VSLOC","True","BiomedicalConceptProperty_96","VSLOC","True","e3de4f1d-ecb6-4221-b34b-a2ff00fb2a96"
"","BiomedicalConceptProperty","VSLAT","True","BiomedicalConceptProperty_97","VSLAT","True","7fa57c1f-2583-4812-b360-30b094ec035f"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_98","VSTESTCD","True","512901ab-e427-4fab-929e-5244cf3b22e6"
"integer","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_99","VSORRES","True","c912aa50-1543-48d8-b336-d69ad0d0bcc9"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_100","VSORRESU","True","dfe58395-7fa1-46d3-b68a-60eab9831ae4"
"","BiomedicalConceptProperty","VSPOS","True","BiomedicalConceptProperty_101","VSPOS","True","db37f2c4-dedf-491a-b11b-db055eb2d47e"
"","BiomedicalConceptProperty","VSLOC","True","BiomedicalConceptProperty_102","VSLOC","True","ec56b781-ace2-4975-ad4f-4a8e3d972aba"
"","BiomedicalConceptProperty","VSLAT","True","BiomedicalConceptProperty_103","VSLAT","True","e9778de1-5d6d-44af-9712-6a6f07d3c4c2"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_104","VSTESTCD","True","bf4cae42-16af-4f9c-94b7-1d60b53f8a09"
"integer","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_105","VSORRES","True","63aef0a6-2775-444b-858f-ac71172c961e"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_106","VSORRESU","True","a827b265-0773-4e6f-a8f6-1b933e5f1291"
"","BiomedicalConceptProperty","VSPOS","True","BiomedicalConceptProperty_107","VSPOS","True","a1360f14-1dd2-4d4b-93f5-ec1c9bb51ff6"
"","BiomedicalConceptProperty","VSLOC","True","BiomedicalConceptProperty_108","VSLOC","True","fcdd7937-cd04-451d-85ec-5a349707bfa6"
"","BiomedicalConceptProperty","VSLAT","True","BiomedicalConceptProperty_109","VSLAT","True","24c9d7f5-46ca-4a9c-a6fb-8bd5c3a757d0"
"","BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_110","VSTESTCD","True","466c6afe-e067-4d7c-bacf-1b69ac1ae5ce"
"integer","BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_111","VSORRES","True","d4a2e6db-d9ca-4717-81c0-249b33b30175"
"","BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_112","VSORRESU","True","2fcd6129-af85-4fe8-80c0-7c1f8fa2b6e5"
"","BiomedicalConceptProperty","VSPOS","True","BiomedicalConceptProperty_113","VSPOS","True","26e98889-42d6-48d5-bb32-c488e2ba035a"
"","BiomedicalConceptProperty","VSLOC","True","BiomedicalConceptProperty_114","VSLOC","True","8dcdc420-17d1-4a47-8cef-e825b60353be"
"","BiomedicalConceptProperty","VSLAT","True","BiomedicalConceptProperty_115","VSLAT","True","dd38219d-0317-4381-98d5-76a7b2c7fc40"
