"label","uuid:ID","datatype","instanceType","isRequired","isEnabled","id","name"
"LBSPEC","ece1ca04-9952-4ff8-95d6-819e8e5085fe","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_135","LBSPEC"
"LBFAST","c2910124-71c8-4dee-b285-12a6af4452f8","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_136","LBFAST"
"LBTESTCD","5c73b0e8-41d4-41c9-bbb8-d0b54ef0efd3","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_137","LBTESTCD"
"LBORRES","669ea568-2753-4d8d-ad6d-eb28d35fc77b","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_138","LBORRES"
"LBORRESU","a02331a8-4dcd-42e7-940f-c32f9bef7b71","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_139","LBORRESU"
"LBSPEC","40bdaecf-d8e1-4aa2-be3a-61d19b92fe06","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_140","LBSPEC"
"LBFAST","ef1a4edd-9936-459a-80a7-74e7e8fc7eff","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_141","LBFAST"
"LBTESTCD","e9d0e97b-b45b-42c4-a70f-88343de409aa","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_142","LBTESTCD"
"LBORRES","dc665be6-a922-4fde-b484-10849e76ad42","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_143","LBORRES"
"LBORRESU","b302b4f4-202d-4a3e-89b9-76cc4a6ea4cd","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_144","LBORRESU"
"LBSPEC","957c6654-5096-46d1-8d26-5ec2edc3d701","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_145","LBSPEC"
"LBFAST","7d20e042-98a4-49da-b170-2e376afe1621","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_146","LBFAST"
"LBTESTCD","c0c18c15-4d6a-4cf0-acb4-f5a1c24ef769","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_147","LBTESTCD"
"LBORRES","839141f5-d311-4fab-97a4-32863412c842","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_148","LBORRES"
"LBORRESU","06e96c24-f479-40d8-91c1-00e236b440d9","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_149","LBORRESU"
"LBSPEC","38aab5ed-e29c-4540-95ef-f9494844cba0","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_150","LBSPEC"
"LBFAST","15a50637-a517-4822-839b-45f5857bbc96","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_151","LBFAST"
"LBTESTCD","02572f54-e800-4ded-b1db-5ce8de7fd98a","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_152","LBTESTCD"
"LBORRES","0f7eb136-0c1e-415f-9e10-2cef4591bea7","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_153","LBORRES"
"LBORRESU","e4199b2d-6806-4e03-a883-5fef8efc43d5","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_154","LBORRESU"
"LBSPEC","8d38095f-dcdb-4a91-8855-15716fd51939","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_155","LBSPEC"
"LBFAST","b27d57dd-2153-4af5-a6a2-bc8f611bfb3d","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_156","LBFAST"
"LBTESTCD","30dd5889-9cb2-4a58-a91c-a3cc40e294c1","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_157","LBTESTCD"
"LBORRES","f57d2c29-343d-4d20-95c3-b1b980b86d15","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_158","LBORRES"
"LBORRESU","9c61538b-551c-4eb4-942d-5f0f38ad6950","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_159","LBORRESU"
"LBSPEC","9d8b2ab7-ffca-4644-9ee9-3eda9a9780b0","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_160","LBSPEC"
"LBFAST","9a2e337a-b0a4-4c63-aed3-7f46c058dff6","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_161","LBFAST"
"LBTESTCD","a750bdf2-0636-459a-b2c3-8d8afaff8701","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_162","LBTESTCD"
"LBORRES","c55a8e94-4628-48d4-851a-d32c49ab70f2","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_163","LBORRES"
"LBORRESU","2c88f2ca-4013-4871-89b2-d87c1f712115","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_164","LBORRESU"
"LBSPEC","31da9998-939c-4567-a2f0-e3425e5f4cb1","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_165","LBSPEC"
"LBFAST","5a66af93-0369-44dc-b1ed-bac3611271bc","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_166","LBFAST"
"AETERM","49772b01-ed10-4496-a6a6-e5acd8cd50d5","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_1","AETERM"
"AEDECOD","694df1ef-9799-4f6d-aa0a-025485039263","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_2","AEDECOD"
"AEPRESP","0b8207d7-20d1-4973-aaf4-2e2c0197fd5e","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_3","AEPRESP"
"AELOC","ce0cfa83-105e-42e1-9735-883b6d8af7a6","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_4","AELOC"
"AESEV","9c7b881e-c743-42b5-ae3e-7e7ca1aa8fdf","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_5","AESEV"
"AESER","fda37b96-53b7-4b26-9c18-bc016b798945","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_6","AESER"
"AEACN","6f22fa7a-58a7-4d97-a02a-f55b0b321593","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_7","AEACN"
"AEACNOTH","41c2fd38-db96-4314-838c-a35f886b3a0c","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_8","AEACNOTH"
"AEREL","f55e19b8-e465-4737-8243-2deb76f003f7","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_9","AEREL"
"AERELNST","74167606-3262-4be2-92a1-32999154882e","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_10","AERELNST"
"AEPATT","8857bb99-ca2f-4c61-8155-dad4c247fc0e","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_11","AEPATT"
"AEOUT","e65fa3f7-8d48-4546-affc-abf27a0f9297","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_12","AEOUT"
"AESCAN","b543a45b-50a5-468c-88f0-b15ca0f0b4a4","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_13","AESCAN"
"AESCONG","8bdeae46-f0f9-4c76-965a-fd0493c44648","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_14","AESCONG"
"AESDISAB","9d2d8d42-c8fd-44a8-a5c3-087110e13c80","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_15","AESDISAB"
"AESDTH","4bb46df1-4b9c-47f6-af2b-c2747dca129b","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_16","AESDTH"
"AESHOSP","1d8b7494-fa68-47ba-a261-8da9a4d95543","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_17","AESHOSP"
"AESLIFE","6f599327-94cf-4bed-9628-5846a6a5c2b9","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_18","AESLIFE"
"AESOD","a81ced2d-750f-4a3d-af06-ff8d99411cba","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_19","AESOD"
"AESMIE","65ed37cd-6636-41e1-aee1-b4b313c80437","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_20","AESMIE"
"AECONTRT","1b46600a-155a-485d-8660-f65e74df98d1","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_21","AECONTRT"
"AESTDTC","78f9e2e7-7b61-45e2-a83b-a1638db09767","datetime","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_22","AESTDTC"
"AEENDTC","a6ee1ad9-fda9-43a5-9681-d9df7870a95f","datetime","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_23","AEENDTC"
"VSTESTCD","21699442-f7e5-4ee0-b6f1-a26e49f341be","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_24","VSTESTCD"
"VSORRES","2cc25319-ae9b-4b92-88f6-16c23260e981","integer","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_25","VSORRES"
"VSORRESU","df1fd99b-c625-4a0b-bbb2-29efa79aa869","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_26","VSORRESU"
"VSPOS","5f521266-3273-49cd-96ee-7f5d900f7d5e","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_27","VSPOS"
"VSLOC","13161981-6c79-46a7-ac22-a3fcbc961430","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_28","VSLOC"
"VSLAT","002b9b75-b1d2-44ab-834b-00a29612f4db","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_29","VSLAT"
"VSTESTCD","925434ec-ed6f-4189-8894-c8239bb2a6dd","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_30","VSTESTCD"
"VSORRES","46b2cf21-34d5-4ecb-9f59-29e074c0ad2d","integer","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_31","VSORRES"
"VSORRESU","177746b0-bcf5-4e86-b89b-fd82ab018621","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_32","VSORRESU"
"VSPOS","febf2b26-13e7-49c0-9c25-3fcc7c80dfa5","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_33","VSPOS"
"VSLOC","aa9dec6b-88f1-4db2-9fbf-05630172f6c8","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_34","VSLOC"
"VSLAT","ae6cc50d-b626-481e-b02b-5fbce122ebcb","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_35","VSLAT"
"VSTESTCD","104dcd1b-7cec-4aa5-a13f-fa74587e62dc","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_36","VSTESTCD"
"VSORRES","40375a25-b2f5-46f7-97a5-91553296db5b","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_37","VSORRES"
"VSORRESU","8ab047ed-937e-48ec-913c-6507e2782557","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_38","VSORRESU"
"VSLOC","9754f9a6-5446-444e-ad8a-4991baf55fe3","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_39","VSLOC"
"VSTESTCD","7327f544-cddc-4055-94fb-dbe29324498d","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_40","VSTESTCD"
"VSORRES","65ea9183-d8c4-418d-9cfb-8eec558d5805","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_41","VSORRES"
"VSORRESU","70a9b4e3-4f42-4ac7-a2c1-ab335ef46242","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_42","VSORRESU"
"VSTESTCD","00460237-ceef-4a45-8de2-892ae9176151","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_43","VSTESTCD"
"VSORRES","44bf5e58-0525-4c8e-ab03-b8f56646518c","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_44","VSORRES"
"VSORRESU","67c390ca-5a07-4ee7-9af2-2d7cf78e3390","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_45","VSORRESU"
"LBTESTCD","467d8aa6-24b9-456e-9280-062b3a285d49","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_46","LBTESTCD"
"LBORRES","065ca767-bfd2-40cb-8b3b-804a4d5046e0","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_47","LBORRES"
"LBORRESU","f3d29cfd-def8-4953-909c-a2382d7fb67f","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_48","LBORRESU"
"LBSPEC","9ac717e8-ee7e-4c59-8916-43a0a63ef889","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_49","LBSPEC"
"LBFAST","1d96461b-1db6-4db5-8b51-d29e0c9e83fd","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_50","LBFAST"
"LBTESTCD","c19a1a2b-9b8a-483b-9516-04ecdd0da753","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_51","LBTESTCD"
"LBORRES","2840c5dc-f652-4a5b-bf7e-e9ec31c7028f","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_52","LBORRES"
"LBSPEC","97603d40-d6bb-436e-804c-b9f672f431fe","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_53","LBSPEC"
"LBFAST","d31e5692-2fbb-4b37-b4a6-87de85008fc0","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_54","LBFAST"
"LBTESTCD","3a6056f2-af8b-4cc9-b1bc-6da902918b52","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_55","LBTESTCD"
"LBORRES","92a1ac6a-eadb-44ed-8a5c-ea71333f85d9","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_56","LBORRES"
"LBORRESU","563f1702-3fb5-4cd1-9197-56f1f7dac551","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_57","LBORRESU"
"LBSPEC","2667dba9-cd83-4190-8da8-31d87e6002ce","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_58","LBSPEC"
"LBFAST","4b5faf1f-a9cf-4df7-a177-511f02ad31a4","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_59","LBFAST"
"LBTESTCD","0c13a096-da4a-40e4-984a-b8bb74ef494c","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_60","LBTESTCD"
"LBORRES","2fb5dda5-5017-4606-b546-27a6f973f5d1","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_61","LBORRES"
"LBORRESU","68ada35a-3ef6-4158-b156-b617a836251e","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_62","LBORRESU"
"LBSPEC","da3c84cf-2fe3-427c-a8fd-5912f16a308d","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_63","LBSPEC"
"LBFAST","ffa0ba64-9389-4598-aa2f-cb90d35574eb","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_64","LBFAST"
"LBTESTCD","fe1e76eb-9ff4-4c2c-89aa-c42b2334eb9a","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_65","LBTESTCD"
"LBORRES","e39591a9-b536-4129-8bfb-65b30c42525c","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_66","LBORRES"
"LBORRESU","cc4f7aef-e160-46c8-b5c0-981e1e02ed31","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_67","LBORRESU"
"LBSPEC","70cb93aa-296d-452f-84fc-82a579d3ad70","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_68","LBSPEC"
"LBFAST","09abbe5d-a247-47cf-ab89-6bf493ff43f9","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_69","LBFAST"
"LBTESTCD","faa04c5d-2605-40a2-b5d0-6a6648f57538","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_70","LBTESTCD"
"LBORRES","9e7206af-2ca5-4858-ab34-47461f404dac","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_71","LBORRES"
"LBORRESU","93f06c7b-f03e-4b74-a784-de4547491066","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_72","LBORRESU"
"LBSPEC","c4aad4d0-f38b-4130-a13c-4d189d8c4cf8","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_73","LBSPEC"
"LBFAST","78c2d15a-f969-48df-b82d-9ec28992b2ee","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_74","LBFAST"
"LBTESTCD","b8334304-4dfb-4486-9463-b3d4cb6cb067","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_75","LBTESTCD"
"LBORRES","398d1f8e-1d6e-499f-bb3b-c691ef27bdcd","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_76","LBORRES"
"LBORRESU","624cff31-35cd-49a6-b9b7-7e20cd5bf3c9","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_77","LBORRESU"
"LBSPEC","2442bdcf-f76f-4a08-b28b-e46b37f3fd0c","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_78","LBSPEC"
"LBFAST","dad82f27-1594-4a66-b061-9db9c7b6a812","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_79","LBFAST"
"VSTESTCD","d301474a-76fd-42e6-aab0-8bea82cbb6c4","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_80","VSTESTCD"
"VSORRES","65a25d04-fbb3-4216-85f7-cee2cc93b9f7","integer","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_81","VSORRES"
"VSORRESU","25a21798-0117-4737-bce7-f09837629a1d","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_82","VSORRESU"
"VSPOS","b18884b4-bbea-4e00-a072-7ec068d31360","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_83","VSPOS"
"VSLOC","ef8a62f6-eb4e-44a3-8ec6-f51339db7d40","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_84","VSLOC"
"VSLAT","c6f2045c-5830-4269-be7f-058164e73095","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_85","VSLAT"
"VSTESTCD","58fc2c5b-6d3a-4976-ae8c-8ab02cd2caf8","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_86","VSTESTCD"
"VSORRES","5b51ad99-c2c3-4e68-b2ea-2aa43d89b298","integer","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_87","VSORRES"
"VSORRESU","c8e0126b-d2f0-4700-ac8a-9eb38a282f6a","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_88","VSORRESU"
"VSPOS","bd67caee-36e5-43e4-b472-815ea1c455b9","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_89","VSPOS"
"VSLOC","c3c1f931-7e9c-4407-8dc1-d9978ff2270a","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_90","VSLOC"
"VSLAT","6d4f7042-85ac-4188-9d06-e52590d7da5f","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_91","VSLAT"
"VSTESTCD","6a540985-a4db-499b-a56c-dea3fb41136e","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_92","VSTESTCD"
"VSORRES","c84a85a4-e723-40b5-8435-39499ec23d89","integer","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_93","VSORRES"
"VSORRESU","c7a553e6-777b-458e-a82a-12fa87a846e8","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_94","VSORRESU"
"VSPOS","06514e36-c152-4899-929e-252748a8372e","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_95","VSPOS"
"VSLOC","446dfe23-c554-4c7f-82fa-2e8635708e36","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_96","VSLOC"
"VSLAT","3c0e1ca1-30ed-45e8-a686-fd2adbdf7bc3","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_97","VSLAT"
"VSTESTCD","bdc29386-df3c-4747-a402-2185e5bbe39a","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_98","VSTESTCD"
"VSORRES","89584d11-72ac-4b91-a6d6-6c8d13c8cfc3","integer","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_99","VSORRES"
"VSORRESU","5f6ad31a-9e0d-4f58-9d49-c795f496b9a3","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_100","VSORRESU"
"VSPOS","ab51ed95-0a2d-4132-b57f-ab8a6b26268d","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_101","VSPOS"
"VSLOC","79041562-0b3d-438d-a0f8-bc0f420f3f0d","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_102","VSLOC"
"VSLAT","791ccbed-073a-4eb7-9e01-b8feb2d653f0","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_103","VSLAT"
"VSTESTCD","d8b75e5e-bbc4-472b-b498-0c4773de59d8","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_104","VSTESTCD"
"VSORRES","41ccbba7-811e-44e3-b147-012649d439d5","integer","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_105","VSORRES"
"VSORRESU","a2acd667-17ea-4ecb-bead-5c61edb1fab4","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_106","VSORRESU"
"VSPOS","6ab53ab4-3721-4742-a37e-2b5066d76d9a","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_107","VSPOS"
"VSLOC","a2d2a913-6c90-47e6-9f8e-e7f1f2723d7b","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_108","VSLOC"
"VSLAT","5ae612ce-7604-4def-bfdd-e0dc4f7b69fa","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_109","VSLAT"
"VSTESTCD","9437afc4-8ae3-4c21-9bb8-423ef6f6585b","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_110","VSTESTCD"
"VSORRES","8f30e84c-4807-4697-b825-33b49d169990","integer","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_111","VSORRES"
"VSORRESU","6313dca3-3e84-4975-9691-6dd9db1935f1","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_112","VSORRESU"
"VSPOS","94222066-2cce-4a17-b440-3a0276cacf21","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_113","VSPOS"
"VSLOC","230074d7-0619-431f-84f2-65e8715315a1","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_114","VSLOC"
"VSLAT","c4b75368-5796-4a4d-a4ed-b5acf9fb2965","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_115","VSLAT"
