"datatype","label","instanceType","name","uuid:ID","id","isEnabled","isRequired"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","3e23b112-754c-4bf1-be07-4f06daa11489","BiomedicalConceptProperty_130","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","0996c5fa-ed02-4dc3-b2b8-1890c8ff951c","BiomedicalConceptProperty_131","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","97b23abb-0885-4d61-8ffa-b823ed0e2403","BiomedicalConceptProperty_132","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","db8084fa-8e0f-43d3-8cad-328d7dc368e6","BiomedicalConceptProperty_133","True","True"
"text","LBORRES","BiomedicalConceptProperty","LBORRES","acc88425-93a1-43a1-bcbb-ccaf95dfa8d6","BiomedicalConceptProperty_134","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","68830fa0-d452-4627-8a76-72a37b8326f9","BiomedicalConceptProperty_135","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","91150117-2eaa-4fd7-abaf-f72c28cddb21","BiomedicalConceptProperty_136","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","78c2e9a3-f0e0-41fe-9f6e-68a852542669","BiomedicalConceptProperty_137","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","2da55549-7320-4bbe-869b-3209464dbf4e","BiomedicalConceptProperty_138","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","023ae151-8cf6-4761-b5e3-1843579f97db","BiomedicalConceptProperty_139","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","aa0d88f8-fe39-454f-966a-419ce21d2b28","BiomedicalConceptProperty_140","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","dd3c6347-821f-4ffc-9aa1-9b3b9542743f","BiomedicalConceptProperty_141","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","4828d93d-1837-4fe1-a0f3-ecee5ac42339","BiomedicalConceptProperty_142","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","ffe96864-8563-4101-8a4a-783e1c2c2fa5","BiomedicalConceptProperty_143","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","9ed1e7df-d426-4057-a383-fda1a6aa6052","BiomedicalConceptProperty_144","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","1b989069-821e-4f1c-a582-ee4adf89d9e3","BiomedicalConceptProperty_145","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","ecae6fc5-c332-47af-b851-541dc53a1bcf","BiomedicalConceptProperty_146","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","8cada187-bd87-4a6e-9287-8fd69848e9c1","BiomedicalConceptProperty_147","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","f1beb1ca-546c-4408-acbd-b297350f831e","BiomedicalConceptProperty_148","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","5325b333-97be-4983-b73d-7242694c7e63","BiomedicalConceptProperty_149","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","271fd2e9-e21d-4ff9-a55b-0e1062bc7b26","BiomedicalConceptProperty_150","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","0e0186ec-cb7c-4edf-b2c6-4d8e7be7faa0","BiomedicalConceptProperty_151","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","61a681b0-6883-49a7-8595-aaaa97a85098","BiomedicalConceptProperty_152","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","b826bfbb-c263-4cf4-8c67-0aaa77d79a78","BiomedicalConceptProperty_153","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","0b10004c-eeda-4cd4-9c85-997c65db1959","BiomedicalConceptProperty_154","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","7001da4c-f85d-4ee5-934d-770b7baeeacc","BiomedicalConceptProperty_155","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","1b20493c-d6ce-4408-b4c6-1cff544fb61a","BiomedicalConceptProperty_156","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","d96301b2-904d-4b3a-a4bc-26e840f50a65","BiomedicalConceptProperty_157","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","fb13bd8f-0dcf-4a1b-a6ff-ace3c86636ab","BiomedicalConceptProperty_158","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","8fb664c5-f8ef-4a4c-983b-e5e09a9a1778","BiomedicalConceptProperty_159","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","2e9758f9-fce9-495e-9220-03af07a9adce","BiomedicalConceptProperty_160","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","e818e228-5b81-4598-a1cf-110654a8545f","BiomedicalConceptProperty_161","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","8b6219e5-c3c2-46a5-9462-851cf7094b26","BiomedicalConceptProperty_162","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","f8e389ad-3502-4f01-a8db-12a9043a17ba","BiomedicalConceptProperty_163","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","648582ee-0000-48c6-8280-ca07d5d1a624","BiomedicalConceptProperty_164","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","1aa125d6-5d59-4ac6-9e82-0edbbe6817e5","BiomedicalConceptProperty_165","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","590ffa62-8484-46a2-96f5-4611150e58da","BiomedicalConceptProperty_166","True","True"
"text","AETERM","BiomedicalConceptProperty","AETERM","8628c8c2-ebd1-45eb-bf43-d96af5725780","BiomedicalConceptProperty_1","True","True"
"text","AEDECOD","BiomedicalConceptProperty","AEDECOD","d4092eab-51ec-4fdf-9284-98c5a85ef86c","BiomedicalConceptProperty_2","True","True"
"text","AEPRESP","BiomedicalConceptProperty","AEPRESP","2da387f7-5c1e-4263-bdae-f8f86be63f9a","BiomedicalConceptProperty_3","True","True"
"text","AELOC","BiomedicalConceptProperty","AELOC","3617f697-5050-4586-aea9-9452db9f0b7f","BiomedicalConceptProperty_4","True","True"
"text","AESEV","BiomedicalConceptProperty","AESEV","0e20f655-f3ef-4111-8417-eb6e54de04b7","BiomedicalConceptProperty_5","True","True"
"text","AESER","BiomedicalConceptProperty","AESER","4d207969-f141-4b79-8812-ff7aadf3a1fd","BiomedicalConceptProperty_6","True","True"
"text","AEACN","BiomedicalConceptProperty","AEACN","cf8fe759-b1ef-4abf-a23b-c0f27b0c7339","BiomedicalConceptProperty_7","True","True"
"text","AEACNOTH","BiomedicalConceptProperty","AEACNOTH","3e60829a-e5f0-4e8b-9560-309a96ea98cc","BiomedicalConceptProperty_8","True","True"
"text","AEREL","BiomedicalConceptProperty","AEREL","79b76d58-c977-4656-94eb-6659b774fe9b","BiomedicalConceptProperty_9","True","True"
"text","AERELNST","BiomedicalConceptProperty","AERELNST","9e9cde60-c3a8-43fc-886f-bec0178e7dc8","BiomedicalConceptProperty_10","True","True"
"text","AEPATT","BiomedicalConceptProperty","AEPATT","1e032019-cf95-48b5-be33-9823550a27bf","BiomedicalConceptProperty_11","True","True"
"text","AEOUT","BiomedicalConceptProperty","AEOUT","8bc37225-b873-4489-b6c5-cb3a3a238889","BiomedicalConceptProperty_12","True","True"
"text","AESCAN","BiomedicalConceptProperty","AESCAN","4e5d8348-38a6-496f-b814-d11c35a6427f","BiomedicalConceptProperty_13","True","True"
"text","AESCONG","BiomedicalConceptProperty","AESCONG","5c872611-a1a6-474c-905f-1ab4775f7a45","BiomedicalConceptProperty_14","True","True"
"text","AESDISAB","BiomedicalConceptProperty","AESDISAB","ea8026ea-b3f9-4620-ba76-6095aacc18d6","BiomedicalConceptProperty_15","True","True"
"text","AESDTH","BiomedicalConceptProperty","AESDTH","2ee2a8b0-769f-49f4-bdd7-60f77c7f31ab","BiomedicalConceptProperty_16","True","True"
"text","AESHOSP","BiomedicalConceptProperty","AESHOSP","de25fe2f-74b2-4670-9cf5-e7da415f3978","BiomedicalConceptProperty_17","True","True"
"text","AESLIFE","BiomedicalConceptProperty","AESLIFE","7baf551c-b3db-4554-9e23-847d1fc97aeb","BiomedicalConceptProperty_18","True","True"
"text","AESOD","BiomedicalConceptProperty","AESOD","566f2918-3fbb-4e36-95f0-6ca4868c02ad","BiomedicalConceptProperty_19","True","True"
"text","AESMIE","BiomedicalConceptProperty","AESMIE","c3b7a8b5-4f74-458c-a121-694999e4bd11","BiomedicalConceptProperty_20","True","True"
"text","AECONTRT","BiomedicalConceptProperty","AECONTRT","94d79205-0507-4c98-aff5-feacbfe8d009","BiomedicalConceptProperty_21","True","True"
"datetime","AESTDTC","BiomedicalConceptProperty","AESTDTC","a9c3a9ab-4725-4b83-b986-e00c2b153548","BiomedicalConceptProperty_22","True","True"
"datetime","AEENDTC","BiomedicalConceptProperty","AEENDTC","9ea9db99-f2f0-4f73-8110-52b60a1dec57","BiomedicalConceptProperty_23","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","77fdff27-6add-49c1-a4c4-b210850d5c25","BiomedicalConceptProperty_24","True","True"
"integer","VSORRES","BiomedicalConceptProperty","VSORRES","b119b6e7-ba15-4290-be32-85e85bc7632d","BiomedicalConceptProperty_25","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","ad4f174d-8e79-4245-bec6-a81cf8fde29f","BiomedicalConceptProperty_26","True","True"
"","VSPOS","BiomedicalConceptProperty","VSPOS","e81f9cca-45fb-4c7b-a513-085bbec93957","BiomedicalConceptProperty_27","True","True"
"","VSLOC","BiomedicalConceptProperty","VSLOC","aa381eb7-d55e-4c2f-a22d-15eee1ac2bb1","BiomedicalConceptProperty_28","True","True"
"","VSLAT","BiomedicalConceptProperty","VSLAT","667190a5-49a2-4456-86e3-b0f1c667bb01","BiomedicalConceptProperty_29","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","7b2026ea-ef10-4fc8-8d72-6a64ca4ab9c0","BiomedicalConceptProperty_30","True","True"
"integer","VSORRES","BiomedicalConceptProperty","VSORRES","c5126d46-afea-4f62-93a1-339e1355f1e5","BiomedicalConceptProperty_31","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","66cab06c-696b-4d49-8dd7-f278db4fa29d","BiomedicalConceptProperty_32","True","True"
"","VSPOS","BiomedicalConceptProperty","VSPOS","f39b2053-d02c-4433-83de-12695a86dd4b","BiomedicalConceptProperty_33","True","True"
"","VSLOC","BiomedicalConceptProperty","VSLOC","cfb17aa4-c16a-4e8a-92d1-fbabbf49becf","BiomedicalConceptProperty_34","True","True"
"","VSLAT","BiomedicalConceptProperty","VSLAT","6bb4386d-29ec-4ac0-b383-1dbffacc4a74","BiomedicalConceptProperty_35","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","500050d9-7318-4a3c-b628-bedc241cda0c","BiomedicalConceptProperty_36","True","True"
"float","VSORRES","BiomedicalConceptProperty","VSORRES","a47e0979-d706-4ba5-9852-c011bb0ef5e1","BiomedicalConceptProperty_37","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","b2b68d05-77df-4b51-bbcb-7825cc116df7","BiomedicalConceptProperty_38","True","True"
"","VSLOC","BiomedicalConceptProperty","VSLOC","c9ab0fae-9f74-4ca9-be75-5aba10b52769","BiomedicalConceptProperty_39","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","fa15fcea-b2e0-4c3c-b421-523151d30259","BiomedicalConceptProperty_40","True","True"
"float","VSORRES","BiomedicalConceptProperty","VSORRES","bfd16113-5b68-4046-9ab0-1b121e35e5ce","BiomedicalConceptProperty_41","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","4dc7ddfd-b571-4ee0-a9e6-c31ecdc79db7","BiomedicalConceptProperty_42","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","2951253a-e767-45b2-8be5-561f04c1d41a","BiomedicalConceptProperty_43","True","True"
"float","VSORRES","BiomedicalConceptProperty","VSORRES","e38ce892-1691-4413-908b-31585e725b89","BiomedicalConceptProperty_44","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","0b42d957-f11e-4ba3-be28-b2ee3ed771e2","BiomedicalConceptProperty_45","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","37c4591a-0bc7-40e2-a845-59843263e984","BiomedicalConceptProperty_46","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","fb8a8e97-f0f3-4056-906c-577f3de03ec3","BiomedicalConceptProperty_47","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","19e9222d-8b92-4350-920c-5f8609ca137f","BiomedicalConceptProperty_48","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","077150d6-5bfe-4db6-b157-26f4a1fccb94","BiomedicalConceptProperty_49","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","bed0692b-6fd7-4e04-93a2-383006c584db","BiomedicalConceptProperty_50","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","ce7bcbd0-ca34-461c-bf80-f4dba77f1e27","BiomedicalConceptProperty_51","True","True"
"text","LBORRES","BiomedicalConceptProperty","LBORRES","c2a9fe98-2126-4f00-bf88-d1299401bbcc","BiomedicalConceptProperty_52","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","db600880-a880-4be1-82d4-71943ea343f2","BiomedicalConceptProperty_53","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","1bc71673-0fff-4431-8751-26b746908393","BiomedicalConceptProperty_54","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","8556f985-4b9a-46b1-a1ed-763e2bbd4117","BiomedicalConceptProperty_55","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","5795a77b-69b1-413d-b0f0-e865d6a0e4fb","BiomedicalConceptProperty_56","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","44418dc8-f525-42f4-b5dc-e68cbfbc3c18","BiomedicalConceptProperty_57","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","a138bec8-38f9-4c48-83c4-6404aee235bc","BiomedicalConceptProperty_58","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","b4981ad5-e1c2-44c6-9682-3355f012330d","BiomedicalConceptProperty_59","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","e27adaf7-cd45-4152-98cc-d1eb34d54654","BiomedicalConceptProperty_60","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","23a336ed-ceee-43e0-a01d-6a5329dcfaec","BiomedicalConceptProperty_61","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","1729c714-78f5-4784-ae2a-54dc20f2a907","BiomedicalConceptProperty_62","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","ca78d00e-42d4-40be-ad2a-5ba3bde7376f","BiomedicalConceptProperty_63","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","1b6f8def-364c-40ba-a5c5-21b2780e091a","BiomedicalConceptProperty_64","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","2b941496-f401-41aa-80f2-89bc06571c38","BiomedicalConceptProperty_65","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","dccf33cb-a9d5-496c-8221-987fb7b129cc","BiomedicalConceptProperty_66","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","c08d3bfe-535f-4e4c-9267-06d60c5c3c8e","BiomedicalConceptProperty_67","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","777c3935-7638-41bc-bc01-5073ff802a8a","BiomedicalConceptProperty_68","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","21d7716a-a309-48ca-aeed-d9aa06407b03","BiomedicalConceptProperty_69","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","7980374e-f40f-457a-a7de-9e0d879959bf","BiomedicalConceptProperty_70","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","b1060cfb-20b3-4bb0-b8c0-2cac9de6555a","BiomedicalConceptProperty_71","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","de707402-5c4d-4a6f-83a3-2ba63806fef8","BiomedicalConceptProperty_72","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","68831275-07c2-479f-89e3-c37c2c984a29","BiomedicalConceptProperty_73","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","09c619d9-51bd-48a6-af4d-d026bed1ac50","BiomedicalConceptProperty_74","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","87cc3c88-6b76-4c74-85c8-0057316ec3e2","BiomedicalConceptProperty_75","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","599dc168-abcb-44fe-82ca-8fbe91f9507a","BiomedicalConceptProperty_76","True","True"
"","LBORRESU","BiomedicalConceptProperty","LBORRESU","2d5cce45-03fa-435f-a2d8-4ede33c9b990","BiomedicalConceptProperty_77","True","True"
"","LBSPEC","BiomedicalConceptProperty","LBSPEC","e92acc17-a6d8-4d51-8847-b69ac091166e","BiomedicalConceptProperty_78","True","True"
"","LBFAST","BiomedicalConceptProperty","LBFAST","a19ac46d-59bf-4cdb-9ec5-7fc3679f517e","BiomedicalConceptProperty_79","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","615a0411-5e11-40ff-bc3e-b1340de1703b","BiomedicalConceptProperty_80","True","True"
"integer","VSORRES","BiomedicalConceptProperty","VSORRES","f22b5e1f-8102-43c4-a3e1-7fdc2861607e","BiomedicalConceptProperty_81","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","e16e22d9-8700-4366-861a-02884c63a433","BiomedicalConceptProperty_82","True","True"
"","VSPOS","BiomedicalConceptProperty","VSPOS","e38c6bd4-7f4e-4416-a017-0990a0d18203","BiomedicalConceptProperty_83","True","True"
"","VSLOC","BiomedicalConceptProperty","VSLOC","d257d6d0-dd3d-4ef6-8b4d-47a8e12b8af1","BiomedicalConceptProperty_84","True","True"
"","VSLAT","BiomedicalConceptProperty","VSLAT","d68f4ad5-c6c1-4281-b2af-8153a5a712b4","BiomedicalConceptProperty_85","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","e87b2bf6-5e49-43f7-a07e-f7b59e02d4ec","BiomedicalConceptProperty_86","True","True"
"integer","VSORRES","BiomedicalConceptProperty","VSORRES","41b6a189-efe4-48ff-9fed-65f710009aa7","BiomedicalConceptProperty_87","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","8f82613d-a3d6-4413-af35-88c856a7937c","BiomedicalConceptProperty_88","True","True"
"","VSPOS","BiomedicalConceptProperty","VSPOS","5d0d3b06-b314-4739-a5c7-39e760fc31a9","BiomedicalConceptProperty_89","True","True"
"","VSLOC","BiomedicalConceptProperty","VSLOC","1b12a204-4c77-4158-8024-9311c6104d9a","BiomedicalConceptProperty_90","True","True"
"","VSLAT","BiomedicalConceptProperty","VSLAT","cf745df5-4f94-4253-982e-382fab256175","BiomedicalConceptProperty_91","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","b5197aba-54e3-4158-bac9-a75997025f4b","BiomedicalConceptProperty_92","True","True"
"integer","VSORRES","BiomedicalConceptProperty","VSORRES","b767e6e2-d54d-4a02-9daa-1f4fc40b6a77","BiomedicalConceptProperty_93","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","97e4c024-b975-461d-8fbd-c068d7ad3ae3","BiomedicalConceptProperty_94","True","True"
"","VSPOS","BiomedicalConceptProperty","VSPOS","f6798f1b-67d3-4bd9-98fd-924db6f2b154","BiomedicalConceptProperty_95","True","True"
"","VSLOC","BiomedicalConceptProperty","VSLOC","ff0b5294-0b57-4221-9994-f33905f04b3a","BiomedicalConceptProperty_96","True","True"
"","VSLAT","BiomedicalConceptProperty","VSLAT","3fab3de0-5259-4915-a03f-695557c2a846","BiomedicalConceptProperty_97","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","5ea5feab-ce6e-4bb4-8eb7-aa324af43c0c","BiomedicalConceptProperty_98","True","True"
"integer","VSORRES","BiomedicalConceptProperty","VSORRES","1e5c2d99-c77d-4bc2-974b-346458dbed63","BiomedicalConceptProperty_99","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","c350579e-2cfc-49d8-b8f1-6fd95e130f3a","BiomedicalConceptProperty_100","True","True"
"","VSPOS","BiomedicalConceptProperty","VSPOS","a7ed21be-905b-405f-a317-228011be6d5e","BiomedicalConceptProperty_101","True","True"
"","VSLOC","BiomedicalConceptProperty","VSLOC","c3ba9450-17c9-4fbe-a8e0-dc0ce84968b6","BiomedicalConceptProperty_102","True","True"
"","VSLAT","BiomedicalConceptProperty","VSLAT","b1c218d7-5bf0-4985-93db-84c46ea2dce4","BiomedicalConceptProperty_103","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","d1cb8bd3-185e-4b74-81fb-29f93aed74b4","BiomedicalConceptProperty_104","True","True"
"integer","VSORRES","BiomedicalConceptProperty","VSORRES","0d5bae2a-f50e-432f-8f8f-73b400ddb04e","BiomedicalConceptProperty_105","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","b78affa6-959c-47c8-b2d5-0d30eddc933e","BiomedicalConceptProperty_106","True","True"
"","VSPOS","BiomedicalConceptProperty","VSPOS","df7cc3a5-e563-4d9d-9b8f-fbace1e76e23","BiomedicalConceptProperty_107","True","True"
"","VSLOC","BiomedicalConceptProperty","VSLOC","ac893bb5-22ab-46b8-a9e0-349a134e137c","BiomedicalConceptProperty_108","True","True"
"","VSLAT","BiomedicalConceptProperty","VSLAT","3ddfbe03-e7ab-463f-953c-b94efcb7eebe","BiomedicalConceptProperty_109","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","a938551d-36d0-4709-a7fc-1895db8b6e98","BiomedicalConceptProperty_110","True","True"
"integer","VSORRES","BiomedicalConceptProperty","VSORRES","362aed0e-d97f-41e7-a26e-b67e67345f21","BiomedicalConceptProperty_111","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","f35a409e-0536-4f38-8a53-73f988a378fe","BiomedicalConceptProperty_112","True","True"
"","VSPOS","BiomedicalConceptProperty","VSPOS","f59b4acb-bcb3-43fa-8855-5cd13b7e85b0","BiomedicalConceptProperty_113","True","True"
"","VSLOC","BiomedicalConceptProperty","VSLOC","d8493cd4-0a6e-4040-8048-630fa58b51f6","BiomedicalConceptProperty_114","True","True"
"","VSLAT","BiomedicalConceptProperty","VSLAT","4a2b94ed-66b9-4455-88c3-da74e3307233","BiomedicalConceptProperty_115","True","True"
