"label","id","name","isEnabled","isRequired","instanceType","uuid:ID","datatype"
"LBTESTCD","BiomedicalConceptProperty_136","LBTESTCD","True","True","BiomedicalConceptProperty","d05e09f6-c637-4dd9-9c6f-cad4225e87a2",""
"LBORRES","BiomedicalConceptProperty_137","LBORRES","True","True","BiomedicalConceptProperty","51b013ce-6be2-4db7-8e13-3cf3f20e67f6","text"
"LBSPEC","BiomedicalConceptProperty_138","LBSPEC","True","True","BiomedicalConceptProperty","eab153d2-dd6b-4937-a03a-bdf84fd16cdf",""
"LBFAST","BiomedicalConceptProperty_139","LBFAST","True","True","BiomedicalConceptProperty","aad54c9d-92d4-41cf-a896-0895959267fa",""
"LBTESTCD","BiomedicalConceptProperty_140","LBTESTCD","True","True","BiomedicalConceptProperty","22a508f2-d695-4cad-bd26-1f69a4720d3b",""
"LBORRES","BiomedicalConceptProperty_141","LBORRES","True","True","BiomedicalConceptProperty","fb5d2254-60ce-417b-aadf-c8dadd3de0a1","float"
"LBORRESU","BiomedicalConceptProperty_142","LBORRESU","True","True","BiomedicalConceptProperty","302753ef-ddbe-47a5-a3bd-c0927d8df8cd",""
"LBSPEC","BiomedicalConceptProperty_143","LBSPEC","True","True","BiomedicalConceptProperty","c47c5682-fb93-4c46-8822-cffab48a2f82",""
"LBFAST","BiomedicalConceptProperty_144","LBFAST","True","True","BiomedicalConceptProperty","22081165-6b56-49b6-9098-27749252da31",""
"LBTESTCD","BiomedicalConceptProperty_145","LBTESTCD","True","True","BiomedicalConceptProperty","0a9fb3cd-af9e-4923-b5fc-2124d044fb35",""
"LBORRES","BiomedicalConceptProperty_146","LBORRES","True","True","BiomedicalConceptProperty","38088636-ac18-4170-88a4-956ca72404d8","float"
"LBORRESU","BiomedicalConceptProperty_147","LBORRESU","True","True","BiomedicalConceptProperty","fe9a151a-ab3f-420a-b5b7-36c7e4d441f0",""
"LBSPEC","BiomedicalConceptProperty_148","LBSPEC","True","True","BiomedicalConceptProperty","6562d4b9-6bf3-41e1-8c2b-f82acc83f0d4",""
"LBFAST","BiomedicalConceptProperty_149","LBFAST","True","True","BiomedicalConceptProperty","a0c7c532-966a-4bb3-b626-7d977ae66c60",""
"LBTESTCD","BiomedicalConceptProperty_150","LBTESTCD","True","True","BiomedicalConceptProperty","98eb65fa-62a1-4da9-aaf6-cb6f92c6fb70",""
"LBORRES","BiomedicalConceptProperty_151","LBORRES","True","True","BiomedicalConceptProperty","c6dd8097-3f15-4854-b970-33c81eb1e1c5","float"
"LBORRESU","BiomedicalConceptProperty_152","LBORRESU","True","True","BiomedicalConceptProperty","5f49d1b3-4a58-4f89-83f8-dcc9f5e8203a",""
"LBSPEC","BiomedicalConceptProperty_153","LBSPEC","True","True","BiomedicalConceptProperty","d2bd747c-ccd2-4a9b-bf58-341a705ecbb6",""
"LBFAST","BiomedicalConceptProperty_154","LBFAST","True","True","BiomedicalConceptProperty","7d2a22b5-194c-40c3-92a5-595bc994c8c4",""
"LBTESTCD","BiomedicalConceptProperty_155","LBTESTCD","True","True","BiomedicalConceptProperty","9622ea31-7120-454d-9d01-74e38dc640a7",""
"LBORRES","BiomedicalConceptProperty_156","LBORRES","True","True","BiomedicalConceptProperty","7de375b0-4867-45e9-9529-22cd9eb32372","float"
"LBORRESU","BiomedicalConceptProperty_157","LBORRESU","True","True","BiomedicalConceptProperty","3c81998d-f996-468a-a7e8-1b0bfef78253",""
"LBSPEC","BiomedicalConceptProperty_158","LBSPEC","True","True","BiomedicalConceptProperty","334af656-c3ca-41bc-b405-d36e87b206b1",""
"LBFAST","BiomedicalConceptProperty_159","LBFAST","True","True","BiomedicalConceptProperty","cd725f0c-755a-4c0b-91cc-29df6efdf459",""
"LBTESTCD","BiomedicalConceptProperty_160","LBTESTCD","True","True","BiomedicalConceptProperty","6ffcd495-a9c3-4379-8e70-15852a6844c6",""
"LBORRES","BiomedicalConceptProperty_161","LBORRES","True","True","BiomedicalConceptProperty","76115fb9-79e7-4257-92a8-b86069dbced0","float"
"LBORRESU","BiomedicalConceptProperty_162","LBORRESU","True","True","BiomedicalConceptProperty","89926cee-c018-43b0-bf0d-d22269f5aa7c",""
"LBSPEC","BiomedicalConceptProperty_163","LBSPEC","True","True","BiomedicalConceptProperty","48632160-00c7-40a3-a39c-abb5da3f2720",""
"LBFAST","BiomedicalConceptProperty_164","LBFAST","True","True","BiomedicalConceptProperty","2d72cb55-7f3c-487f-9c22-1428b3a73247",""
"LBTESTCD","BiomedicalConceptProperty_165","LBTESTCD","True","True","BiomedicalConceptProperty","bcd05de7-82b4-4c9f-ba29-ea5808628865",""
"LBORRES","BiomedicalConceptProperty_166","LBORRES","True","True","BiomedicalConceptProperty","612a6db1-42f2-4851-8bfb-b8be15cee697","float"
"LBORRESU","BiomedicalConceptProperty_167","LBORRESU","True","True","BiomedicalConceptProperty","0802bc42-4777-44a1-8011-3cff7317b99e",""
"LBSPEC","BiomedicalConceptProperty_168","LBSPEC","True","True","BiomedicalConceptProperty","f35f6548-41ea-4115-b98f-230ee232ca03",""
"LBFAST","BiomedicalConceptProperty_169","LBFAST","True","True","BiomedicalConceptProperty","e7d687da-d845-4c75-b7a3-fa9b55b34e0b",""
"AETERM","BiomedicalConceptProperty_1","AETERM","True","True","BiomedicalConceptProperty","06c08cb2-0e2c-426d-b281-4c7bba8b6323","text"
"AEDECOD","BiomedicalConceptProperty_2","AEDECOD","True","True","BiomedicalConceptProperty","d6bd2451-fbfe-45ac-9bf2-76512659a344","text"
"AEPRESP","BiomedicalConceptProperty_3","AEPRESP","True","True","BiomedicalConceptProperty","143ccf80-2633-4a5f-9a05-95376fba6537","text"
"AELOC","BiomedicalConceptProperty_4","AELOC","True","True","BiomedicalConceptProperty","bd49148f-77e3-44cf-a00a-680a2be8fb08","text"
"AESEV","BiomedicalConceptProperty_5","AESEV","True","True","BiomedicalConceptProperty","92af59fc-508b-4937-8eb0-8cd40fcc3bec","text"
"AESER","BiomedicalConceptProperty_6","AESER","True","True","BiomedicalConceptProperty","1938d251-b522-4f7c-9eff-e30ddbf6b436","text"
"AEACN","BiomedicalConceptProperty_7","AEACN","True","True","BiomedicalConceptProperty","e6f302bb-58e5-4739-99f8-c7fc2be13075","text"
"AEACNOTH","BiomedicalConceptProperty_8","AEACNOTH","True","True","BiomedicalConceptProperty","a82dd1b1-fe40-4b3c-bb8e-6c5360aa13fa","text"
"AEREL","BiomedicalConceptProperty_9","AEREL","True","True","BiomedicalConceptProperty","d71abf4b-4514-4171-82e0-b636cd7204f8","text"
"AERELNST","BiomedicalConceptProperty_10","AERELNST","True","True","BiomedicalConceptProperty","6a041a98-0b66-4f9c-bf39-babdd9302bfe","text"
"AEPATT","BiomedicalConceptProperty_11","AEPATT","True","True","BiomedicalConceptProperty","5f5e598b-2bfe-475c-8833-626145a05c86","text"
"AEOUT","BiomedicalConceptProperty_12","AEOUT","True","True","BiomedicalConceptProperty","6e53400f-5b02-46ab-b0f8-2c6692591500","text"
"AESCAN","BiomedicalConceptProperty_13","AESCAN","True","True","BiomedicalConceptProperty","84f58050-500b-4d19-92e8-ce797514b723","text"
"AESCONG","BiomedicalConceptProperty_14","AESCONG","True","True","BiomedicalConceptProperty","476adefe-4229-4cfb-918c-bcb0cd3936cd","text"
"AESDISAB","BiomedicalConceptProperty_15","AESDISAB","True","True","BiomedicalConceptProperty","2afcb1d4-768a-4884-a7f5-7df702bcbe35","text"
"AESDTH","BiomedicalConceptProperty_16","AESDTH","True","True","BiomedicalConceptProperty","c9f6b0ca-57d6-4aae-a4a7-7b8747b440af","text"
"AESHOSP","BiomedicalConceptProperty_17","AESHOSP","True","True","BiomedicalConceptProperty","32656cca-9914-46a6-99a7-86608a50c9da","text"
"AESLIFE","BiomedicalConceptProperty_18","AESLIFE","True","True","BiomedicalConceptProperty","c0df7fe8-ecdf-4fc2-a329-467b74a2fe94","text"
"AESOD","BiomedicalConceptProperty_19","AESOD","True","True","BiomedicalConceptProperty","7ac6ec7d-1b59-471f-8c0f-6f63bd4c11f7","text"
"AESMIE","BiomedicalConceptProperty_20","AESMIE","True","True","BiomedicalConceptProperty","c93ede28-8e0e-46e4-bca3-5355093795ef","text"
"AECONTRT","BiomedicalConceptProperty_21","AECONTRT","True","True","BiomedicalConceptProperty","19ceebff-990c-4933-93a7-fe165ff9e5ba","text"
"AESTDTC","BiomedicalConceptProperty_22","AESTDTC","True","True","BiomedicalConceptProperty","489aa6c7-ab30-42f1-bc37-a8aa6e642788","datetime"
"AEENDTC","BiomedicalConceptProperty_23","AEENDTC","True","True","BiomedicalConceptProperty","e034f9b3-348b-490b-a2ad-de47883de796","datetime"
"VSTESTCD","BiomedicalConceptProperty_24","VSTESTCD","True","True","BiomedicalConceptProperty","ca256005-6e2b-4566-9717-e977418586f8",""
"VSORRES","BiomedicalConceptProperty_25","VSORRES","True","True","BiomedicalConceptProperty","54ea690e-b02c-4abe-b573-9e5c3e263ac0","integer"
"VSORRESU","BiomedicalConceptProperty_26","VSORRESU","True","True","BiomedicalConceptProperty","0285ac35-e272-4779-af2f-1a9de341e78b",""
"VSPOS","BiomedicalConceptProperty_27","VSPOS","True","True","BiomedicalConceptProperty","79b12447-cfbf-425e-9c01-9913677bf648",""
"VSLOC","BiomedicalConceptProperty_28","VSLOC","True","True","BiomedicalConceptProperty","6024748d-acdf-4b13-a277-88d44ba3554d",""
"VSLAT","BiomedicalConceptProperty_29","VSLAT","True","True","BiomedicalConceptProperty","97f3abeb-9028-4cdb-a17b-3580dc3ced70",""
"VSTESTCD","BiomedicalConceptProperty_30","VSTESTCD","True","True","BiomedicalConceptProperty","10d48d14-991e-4bf0-abc8-0f3f0f45d55c",""
"VSORRES","BiomedicalConceptProperty_31","VSORRES","True","True","BiomedicalConceptProperty","a7dbc347-5a58-4396-920f-73d31f481d2e","integer"
"VSORRESU","BiomedicalConceptProperty_32","VSORRESU","True","True","BiomedicalConceptProperty","fcc49b9d-74dc-46de-bd44-15747e2e24ae",""
"VSPOS","BiomedicalConceptProperty_33","VSPOS","True","True","BiomedicalConceptProperty","2877e7f7-f52a-4c42-8e10-00802cf4a7da",""
"VSLOC","BiomedicalConceptProperty_34","VSLOC","True","True","BiomedicalConceptProperty","508a4b0d-e2b2-4fdd-9fb1-f2e6f96e2573",""
"VSLAT","BiomedicalConceptProperty_35","VSLAT","True","True","BiomedicalConceptProperty","55539507-b1f2-4d9a-8316-2044297d5be1",""
"VSTESTCD","BiomedicalConceptProperty_36","VSTESTCD","True","True","BiomedicalConceptProperty","9389770d-6c20-4ddf-8ddb-64541e6e0c54",""
"VSORRES","BiomedicalConceptProperty_37","VSORRES","True","True","BiomedicalConceptProperty","118c7ece-d3b7-491b-adb5-1b05f78a6af4","float"
"VSORRESU","BiomedicalConceptProperty_38","VSORRESU","True","True","BiomedicalConceptProperty","79dbbb50-b3c1-489c-8807-00dfdb7c5f7d",""
"VSLOC","BiomedicalConceptProperty_39","VSLOC","True","True","BiomedicalConceptProperty","1a40643f-d71a-485a-a62b-5681f5493e94",""
"VSTESTCD","BiomedicalConceptProperty_40","VSTESTCD","True","True","BiomedicalConceptProperty","00a8c364-fdc7-447b-b09e-5f6693698255",""
"VSORRES","BiomedicalConceptProperty_41","VSORRES","True","True","BiomedicalConceptProperty","cead2bd0-efb9-401d-b173-841dabd4c1f1","float"
"VSORRESU","BiomedicalConceptProperty_42","VSORRESU","True","True","BiomedicalConceptProperty","966fcb84-2665-4e19-8c3e-837bfaf52e22",""
"VSTESTCD","BiomedicalConceptProperty_43","VSTESTCD","True","True","BiomedicalConceptProperty","f7358211-6fb1-4d32-9e41-790f4e0abea5",""
"VSORRES","BiomedicalConceptProperty_44","VSORRES","True","True","BiomedicalConceptProperty","c490c6da-f302-41bb-9ab8-d7c3d7b5801b","float"
"VSORRESU","BiomedicalConceptProperty_45","VSORRESU","True","True","BiomedicalConceptProperty","544f86e4-1d84-473b-a85e-2f32d8595d8a",""
"LBTESTCD","BiomedicalConceptProperty_46","LBTESTCD","True","True","BiomedicalConceptProperty","9a81351c-b0b8-4f9a-9db1-4c106d69eafe",""
"LBORRES","BiomedicalConceptProperty_47","LBORRES","True","True","BiomedicalConceptProperty","83261c6a-28fd-4d7b-8a36-0f38ae6fee4d","float"
"LBORRESU","BiomedicalConceptProperty_48","LBORRESU","True","True","BiomedicalConceptProperty","8eb655ce-7ebe-4df2-ace4-f8e9c3bd1a18",""
"LBSPEC","BiomedicalConceptProperty_49","LBSPEC","True","True","BiomedicalConceptProperty","aca542ca-d02d-4b87-9c6d-407f3cdd9b99",""
"LBFAST","BiomedicalConceptProperty_50","LBFAST","True","True","BiomedicalConceptProperty","1af591f3-e232-4fd8-bb84-bf1fa433b164",""
"LBTESTCD","BiomedicalConceptProperty_51","LBTESTCD","True","True","BiomedicalConceptProperty","d69511f9-adb4-4600-9a01-6c7a6715e3fa",""
"LBORRES","BiomedicalConceptProperty_52","LBORRES","True","True","BiomedicalConceptProperty","bacc0201-7f07-499e-bd32-0a1b82904a56","text"
"LBSPEC","BiomedicalConceptProperty_53","LBSPEC","True","True","BiomedicalConceptProperty","1fdfef33-2a10-4898-baf0-da4ba2572d22",""
"LBFAST","BiomedicalConceptProperty_54","LBFAST","True","True","BiomedicalConceptProperty","ad62d261-095e-44ab-bdf0-dfe6e6507463",""
"LBTESTCD","BiomedicalConceptProperty_55","LBTESTCD","True","True","BiomedicalConceptProperty","989b5bba-183e-45db-b80e-796edd6b6745",""
"LBORRES","BiomedicalConceptProperty_56","LBORRES","True","True","BiomedicalConceptProperty","2c1c672f-9847-43c4-ac41-85433804e600","float"
"LBORRESU","BiomedicalConceptProperty_57","LBORRESU","True","True","BiomedicalConceptProperty","364a7f8e-58cc-4ec2-b4ae-5cb904857cc8",""
"LBSPEC","BiomedicalConceptProperty_58","LBSPEC","True","True","BiomedicalConceptProperty","845719f8-4cac-4fe3-aa1b-aaa64189617c",""
"LBFAST","BiomedicalConceptProperty_59","LBFAST","True","True","BiomedicalConceptProperty","a8d5af07-44cf-4702-961d-6b6c2e4882bb",""
"LBTESTCD","BiomedicalConceptProperty_60","LBTESTCD","True","True","BiomedicalConceptProperty","582c8172-b6e3-48cc-9724-04d4872954bc",""
"LBORRES","BiomedicalConceptProperty_61","LBORRES","True","True","BiomedicalConceptProperty","34a62f49-3e89-4a3f-810f-fcdd5e4c48e2","float"
"LBORRESU","BiomedicalConceptProperty_62","LBORRESU","True","True","BiomedicalConceptProperty","af058e23-1498-4aa9-a5c0-e5c57c2a25bf",""
"LBSPEC","BiomedicalConceptProperty_63","LBSPEC","True","True","BiomedicalConceptProperty","bbdbb02a-b345-4ae4-b6c1-55deab4b293e",""
"LBFAST","BiomedicalConceptProperty_64","LBFAST","True","True","BiomedicalConceptProperty","593c6853-fea8-4566-a310-223af5e74040",""
"LBTESTCD","BiomedicalConceptProperty_65","LBTESTCD","True","True","BiomedicalConceptProperty","d7f8906e-f6d6-474c-a853-97102d32273b",""
"LBORRES","BiomedicalConceptProperty_66","LBORRES","True","True","BiomedicalConceptProperty","19acacf3-277f-4c62-b184-8313a46ff892","float"
"LBORRESU","BiomedicalConceptProperty_67","LBORRESU","True","True","BiomedicalConceptProperty","54d5d507-7a90-4f43-8888-31ea3ea04531",""
"LBSPEC","BiomedicalConceptProperty_68","LBSPEC","True","True","BiomedicalConceptProperty","515080d3-d2d8-466f-8b03-35be0afdf100",""
"LBFAST","BiomedicalConceptProperty_69","LBFAST","True","True","BiomedicalConceptProperty","754a6588-c83a-4a54-b957-89627c86138f",""
"LBTESTCD","BiomedicalConceptProperty_70","LBTESTCD","True","True","BiomedicalConceptProperty","c16efddf-8ee5-44ba-8b08-85264356256a",""
"LBORRES","BiomedicalConceptProperty_71","LBORRES","True","True","BiomedicalConceptProperty","fd548840-8e92-4986-a4e1-67289cce7e67","float"
"LBORRESU","BiomedicalConceptProperty_72","LBORRESU","True","True","BiomedicalConceptProperty","96bdfea5-f104-43f6-b828-bad33024a6a8",""
"LBSPEC","BiomedicalConceptProperty_73","LBSPEC","True","True","BiomedicalConceptProperty","9fefd759-6e11-4ad8-afc5-9427e2e266bb",""
"LBFAST","BiomedicalConceptProperty_74","LBFAST","True","True","BiomedicalConceptProperty","7a91dc6f-bb3b-43be-8465-ca3ce303ce34",""
"LBTESTCD","BiomedicalConceptProperty_75","LBTESTCD","True","True","BiomedicalConceptProperty","c39b3dff-cb1a-494f-993f-bacd99691da9",""
"LBORRES","BiomedicalConceptProperty_76","LBORRES","True","True","BiomedicalConceptProperty","036ffc1d-d832-48b7-afe0-5172438a6b1b","float"
"LBORRESU","BiomedicalConceptProperty_77","LBORRESU","True","True","BiomedicalConceptProperty","60747298-3828-4f17-97dd-e2a2bbc279fa",""
"LBSPEC","BiomedicalConceptProperty_78","LBSPEC","True","True","BiomedicalConceptProperty","53cbf851-2ac5-4674-8667-fd7c679de8d0",""
"LBFAST","BiomedicalConceptProperty_79","LBFAST","True","True","BiomedicalConceptProperty","30bb9b57-e1f3-4f7d-b4e3-008362ea071c",""
"VSTESTCD","BiomedicalConceptProperty_80","VSTESTCD","True","True","BiomedicalConceptProperty","4bdb46cf-0aaf-4bc9-8045-bd011f0625e3",""
"VSORRES","BiomedicalConceptProperty_81","VSORRES","True","True","BiomedicalConceptProperty","82760b92-88ae-4e46-b696-11e8eaf10c1b","integer"
"VSORRESU","BiomedicalConceptProperty_82","VSORRESU","True","True","BiomedicalConceptProperty","de345bba-fbc3-4b5e-ae5f-5d53f6a26be4",""
"VSPOS","BiomedicalConceptProperty_83","VSPOS","True","True","BiomedicalConceptProperty","f6d6c8c5-9b47-49fe-a9f2-c44ac9c7a10f",""
"VSLOC","BiomedicalConceptProperty_84","VSLOC","True","True","BiomedicalConceptProperty","537f2ae8-e9a1-4c2f-9aad-3d406d4ecef7",""
"VSLAT","BiomedicalConceptProperty_85","VSLAT","True","True","BiomedicalConceptProperty","f938e70f-813a-4b91-91ab-2193720cf685",""
"VSTESTCD","BiomedicalConceptProperty_86","VSTESTCD","True","True","BiomedicalConceptProperty","eb321aec-4995-4142-9305-104662f4b511",""
"VSORRES","BiomedicalConceptProperty_87","VSORRES","True","True","BiomedicalConceptProperty","ab71d969-1108-447a-bba1-1eaf867569ed","integer"
"VSORRESU","BiomedicalConceptProperty_88","VSORRESU","True","True","BiomedicalConceptProperty","2369ea70-c9eb-4343-8547-0c27cbf84852",""
"VSPOS","BiomedicalConceptProperty_89","VSPOS","True","True","BiomedicalConceptProperty","1ce3f93a-2156-4c6a-a5cf-f0e3612af5f7",""
"VSLOC","BiomedicalConceptProperty_90","VSLOC","True","True","BiomedicalConceptProperty","77a09f82-2bea-4d7a-a893-f7dcda2e3943",""
"VSLAT","BiomedicalConceptProperty_91","VSLAT","True","True","BiomedicalConceptProperty","1cfd032c-4a33-43da-a08d-f3f8fa3ae96d",""
"VSTESTCD","BiomedicalConceptProperty_92","VSTESTCD","True","True","BiomedicalConceptProperty","d8a62354-20dd-40b2-9785-159a71059bae",""
"VSORRES","BiomedicalConceptProperty_93","VSORRES","True","True","BiomedicalConceptProperty","e6ca9a45-2e97-4a8f-8b58-422e8a51a1c3","integer"
"VSORRESU","BiomedicalConceptProperty_94","VSORRESU","True","True","BiomedicalConceptProperty","d21b0cb7-8253-43cc-8a1e-7c576c94d22e",""
"VSPOS","BiomedicalConceptProperty_95","VSPOS","True","True","BiomedicalConceptProperty","e45eb77a-b456-44db-9bad-ed41165d931a",""
"VSLOC","BiomedicalConceptProperty_96","VSLOC","True","True","BiomedicalConceptProperty","63914b10-8f05-43f4-ac4f-2241e7e27c45",""
"VSLAT","BiomedicalConceptProperty_97","VSLAT","True","True","BiomedicalConceptProperty","0045f697-1a0c-4516-b4a4-b27dca5e0634",""
"VSTESTCD","BiomedicalConceptProperty_98","VSTESTCD","True","True","BiomedicalConceptProperty","7dba2572-d43c-494e-b016-024a92c31e9e",""
"VSORRES","BiomedicalConceptProperty_99","VSORRES","True","True","BiomedicalConceptProperty","bd264ac3-2a71-49bd-9dc5-15077f59ebb9","integer"
"VSORRESU","BiomedicalConceptProperty_100","VSORRESU","True","True","BiomedicalConceptProperty","69cf7382-60dc-4cab-8530-fea58a84f9f4",""
"VSPOS","BiomedicalConceptProperty_101","VSPOS","True","True","BiomedicalConceptProperty","4e2e066f-ddf8-4801-acbe-842e2d67395a",""
"VSLOC","BiomedicalConceptProperty_102","VSLOC","True","True","BiomedicalConceptProperty","72156888-36c6-4043-81a8-6599bd23fa3c",""
"VSLAT","BiomedicalConceptProperty_103","VSLAT","True","True","BiomedicalConceptProperty","3aa24a95-7a4f-47f8-8dc2-e2dcad5775c3",""
"VSTESTCD","BiomedicalConceptProperty_104","VSTESTCD","True","True","BiomedicalConceptProperty","508d2b28-7c11-48ee-8185-a92cef0ce308",""
"VSORRES","BiomedicalConceptProperty_105","VSORRES","True","True","BiomedicalConceptProperty","ccda334b-f6db-4458-8ab7-30641d9e362e","integer"
"VSORRESU","BiomedicalConceptProperty_106","VSORRESU","True","True","BiomedicalConceptProperty","94464cca-9c60-4560-9c20-bd2406502d35",""
"VSPOS","BiomedicalConceptProperty_107","VSPOS","True","True","BiomedicalConceptProperty","ae6e2481-603a-4d90-bb9a-21983232be71",""
"VSLOC","BiomedicalConceptProperty_108","VSLOC","True","True","BiomedicalConceptProperty","00f0b2dc-bd58-4458-b94f-4c37228bced9",""
"VSLAT","BiomedicalConceptProperty_109","VSLAT","True","True","BiomedicalConceptProperty","30e08714-610a-43c4-ab5e-255a582dc661",""
"VSTESTCD","BiomedicalConceptProperty_110","VSTESTCD","True","True","BiomedicalConceptProperty","8210e9ab-86b0-4677-b5d9-59096a4c26c0",""
"VSORRES","BiomedicalConceptProperty_111","VSORRES","True","True","BiomedicalConceptProperty","81685255-be9d-46c1-9951-754d8b9a16ef","integer"
"VSORRESU","BiomedicalConceptProperty_112","VSORRESU","True","True","BiomedicalConceptProperty","9cf7ea54-d047-4623-923a-75e33e9482c8",""
"VSPOS","BiomedicalConceptProperty_113","VSPOS","True","True","BiomedicalConceptProperty","bab21a78-5da1-4dee-b572-09d0e17ee395",""
"VSLOC","BiomedicalConceptProperty_114","VSLOC","True","True","BiomedicalConceptProperty","3fab01ef-2c2e-4356-882e-fdce732fdf23",""
"VSLAT","BiomedicalConceptProperty_115","VSLAT","True","True","BiomedicalConceptProperty","683b65a6-9e37-48d8-bf18-eea39d754cca",""
